STOCK,URL
AARTIIND,https://www.moneycontrol.com/company-facts/aartiindustries/dividends/AI45#AI45
ALKYLAMINE,https://www.moneycontrol.com/company-facts/alkylamineschemicals/dividends/AAC#AAC
APOLLOHOSP,https://www.moneycontrol.com/company-facts/apollohospitalsenterprises/dividends/AHE#AHE
ASHOKLEY,https://www.moneycontrol.com/company-facts/ashokleyland/dividends/AL#AL
ASIANPAINT,https://www.moneycontrol.com/company-facts/asianpaints/dividends/AP31#AP31
ASTRAL,https://www.moneycontrol.com/company-facts/astrallimited/dividends/APT02#APT02
BAJAJ-AUTO,https://www.moneycontrol.com/company-facts/bajajauto/dividends/BA10#BA10
BAJAJELEC,https://www.moneycontrol.com/company-facts/bajajelectricals/dividends/BE#BE
BAJAJFINSV,https://www.moneycontrol.com/company-facts/bajajfinserv/dividends/BF04#BF04
BAJFINANCE,https://www.moneycontrol.com/company-facts/bajajfinance/dividends/BAF#BAF
BALAMINES,https://www.moneycontrol.com/company-facts/balajiamines/dividends/BA05#BA05
BALKRISIND,https://www.moneycontrol.com/company-facts/balkrishnaindustries/dividends/BI03#BI03
BERGEPAINT,https://www.moneycontrol.com/company-facts/bergerpaintsindia/dividends/BPI02#BPI02
BHARTIARTL,https://www.moneycontrol.com/company-facts/bhartiairtel/dividends/BA08#BA08
BRITANNIA,https://www.moneycontrol.com/company-facts/britanniaindustries/dividends/BI#BI
CAMS,https://www.moneycontrol.com/company-facts/computeragemanagementservices/dividends/CAM#CAM
CDSL,https://www.moneycontrol.com/company-facts/centraldepositoryservicesltd/dividends/CDS#CDS
DABUR,https://www.moneycontrol.com/company-facts/daburindia/dividends/DI#DI
DEEPAKNTR,https://www.moneycontrol.com/company-facts/deepaknitrite/dividends/DN#DN
DIVISLAB,https://www.moneycontrol.com/company-facts/divislaboratories/dividends/DL03#DL03
DIXON,https://www.moneycontrol.com/company-facts/dixontechnologies/dividends/DT07#DT07
DMART,https://www.moneycontrol.com/company-facts/avenuesupermarts/dividends/AS19#AS19
DRREDDY,https://www.moneycontrol.com/company-facts/drreddyslaboratories/dividends/DRL#DRL
EICHERMOT,https://www.moneycontrol.com/company-facts/eichermotors/dividends/EM#EM
HAVELLS,https://www.moneycontrol.com/company-facts/havellsindia/dividends/HI01#HI01
HCLTECH,https://www.moneycontrol.com/company-facts/hcltechnologies/dividends/HCL02#HCL02
HDFC,https://www.moneycontrol.com/company-facts/housingdevelopmentfinancecorporation/dividends/HDF#HDF
HDFCAMC,https://www.moneycontrol.com/company-facts/hdfcassetmanagementcompany/dividends/HAM02#HAM02
HDFCBANK,https://www.moneycontrol.com/company-facts/hdfcbank/dividends/HDF01#HDF01
HDFCLIFE,https://www.moneycontrol.com/company-facts/hdfclifeinsurancecompany/dividends/HSL01#HSL01
HEROMOTOCO,https://www.moneycontrol.com/company-facts/heromotocorp/dividends/HHM#HHM
HINDUNILVR,https://www.moneycontrol.com/company-facts/hindustanunilever/dividends/HU#HU
HNDFDS,https://www.moneycontrol.com/company-facts/hindustanfoods/dividends/HFL#HFL
ICICIBANK,https://www.moneycontrol.com/company-facts/icicibank/dividends/ICI02#ICI02
ICICIGI,https://www.moneycontrol.com/company-facts/icicilombardgeneralinsurancecompany/dividends/ILG#ILG
ICICIPRULI,https://www.moneycontrol.com/company-facts/iciciprudentiallifeinsurancecompany/dividends/IPL01#IPL01
INFY,https://www.moneycontrol.com/company-facts/infosys/dividends/IT#IT
ISEC,https://www.moneycontrol.com/company-facts/icicisecuritiesltd/dividends/ISL04#ISL04
ITC,https://www.moneycontrol.com/company-facts/itc/dividends/ITC#ITC
JUBLFOOD,https://www.moneycontrol.com/company-facts/jubilantfoodworks/dividends/JF04#JF04
KOTAKBANK,https://www.moneycontrol.com/company-facts/kotakmahindrabank/dividends/KMB#KMB
LATENTVIEW,https://www.moneycontrol.com/company-facts/latentviewanalytics/dividends/LVA#LVA
LTI,https://www.moneycontrol.com/company-facts/larsentoubroinfotech/dividends/LI12#LI12
LTTS,https://www.moneycontrol.com/company-facts/lttechnologyservices/dividends/LTS#LTS
LXCHEM,https://www.moneycontrol.com/company-facts/laxmiorganicindustries/dividends/LOI#LOI
M&M,https://www.moneycontrol.com/company-facts/mahindramahindra/dividends/MM#MM
MARICO,https://www.moneycontrol.com/company-facts/marico/dividends/M13#M13
