Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
3-Jan-22,17387.15,17646.65,17383.3,17625.7,200456430,16181.36
4-Jan-22,17681.4,17827.6,17593.55,17805.25,247437472,18604.16
5-Jan-22,17820.1,17944.7,17748.85,17925.25,251460038,23737.31
6-Jan-22,17768.5,17797.95,17655.55,17745.9,236454824,22643.82
7-Jan-22,17797.6,17905,17704.55,17812.7,239338015,21447.89
10-Jan-22,17913.3,18017.45,17879.15,18003.3,232418075,20853.64
11-Jan-22,17997.75,18081.25,17964.4,18055.75,220238796,20781.46
12-Jan-22,18170.4,18227.95,18128.8,18212.35,244974287,22298.69
13-Jan-22,18257,18272.25,18163.8,18257.8,303700545,28670.93
14-Jan-22,18185,18286.95,18119.65,18255.75,229451608,21024.51
17-Jan-22,18235.65,18321.55,18228.75,18308.1,266702919,23859.38
18-Jan-22,18337.2,18350.95,18085.9,18113.05,227507319,20852.67
19-Jan-22,18129.2,18129.2,17884.9,17938.4,276662654,25310.19
20-Jan-22,17921,17943.7,17648.45,17757,258094246,25863.29
21-Jan-22,17613.7,17707.6,17485.85,17617.15,277645373,25941.64
24-Jan-22,17575.15,17599.4,16997.85,17149.1,323847388,28387.73
25-Jan-22,17001.55,17309.15,16836.8,17277.95,326515896,31344.46
27-Jan-22,17062,17182.5,16866.75,17110.15,395596577,36296.64
28-Jan-22,17208.3,17373.5,17077.1,17101.95,355284285,29799.89
31-Jan-22,17301.05,17410,17264.15,17339.85,321660346,25474.13
1-Feb-22,17529.45,17622.4,17244.55,17576.85,386391485,30033.66
2-Feb-22,17706.2,17794.6,17674.8,17780,271205907,23611.59
3-Feb-22,17767.75,17781.15,17511.15,17560.2,226614989,20373.06
4-Feb-22,17590.2,17617.8,17462.55,17516.3,261434170,20651.85
7-Feb-22,17456.3,17536.75,17119.4,17213.6,265037933,21925.11
8-Feb-22,17279.85,17306.45,17043.65,17266.75,268526210,23846.16
9-Feb-22,17370.1,17477.15,17339,17463.8,236350514,19327.67
10-Feb-22,17554.1,17639.45,17427.15,17605.85,273606440,22210.93
11-Feb-22,17451,17454.75,17303,17374.75,253141660,23230.82
14-Feb-22,17076.15,17099.5,16809.65,16842.8,305510740,24976.16
15-Feb-22,16933.25,17375,16839.25,17352.45,298658142,24765.67
16-Feb-22,17408.45,17490.6,17257.7,17322.2,244549223,21128.38
17-Feb-22,17396.55,17442.9,17235.85,17304.6,232136131,19381.26
18-Feb-22,17236.05,17380.8,17219.2,17276.3,189620888,16126.96
21-Feb-22,17192.25,17351.05,17070.7,17206.65,215183301,18725.57
22-Feb-22,16847.95,17148.55,16843.8,17092.2,300131995,24040.84
23-Feb-22,17194.5,17220.7,17027.85,17063.25,200229631,17662.47
24-Feb-22,16548.9,16705.25,16203.25,16247.95,457967874,36650.83
25-Feb-22,16515.65,16748.8,16478.3,16658.4,329780732,25743.77
28-Feb-22,16481.6,16815.9,16356.3,16793.9,404214666,33831.57
2-Mar-22,16593.1,16678.5,16478.65,16605.95,517723542,39407.44
3-Mar-22,16723.2,16768.95,16442.95,16498.05,0,0
4-Mar-22,16339.45,16456,16133.8,16245.35,456143040,34821.1
7-Mar-22,15867.95,15944.6,15711.45,15863.15,-,-
