Date,P/E,P/B,Div Yield
1-Jan-20,28.33,3.76,1.24
2-Jan-20,28.56,3.79,1.23
3-Jan-20,28.44,3.77,1.23
6-Jan-20,27.89,3.7,1.26
7-Jan-20,28.03,3.72,1.25
8-Jan-20,27.97,3.71,1.25
9-Jan-20,28.41,3.77,1.23
10-Jan-20,28.51,3.78,1.23
13-Jan-20,28.67,3.8,1.22
14-Jan-20,28.67,3.81,1.22
15-Jan-20,28.63,3.81,1.22
16-Jan-20,28.62,3.68,1.24
17-Jan-20,28.61,3.67,1.24
20-Jan-20,28,3.63,1.25
21-Jan-20,27.84,3.45,1.25
22-Jan-20,27.73,3.42,1.26
23-Jan-20,27.88,3.43,1.25
24-Jan-20,28.1,3.45,1.24
27-Jan-20,27.73,3.42,1.25
28-Jan-20,26.65,3.4,1.26
29-Jan-20,26.81,3.42,1.26
30-Jan-20,26.57,3.39,1.27
31-Jan-20,26.41,3.37,1.27
1-Feb-20,25.75,3.28,1.31
3-Feb-20,25.9,3.3,1.3
4-Feb-20,26.57,3.37,1.27
5-Feb-20,27.05,3.4,1.26
6-Feb-20,27.16,3.42,1.26
7-Feb-20,27.03,3.41,1.26
10-Feb-20,26.89,3.39,1.27
11-Feb-20,27.21,3.41,1.26
12-Feb-20,27.65,3.44,1.25
13-Feb-20,27.59,3.43,1.25
14-Feb-20,27.45,3.41,1.26
17-Feb-20,27.42,3.39,1.27
18-Feb-20,27.29,3.38,1.27
19-Feb-20,27.6,3.41,1.26
20-Feb-20,27.5,3.4,1.26
24-Feb-20,26.92,3.33,1.29
25-Feb-20,26.85,3.32,1.29
26-Feb-20,26.58,3.29,1.3
27-Feb-20,26.48,3.27,1.31
28-Feb-20,25.49,3.15,1.36
2-Mar-20,25.34,3.13,1.37
3-Mar-20,25.73,3.18,1.35
4-Mar-20,25.61,3.17,1.35
5-Mar-20,25.65,3.17,1.35
6-Mar-20,25.01,3.09,1.39
9-Mar-20,23.79,2.94,1.46
11-Mar-20,23.8,2.94,1.46
12-Mar-20,21.83,2.7,1.59
13-Mar-20,22.66,2.8,1.53
16-Mar-20,20.93,2.59,1.66
17-Mar-20,20.41,2.52,1.7
18-Mar-20,19.27,2.38,1.8
19-Mar-20,18.63,2.36,1.84
20-Mar-20,19.72,2.49,1.74
23-Mar-20,17.15,2.17,2
24-Mar-20,17.58,2.22,1.95
25-Mar-20,18.74,2.37,1.83
26-Mar-20,19.47,2.46,1.76
27-Mar-20,19.52,2.47,1.76
30-Mar-20,18.66,2.36,1.84
31-Mar-20,19.38,2.45,1.77
1-Apr-20,18.6,2.35,1.84
3-Apr-20,18.22,2.3,1.88
7-Apr-20,19.81,2.51,1.73
8-Apr-20,19.72,2.49,1.74
9-Apr-20,20.53,2.6,1.67
13-Apr-20,20.27,2.56,1.69
15-Apr-20,20.11,2.54,1.7
16-Apr-20,20.25,2.56,1.69
17-Apr-20,20.85,2.64,1.64
20-Apr-20,20.75,2.64,1.64
21-Apr-20,20.1,2.56,1.69
22-Apr-20,20.56,2.62,1.66
23-Apr-20,20.84,2.65,1.63
24-Apr-20,20.48,2.61,1.66
27-Apr-20,20.77,2.65,1.64
28-Apr-20,21,2.67,1.62
29-Apr-20,21.65,2.72,1.59
30-Apr-20,22.35,2.81,1.54
4-May-20,21.39,2.65,1.64
5-May-20,21.19,2.62,1.65
6-May-20,21.34,2.64,1.64
7-May-20,21.18,2.62,1.65
8-May-20,21.28,2.64,1.64
11-May-20,21.21,2.63,1.65
12-May-20,21.11,2.62,1.65
13-May-20,21.51,2.67,1.62
14-May-20,21,2.6,1.67
15-May-20,20.98,2.6,1.67
18-May-20,20.26,2.51,1.73
19-May-20,20.39,2.53,1.72
20-May-20,21.16,2.58,1.68
21-May-20,21.14,2.59,1.67
22-May-20,20.97,2.57,1.69
26-May-20,21.1,2.57,1.69
27-May-20,21.77,2.65,1.64
28-May-20,22.17,2.7,1.61
29-May-20,22.38,2.73,1.59
1-Jun-20,22.96,2.8,1.55
2-Jun-20,23.31,2.84,1.53
3-Jun-20,23.5,2.86,1.51
4-Jun-20,23.42,2.85,1.52
5-Jun-20,23.91,2.89,1.5
8-Jun-20,23.97,2.89,1.5
9-Jun-20,24.25,2.86,1.52
10-Jun-20,24.41,2.88,1.51
11-Jun-20,23.9,2.82,1.54
12-Jun-20,24.08,2.84,1.53
15-Jun-20,23.69,2.79,1.55
16-Jun-20,24.31,2.82,1.54
17-Jun-20,24.59,2.81,1.54
18-Jun-20,25.11,2.87,1.51
19-Jun-20,25.49,2.92,1.49
22-Jun-20,25.66,2.94,1.48
23-Jun-20,26.05,2.98,1.45
24-Jun-20,25.63,2.93,1.48
25-Jun-20,25.59,2.93,1.48
26-Jun-20,26.67,2.97,1.54
29-Jun-20,26.49,2.95,1.55
30-Jun-20,26.32,2.94,1.55
1-Jul-20,26.97,2.98,1.54
2-Jul-20,27.63,3.01,1.52
3-Jul-20,27.78,3.03,1.51
6-Jul-20,28.13,3.07,1.49
7-Jul-20,28.22,3.08,1.49
8-Jul-20,27.98,3.05,1.5
9-Jul-20,28.26,3.08,1.48
10-Jul-20,28.27,3.07,1.49
13-Jul-20,28.36,3.08,1.49
14-Jul-20,27.85,3.02,1.51
15-Jul-20,27.88,3.03,1.51
16-Jul-20,28.19,3.06,1.49
17-Jul-20,28.55,3.11,1.47
20-Jul-20,28.86,3.14,1.46
21-Jul-20,29.01,3.18,1.44
22-Jul-20,28.93,3.17,1.44
23-Jul-20,29.2,3.2,1.43
24-Jul-20,29.35,3.19,1.43
27-Jul-20,29.18,3.17,1.44
28-Jul-20,29.87,3.14,1.49
29-Jul-20,29.59,3.1,1.54
30-Jul-20,29.46,3.07,1.56
31-Jul-20,30.2,3.12,1.49
3-Aug-20,29.7,3.07,1.51
4-Aug-20,30.39,3.12,1.49
5-Aug-20,30.41,3.13,1.48
6-Aug-20,30.68,3.15,1.47
7-Aug-20,30.72,3.16,1.47
10-Aug-20,31.23,3.17,1.46
11-Aug-20,31.37,3.19,1.46
12-Aug-20,31.33,3.18,1.46
13-Aug-20,31.42,3.18,1.46
14-Aug-20,31.09,3.15,1.47
17-Aug-20,31.64,3.17,1.46
18-Aug-20,32.03,3.21,1.45
19-Aug-20,32.09,3.21,1.44
20-Aug-20,31.91,3.17,1.49
21-Aug-20,32.08,3.18,1.47
24-Aug-20,32.41,3.21,1.46
25-Aug-20,32.43,3.21,1.46
26-Aug-20,32.64,3.23,1.45
27-Aug-20,32.67,3.23,1.45
28-Aug-20,32.92,3.26,1.43
31-Aug-20,32.29,3.2,1.46
