Date,P/E,P/B,Div Yield
3-Jan-22,24.49,4.44,1.17
4-Jan-22,24.74,4.49,1.16
5-Jan-22,24.91,4.52,1.15
6-Jan-22,24.66,4.47,1.16
7-Jan-22,24.75,4.49,1.16
10-Jan-22,25.01,4.54,1.14
11-Jan-22,25.09,4.55,1.14
12-Jan-22,25.3,4.59,1.13
13-Jan-22,25.37,4.6,1.13
14-Jan-22,25.3,4.6,1.12
17-Jan-22,25.37,4.61,1.12
18-Jan-22,25,4.56,1.13
19-Jan-22,24.76,4.52,1.15
20-Jan-22,24.47,4.47,1.18
21-Jan-22,24.29,4.44,1.18
24-Jan-22,23.63,4.32,1.21
25-Jan-22,23.47,4.35,1.2
27-Jan-22,23.09,4.31,1.21
28-Jan-22,23.1,4.31,1.21
31-Jan-22,23.42,4.37,1.2
1-Feb-22,23.62,4.43,1.18
2-Feb-22,23.95,4.48,1.17
3-Feb-22,23.65,4.42,1.21
4-Feb-22,23.56,4.41,1.21
7-Feb-22,23.11,4.34,1.23
8-Feb-22,22.83,4.35,1.23
9-Feb-22,23.09,4.4,1.2
10-Feb-22,22.98,4.44,1.2
11-Feb-22,22.68,4.38,1.2
14-Feb-22,21.85,4.24,1.3
15-Feb-22,22.36,4.37,1.25
16-Feb-22,22.27,4.36,1.28
17-Feb-22,22.25,4.36,1.25
18-Feb-22,22.21,4.35,1.25
21-Feb-22,22.12,4.34,1.29
22-Feb-22,21.97,4.31,1.24
23-Feb-22,21.94,4.3,1.24
24-Feb-22,20.89,4.09,1.3
25-Feb-22,21.42,4.2,1.27
28-Feb-22,21.59,4.23,1.26
2-Mar-22,21.35,4.18,1.27
3-Mar-22,21.21,4.16,1.28
4-Mar-22,20.89,4.09,1.3
7-Mar-22,20.39,4,1.33
