Date,P/E,P/B,Div Yield
02-Jan-23,21.9,4.27,1.26
03-Jan-23,21.94,4.28,1.26
04-Jan-23,21.71,4.23,1.27
05-Jan-23,21.65,4.22,1.28
06-Jan-23,21.49,4.19,1.29
09-Jan-23,21.78,4.25,1.27
10-Jan-23,21.56,4.2,1.28
11-Jan-23,21.52,4.2,1.28
12-Jan-23,21.47,4.19,1.29
13-Jan-23,21.54,4.21,1.28
16-Jan-23,21.34,4.19,1.38
17-Jan-23,21.53,4.23,1.37
18-Jan-23,21.67,4.26,1.36
19-Jan-23,21.56,4.24,1.37
20-Jan-23,21.46,4.23,1.36
23-Jan-23,21.6,4.25,1.35
24-Jan-23,21.49,4.25,1.36
25-Jan-23,21.19,4.19,1.37
27-Jan-23,20.7,4.13,1.4
30-Jan-23,20.73,4.14,1.39
31-Jan-23,20.73,4.14,1.39
01-Feb-23,20.68,4.13,1.4
02-Feb-23,20.59,4.13,1.4
03-Feb-23,20.86,4.18,1.38
06-Feb-23,20.71,4.16,1.39
07-Feb-23,20.5,4.15,1.39
08-Feb-23,21.1,4.19,1.42
09-Feb-23,21.11,4.19,1.41
10-Feb-23,21.06,4.18,1.41
13-Feb-23,21.05,4.16,1.42
14-Feb-23,21.21,4.2,1.35
15-Feb-23,21.31,4.22,1.41
16-Feb-23,21.26,4.23,1.38
17-Feb-23,21.15,4.2,1.4
20-Feb-23,21.04,4.18,1.41
21-Feb-23,21.01,4.18,1.38
22-Feb-23,20.69,4.11,1.4
23-Feb-23,20.64,4.1,1.4
24-Feb-23,20.58,4.09,1.42
27-Feb-23,20.49,4.07,1.43
28-Feb-23,20.39,4.05,1.44
01-Mar-23,20.56,4.09,1.43
02-Mar-23,20.41,4.06,1.44
03-Mar-23,20.73,4.12,1.41
06-Mar-23,20.87,4.15,1.41
08-Mar-23,20.92,4.16,1.4
09-Mar-23,20.73,4.12,1.41
10-Mar-23,20.52,4.08,1.43
13-Mar-23,20.21,4.02,1.45
14-Mar-23,20.08,3.99,1.46
15-Mar-23,20,3.97,1.47
16-Mar-23,20.01,3.98,1.47
17-Mar-23,20.15,4,1.46
20-Mar-23,20.02,3.98,1.47
21-Mar-23,20.16,4.01,1.46
22-Mar-23,20.21,4.02,1.45
23-Mar-23,20.12,4,1.46
24-Mar-23,19.97,3.97,1.47
27-Mar-23,20.01,3.98,1.47
28-Mar-23,19.97,3.97,1.47
29-Mar-23,20.13,4,1.46
31-Mar-23,20.44,4.06,1.44
03-Apr-23,20.48,4.07,1.43
05-Apr-23,20.67,4.11,1.41
06-Apr-23,20.72,4.12,1.41
10-Apr-23,20.75,4.13,1.41
11-Apr-23,20.86,4.15,1.4
12-Apr-23,20.97,4.17,1.39
13-Apr-23,20.99,4.17,1.4
17-Apr-23,20.82,4.14,1.41
18-Apr-23,20.65,4.13,1.41
19-Apr-23,20.6,4.12,1.42
20-Apr-23,20.61,4.13,1.42
21-Apr-23,20.61,4.13,1.42
24-Apr-23,20.74,4.15,1.41
25-Apr-23,20.56,4.16,1.41
26-Apr-23,20.59,4.17,1.4
27-Apr-23,20.7,4.19,1.39
28-Apr-23,20.87,4.23,1.38
02-May-23,20.92,4.25,1.38
03-May-23,21.33,4.23,1.38
04-May-23,21.85,4.27,1.37
05-May-23,21.62,4.23,1.38
08-May-23,21.77,4.28,1.37
09-May-23,21.77,4.28,1.37
10-May-23,21.88,4.29,1.36
11-May-23,21.86,4.28,1.36
12-May-23,21.82,4.29,1.28
15-May-23,21.92,4.31,1.27
16-May-23,21.59,4.28,1.48
17-May-23,21.47,4.26,1.49
18-May-23,21.39,4.24,1.5
19-May-23,21.48,4.26,1.5
22-May-23,21.36,4.29,1.49
23-May-23,21.41,4.29,1.49
24-May-23,21.24,4.28,1.49
25-May-23,21.28,4.29,1.43
26-May-23,21.54,4.33,1.34
29-May-23,21.65,4.35,1.34
30-May-23,21.7,4.36,1.44
31-May-23,21.59,4.33,1.36
01-Jun-23,21.53,4.32,1.36
02-Jun-23,21.58,4.33,1.45
05-Jun-23,21.65,4.35,1.44
06-Jun-23,21.66,4.35,1.44
07-Jun-23,21.81,4.38,1.43
08-Jun-23,21.7,4.36,1.44
09-Jun-23,21.62,4.34,1.45
12-Jun-23,21.66,4.35,1.44
13-Jun-23,21.79,4.37,1.43
14-Jun-23,21.84,4.38,1.43
15-Jun-23,21.76,4.37,1.39
16-Jun-23,21.92,4.4,1.39
19-Jun-23,21.84,4.38,1.42
20-Jun-23,21.91,4.4,1.4
21-Jun-23,21.96,4.41,1.4
22-Jun-23,21.85,4.39,1.44
23-Jun-23,21.73,4.36,1.45
26-Jun-23,21.76,4.37,1.45
27-Jun-23,21.9,4.4,1.44
28-Jun-23,22.08,4.43,1.43
30-Jun-23,22.36,4.5,1.41
03-Jul-23,22.51,4.53,1.4
04-Jul-23,22.59,4.54,1.38
05-Jul-23,22.6,4.55,1.38
06-Jul-23,22.72,4.57,1.37
07-Jul-23,22.52,4.53,1.39
10-Jul-23,22.55,4.54,1.38
11-Jul-23,22.65,4.56,1.38
12-Jul-23,22.58,4.54,1.38
13-Jul-23,23.81,4.74,1.32
14-Jul-23,23.96,4.78,1.3
17-Jul-23,24.14,4.82,1.29
18-Jul-23,24.18,4.83,1.28
19-Jul-23,24.09,4.85,1.27
20-Jul-23,24.24,4.88,1.28
21-Jul-23,23.95,4.82,1.27
24-Jul-23,23.83,4.81,1.28
25-Jul-23,23.55,4.81,1.28
26-Jul-23,23.97,4.83,1.27
27-Jul-23,23.83,4.8,1.28
28-Jul-23,22.91,4.8,1.29
31-Jul-23,23.01,4.83,1.28
01-Aug-23,22.96,4.82,1.28
02-Aug-23,22.72,4.73,1.33
03-Aug-23,22.55,4.69,1.35
04-Aug-23,22.71,4.72,1.34
07-Aug-23,22.83,4.74,1.34
08-Aug-23,22.73,4.73,1.31
09-Aug-23,22.81,4.75,1.37
10-Aug-23,22.77,4.73,1.36
11-Aug-23,22.63,4.7,1.38
14-Aug-23,22.64,4.7,1.39
16-Aug-23,22.52,4.68,1.39
17-Aug-23,22.39,4.66,1.39
18-Aug-23,22.32,4.64,1.36
21-Aug-23,22.42,4.66,1.37
22-Aug-23,22.13,4.55,1.37
23-Aug-23,22.19,4.56,1.37
