Date,P/E,P/B,Div Yield
01-Jan-25,21.88,3.54,1.27
02-Jan-25,22.29,3.61,1.25
03-Jan-25,22.12,3.58,1.26
06-Jan-25,21.76,3.52,1.28
07-Jan-25,21.84,3.54,1.27
08-Jan-25,21.83,3.53,1.27
09-Jan-25,21.68,3.51,1.28
10-Jan-25,21.59,3.49,1.28
13-Jan-25,21.25,3.44,1.3
14-Jan-25,21.34,3.46,1.3
15-Jan-25,21.37,3.46,1.3
16-Jan-25,21.46,3.48,1.29
17-Jan-25,21.36,3.46,1.39
20-Jan-25,21.4,3.48,1.34
21-Jan-25,21.07,3.43,1.36
22-Jan-25,21.19,3.45,1.35
23-Jan-25,21.24,3.46,1.35
24-Jan-25,21.09,3.44,1.35
27-Jan-25,20.85,3.4,1.37
28-Jan-25,20.85,3.42,1.38
29-Jan-25,21.06,3.45,1.38
30-Jan-25,21.12,3.47,1.37
31-Jan-25,21.33,3.51,1.38
01-Feb-25,21.29,3.5,1.38
03-Feb-25,21.22,3.48,1.39
04-Feb-25,21.56,3.54,1.37
05-Feb-25,21.52,3.53,1.37
06-Feb-25,21.45,3.52,1.38
07-Feb-25,21.41,3.51,1.41
10-Feb-25,20.82,3.48,1.36
11-Feb-25,20.53,3.43,1.38
12-Feb-25,20.52,3.43,1.45
13-Feb-25,20.51,3.43,1.45
14-Feb-25,20.42,3.41,1.46
17-Feb-25,20.44,3.42,1.42
18-Feb-25,20.4,3.42,1.42
19-Feb-25,20.38,3.41,1.42
20-Feb-25,20.37,3.41,1.41
21-Feb-25,20.26,3.39,1.41
24-Feb-25,20.05,3.36,1.42
25-Feb-25,20.04,3.36,1.42
27-Feb-25,20.04,3.36,1.42
28-Feb-25,19.67,3.29,1.45
03-Mar-25,19.66,3.29,1.45
04-Mar-25,19.63,3.29,1.45
05-Mar-25,19.86,3.33,1.44
06-Mar-25,20.04,3.36,1.42
07-Mar-25,20.05,3.36,1.42
10-Mar-25,19.96,3.34,1.43
11-Mar-25,20,3.35,1.43
12-Mar-25,19.97,3.34,1.43
13-Mar-25,19.91,3.33,1.44
17-Mar-25,20.01,3.35,1.43
18-Mar-25,20.3,3.4,1.41
19-Mar-25,20.36,3.41,1.41
20-Mar-25,20.61,3.45,1.39
21-Mar-25,20.76,3.48,1.38
24-Mar-25,21.03,3.52,1.36
25-Mar-25,21.04,3.52,1.36
26-Mar-25,20.88,3.5,1.37
27-Mar-25,20.97,3.51,1.36
28-Mar-25,21.37,3.48,1.32
01-Apr-25,21.05,3.43,1.34
02-Apr-25,21.2,3.45,1.33
03-Apr-25,21.13,3.44,1.33
04-Apr-25,20.82,3.39,1.35
07-Apr-25,20.14,3.28,1.4
08-Apr-25,20.48,3.33,1.37
09-Apr-25,20.36,3.31,1.38
11-Apr-25,20.75,3.38,1.36
15-Apr-25,21.2,3.45,1.33
16-Apr-25,21.3,3.47,1.32
17-Apr-25,21.68,3.53,1.3
21-Apr-25,21.93,3.57,1.28
22-Apr-25,21.97,3.57,1.28
23-Apr-25,21.99,3.6,1.27
24-Apr-25,21.91,3.59,1.28
25-Apr-25,21.72,3.56,1.29
28-Apr-25,21.97,3.6,1.29
29-Apr-25,21.94,3.6,1.29
30-Apr-25,21.94,3.6,1.29
02-May-25,21.95,3.6,1.29
05-May-25,21.99,3.62,1.28
06-May-25,21.95,3.61,1.29
07-May-25,21.99,3.61,1.27
08-May-25,21.86,3.59,1.28
09-May-25,21.62,3.55,1.29
12-May-25,22.43,3.69,1.11
13-May-25,22.08,3.64,1.13
14-May-25,22.14,3.65,1.13
15-May-25,22.43,3.71,1.11
16-May-25,22.39,3.7,1.14
19-May-25,22.33,3.69,1.14
20-May-25,22.08,3.65,1.15
21-May-25,22.19,3.67,1.15
22-May-25,22.01,3.64,1.11
23-May-25,22.4,3.68,1.1
26-May-25,22.58,3.7,1.09
27-May-25,22.38,3.67,1.1
28-May-25,22.32,3.66,1.16
29-May-25,22.39,3.63,1.17
30-May-25,22.32,3.62,1.25
02-Jun-25,22.29,3.62,1.16
03-Jun-25,22.07,3.59,1.21
04-Jun-25,22.14,3.6,1.18
05-Jun-25,22.25,3.62,1.17
06-Jun-25,22.47,3.65,1.19
09-Jun-25,22.56,3.66,1.18
10-Jun-25,22.57,3.66,1.19
11-Jun-25,22.6,3.66,1.17
12-Jun-25,22.37,3.62,1.18
13-Jun-25,22.22,3.6,1.19
16-Jun-25,22.42,3.63,1.15
17-Jun-25,22.34,3.62,1.16
18-Jun-25,22.3,3.61,1.16
19-Jun-25,22.29,3.61,1.16
20-Jun-25,22.57,3.65,1.14
23-Jun-25,22.44,3.63,1.13
24-Jun-25,22.51,3.64,1.12
25-Jun-25,22.69,3.67,1.11
26-Jun-25,22.96,3.72,1.1
27-Jun-25,23.04,3.73,1.25
30-Jun-25,22.97,3.7,1.24
01-Jul-25,22.99,3.7,1.24
