Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr)
01-JAN-2025,23637.65,23822.8,23562.8,23742.9,154921938,14266.26
02-JAN-2025,23783,24226.7,23751.55,24188.65,283200811,32237.25
03-JAN-2025,24196.4,24196.45,23976,24004.75,312279515,29411.99
06-JAN-2025,24045.8,24089.95,23551.9,23616.05,278061806,25853.64
07-JAN-2025,23679.9,23795.2,23637.8,23707.9,262337253,22485.65
08-JAN-2025,23746.65,23751.85,23496.15,23688.95,266375381,24718.54
09-JAN-2025,23674.75,23689.5,23503.05,23526.5,269239831,26793.85
10-JAN-2025,23551.9,23596.6,23344.35,23431.5,261022434,25017.6
13-JAN-2025,23195.4,23340.95,23047.25,23085.95,316481107,26890.37
14-JAN-2025,23165.9,23264.95,23134.15,23176.05,311235510,31174.05
15-JAN-2025,23250.45,23293.65,23146.45,23213.2,228039156,21587.78
16-JAN-2025,23377.25,23391.65,23272.05,23311.8,299416081,29784.82
17-JAN-2025,23277.1,23292.1,23100.35,23203.2,272945267,27040.78
20-JAN-2025,23290.4,23391.1,23170.65,23344.75,301455455,27333.97
21-JAN-2025,23421.65,23426.3,22976.85,23024.65,312871897,30106.72
22-JAN-2025,23099.15,23169.55,22981.3,23155.35,275951918,25462.05
