Announcement Date,Ex-Date,Dividend Type,Dividend (%),Dividend (Rs),Remarks,Stockname,Announce Date,Ex Date
2022-07-02,2022-02-15,Interim,20,1.0,Re.1.0000 per share (20%) Second Interim Dividend,AARTIIND,07/02/2022,02/15/2022
2021-10-29,2021-10-11,Interim,20,1.0,Rs.1.0000 per share(20%)Interim Dividend,AARTIIND,10/29/2021,10/11/2021
2021-05-18,2021-09-20,Final,30,1.5,Rs.3.0000 per share(60%)Final Dividend ([PreBonus] or <br>Rs 1.50 (30%) per equity share [Post-Bonus].,AARTIIND,05/18/2021,09/20/2021
2020-09-11,2020-11-19,Interim,30,1.5,Rs.1.5000 per share(30%)Interim Dividend,AARTIIND,09/11/2020,11/19/2020
2020-05-26,2020-10-09,Final,20,1.0,Rs.1.0000 per share(20%)Final Dividend,AARTIIND,05/26/2020,10/09/2020
2020-12-02,2020-02-24,Interim,50,2.5,Rs.2.5000 per share(50%)Interim Dividend,AARTIIND,12/02/2020,02/24/2020
2019-05-21,2019-08-27,Final,140,7.0,Rs.7.0000 per share(140%)Final Dividend,AARTIIND,05/21/2019,08/27/2019
2019-04-02,2019-12-02,Interim,80,4.0,Rs.4.0000 per share(80%)Interim Dividend,AARTIIND,04/02/2019,12/02/2019
2018-11-05,2018-11-09,Final,20,1.0,Rs.1.0000 per share(20%)Final Dividend,AARTIIND,11/05/2018,11/09/2018
2017-05-22,2017-09-18,Final,20,1.0,Rs.1.0000 per share(20%)Final Dividend,AARTIIND,05/22/2017,09/18/2017
2016-03-03,2016-03-22,Interim,70,3.5,Rs.3.5000 per share (70%) Third Interim Dividend,AARTIIND,03/03/2016,03/22/2016
2016-01-22,2016-12-02,Interim,40,2.0,Rs.2.0000 per share(40%)Second Interim Dividend,AARTIIND,01/22/2016,12/02/2016
2015-10-26,2015-09-11,Interim,60,0.0,Rs.3.0000 per share(60%)Interim Dividend,AARTIIND,10/26/2015,09/11/2015
2015-05-13,2015-09-15,Final,35,0.0,Rs.1.7500 per share(35%)Final Dividend,AARTIIND,05/13/2015,09/15/2015
2015-01-23,2015-12-02,Interim,30,0.0,Rs.1.5000 per share(30%)Second Interim Dividend,AARTIIND,01/23/2015,12/02/2015
2014-10-29,2014-11-13,Interim,45,0.0,Rs.2.2500 per share(45%)Interim Dividend,AARTIIND,10/29/2014,11/13/2014
2014-02-06,2014-09-15,Final,30,0.0,Rs.1.5000 per share(30%)Final Dividend,AARTIIND,02/06/2014,09/15/2014
2014-03-02,2014-06-02,Interim,25,0.0,Rs.1.2500 per share(25%)Second Interim Dividend,AARTIIND,03/02/2014,06/02/2014
2013-05-11,2013-11-19,Interim,35,0.0,Rs.1.7500 per share(35%)Interim Dividend,AARTIIND,05/11/2013,11/19/2013
2013-05-16,2013-12-09,Final,25,0.0,Rs.1.2500 per share(25%)Final Dividend,AARTIIND,05/16/2013,12/09/2013
2013-06-02,2013-11-02,Interim,25,0.0,Rs.1.2500 per share(25%)Second Interim Dividend,AARTIIND,06/02/2013,11/02/2013
2012-10-19,2012-05-11,Interim,30,0.0,Rs.1.5000 per share(30%)Interim Dividend,AARTIIND,10/19/2012,05/11/2012
2012-05-25,2012-02-08,Final,30,0.0,,AARTIIND,05/25/2012,02/08/2012
2012-01-24,2012-06-02,Interim,40,0.0,,AARTIIND,01/24/2012,06/02/2012
2011-03-31,2011-09-16,Final,25,0.0,Rs.1.25 per share(25%)Final Dividend,AARTIIND,03/31/2011,09/16/2011
2011-01-18,2011-07-02,Interim,25,0.0,,AARTIIND,01/18/2011,07/02/2011
2010-05-26,2010-07-09,Final,14,0.0,,AARTIIND,05/26/2010,07/09/2010
2010-01-18,2010-03-02,Interim,36,0.0,,AARTIIND,01/18/2010,03/02/2010
2009-05-28,2009-09-29,Final,24,0.0,,AARTIIND,05/28/2009,09/29/2009
2008-08-10,2008-10-31,Interim,36,0.0,,AARTIIND,08/10/2008,10/31/2008
2008-05-29,2008-10-07,Final,10,0.0,AGM,AARTIIND,05/29/2008,10/07/2008
2008-01-14,2008-01-02,Interim,20,0.0,,AARTIIND,01/14/2008,01/02/2008
2007-06-03,2007-03-20,Interim,6,0.0,Second Interim Dividend,AARTIIND,06/03/2007,03/20/2007
2007-01-23,2007-02-13,Interim,10,0.0,,AARTIIND,01/23/2007,02/13/2007
2006-05-23,2006-09-18,Final,8,0.0,AGM,AARTIIND,05/23/2006,09/18/2006
2006-01-02,2006-02-20,Interim,14,0.0,Second Interim Dividend,AARTIIND,01/02/2006,02/20/2006
2005-10-24,2005-02-11,Interim,17,0.0,,AARTIIND,10/24/2005,02/11/2005
2005-12-05,2005-09-21,Final,7,0.0,AGM,AARTIIND,12/05/2005,09/21/2005
2005-01-25,2005-09-02,Interim,40,0.0,Second Interim Dividend & Bonus Issue,AARTIIND,01/25/2005,09/02/2005
2004-10-21,2004-03-11,Interim,40,0.0,,AARTIIND,10/21/2004,03/11/2004
2004-10-05,2004-07-20,Final,40,0.0,AGM,AARTIIND,10/05/2004,07/20/2004
2003-10-17,2003-11-14,Interim,35,0.0,,AARTIIND,10/17/2003,11/14/2003
2003-06-20,2003-07-23,Final,65,0.0,AGM,AARTIIND,06/20/2003,07/23/2003
2001-08-10,2001-10-23,Interim,20,0.0,,AARTIIND,08/10/2001,10/23/2001
2001-04-27,2001-05-21,Final,21,0.0,,AARTIIND,04/27/2001,05/21/2001
2001-01-19,2001-01-02,Interim,15,0.0,,AARTIIND,01/19/2001,01/02/2001
