Announcement Date,Ex-Date,Dividend Type,Dividend (%),Dividend (Rs),Remarks,Stockname,Announce Date,Ex Date
2022-05-19,2022-07-22,Final,500,10.0,Rs.10.0000 per share(500%)Dividend,ALKYLAMINE,05/19/2022,07/22/2022
2021-05-27,2021-12-07,Final,300,6.0,Rs.6.0000 per share(300%)Final Dividend,ALKYLAMINE,05/27/2021,12/07/2021
2021-02-02,2021-12-02,Interim,200,10.0,Rs.10.0000 per share(200%)Interim Dividend,ALKYLAMINE,02/02/2021,12/02/2021
2020-06-23,2020-06-08,Final,200,10.0,Rs.10.0000 per share(200%)Dividend,ALKYLAMINE,06/23/2020,06/08/2020
2020-06-02,2020-02-18,Interim,200,10.0,Rs.10.0000 per share(200%)Interim Dividend,ALKYLAMINE,06/02/2020,02/18/2020
2019-05-21,2019-07-26,Final,160,8.0,Rs.8.0000 per share(160%)Final Dividend,ALKYLAMINE,05/21/2019,07/26/2019
2018-05-18,2018-07-20,Final,140,7.0,Rs.7.0000 per share(140%)Dividend,ALKYLAMINE,05/18/2018,07/20/2018
2017-05-18,2017-07-14,Final,100,5.0,Rs.5.0000 per share(100%)Dividend,ALKYLAMINE,05/18/2017,07/14/2017
2016-03-03,2016-03-16,Interim,200,10.0,Rs.10.0000 per share(200%)Interim Dividend,ALKYLAMINE,03/03/2016,03/16/2016
2015-05-15,2015-06-26,Final,80,0.0,Rs.4.0000 per share(80%)Dividend,ALKYLAMINE,05/15/2015,06/26/2015
2014-05-15,2014-07-28,Final,80,0.0,Rs.8.0000 per share(80%)Dividend,ALKYLAMINE,05/15/2014,07/28/2014
2013-05-16,2013-07-29,Final,50,0.0,Rs.5.0000 per share(50%)Dividend,ALKYLAMINE,05/16/2013,07/29/2013
2012-05-22,2012-07-27,Final,40,0.0,Rs.4.00 per share(40%)Dividend,ALKYLAMINE,05/22/2012,07/27/2012
2011-02-06,2011-07-26,Final,30,0.0,Rs.3.00 per share(30%)Dividend,ALKYLAMINE,02/06/2011,07/26/2011
2010-05-26,2010-07-13,Final,30,0.0,,ALKYLAMINE,05/26/2010,07/13/2010
2009-05-20,2009-07-20,Final,20,0.0,,ALKYLAMINE,05/20/2009,07/20/2009
2008-06-23,2008-07-22,Final,25,0.0,AGM,ALKYLAMINE,06/23/2008,07/22/2008
2007-05-17,2007-07-16,Final,22,0.0,AGM,ALKYLAMINE,05/17/2007,07/16/2007
2006-05-23,2006-06-23,Final,18,0.0,AGM,ALKYLAMINE,05/23/2006,06/23/2006
2005-06-22,2005-02-08,Final,15,0.0,AGM,ALKYLAMINE,06/22/2005,02/08/2005
2004-05-21,2004-07-14,Final,12,0.0,AGM,ALKYLAMINE,05/21/2004,07/14/2004
2003-05-14,2003-07-22,Final,12,0.0,AGM,ALKYLAMINE,05/14/2003,07/22/2003
