Announcement Date,Ex-Date,Dividend Type,Dividend (%),Dividend (Rs),Remarks,Stockname,Announce Date,Ex Date
2021-06-23,2021-08-18,Final,60,3.0,Rs.3.0000 per share(60%)Dividend,APOLLOHOSP,06/23/2021,08/18/2021
2020-06-25,2020-09-17,Final,55,2.75,Rs.2.7500 per share(55%)Final Dividend,APOLLOHOSP,06/25/2020,09/17/2020
2020-02-13,2020-02-25,Interim,65,3.25,Rs.3.2500 per share(65%)Interim Dividend,APOLLOHOSP,02/13/2020,02/25/2020
2019-05-30,2019-12-09,Final,120,6.0,Rs.6.0000 per share(120%)Dividend (Revised),APOLLOHOSP,05/30/2019,12/09/2019
2018-05-30,2018-12-09,Final,100,5.0,Rs.5.0000 per share(100%)Dividend,APOLLOHOSP,05/30/2018,12/09/2018
2017-05-30,2017-07-09,Final,120,6.0,Rs.6.0000 per share(120%) Dividend.,APOLLOHOSP,05/30/2017,07/09/2017
2016-04-03,2016-03-22,Interim,120,6.0,Rs.6.0000 per share(120%)Interim Dividend,APOLLOHOSP,04/03/2016,03/22/2016
2015-05-28,2015-07-30,Final,115,0.0,Rs.5.7500 per share(115%)Dividend,APOLLOHOSP,05/28/2015,07/30/2015
2014-05-28,2014-08-13,Final,115,0.0,Rs.5.7500 per share(115%)Dividend,APOLLOHOSP,05/28/2014,08/13/2014
2013-05-20,2013-07-25,Final,110,0.0,Rs.5.5000 per share(110%)Dividend,APOLLOHOSP,05/20/2013,07/25/2013
2012-05-29,2012-07-26,Final,80,0.0,,APOLLOHOSP,05/29/2012,07/26/2012
2011-05-24,2011-07-07,Final,75,0.0,,APOLLOHOSP,05/24/2011,07/07/2011
2010-05-31,2010-07-15,Final,70,0.0,,APOLLOHOSP,05/31/2010,07/15/2010
2009-06-29,2009-08-20,Final,65,0.0,,APOLLOHOSP,06/29/2009,08/20/2009
2008-06-24,2008-11-08,Final,60,0.0,AGM,APOLLOHOSP,06/24/2008,11/08/2008
2007-06-26,2007-09-08,Final,20,0.0,AGM,APOLLOHOSP,06/26/2007,09/08/2007
2007-12-03,2007-03-22,Interim,30,0.0,,APOLLOHOSP,12/03/2007,03/22/2007
2006-12-06,2006-07-27,Final,45,0.0,AGM,APOLLOHOSP,12/06/2006,07/27/2006
2005-05-23,2005-07-29,Final,40,0.0,AGM,APOLLOHOSP,05/23/2005,07/29/2005
2004-06-25,2004-08-30,Final,35,0.0,AGM,APOLLOHOSP,06/25/2004,08/30/2004
2003-06-25,2003-11-08,Final,30,0.0,AGM,APOLLOHOSP,06/25/2003,11/08/2003
2002-06-17,2002-02-09,Final,25,0.0,,APOLLOHOSP,06/17/2002,02/09/2002
2001-12-06,2001-08-17,Final,25,0.0,AGM,APOLLOHOSP,12/06/2001,08/17/2001
2000-03-07,2000-08-22,Final,5,0.0,,APOLLOHOSP,03/07/2000,08/22/2000
