Announcement Date,Ex-Date,Dividend Type,Dividend (%),Dividend (Rs),Remarks,Stockname,Announce Date,Ex Date
2022-05-19,2022-07-14,Final,100,1.0,Rs.1.0000 per share(100%)Dividend,ASHOKLEY,05/19/2022,07/14/2022
2021-06-25,2021-08-31,Final,60,0.6,Rs.0.6000 per share(60%)Final Dividend,ASHOKLEY,06/25/2021,08/31/2021
2020-04-03,2020-03-19,Interim,50,0.5,Rs.0.5000 per share(50%)Interim Dividend,ASHOKLEY,04/03/2020,03/19/2020
2019-05-24,2019-07-23,Final,310,3.1,Rs.3.1000 per share(310%)Dividend,ASHOKLEY,05/24/2019,07/23/2019
2018-05-18,2018-09-07,Final,243,2.43,Rs.2.4300 per share(243%)Dividend,ASHOKLEY,05/18/2018,09/07/2018
2017-05-26,2017-11-07,Final,156,1.56,Rs.1.5600 per share(156%)Dividend,ASHOKLEY,05/26/2017,11/07/2017
2016-05-25,2016-07-13,Final,95,0.95,Rs.0.9500 per share(95%)Dividend,ASHOKLEY,05/25/2016,07/13/2016
2015-12-05,2015-06-17,Final,45,0.0,Rs.0.4500 per share(45%)Dividend,ASHOKLEY,12/05/2015,06/17/2015
2013-10-05,2013-04-07,Final,60,0.0,Rs.0.6000 per share(60%)Dividend,ASHOKLEY,10/05/2013,04/07/2013
2012-05-14,2012-12-07,Final,100,0.0,,ASHOKLEY,05/14/2012,12/07/2012
2011-05-19,2011-06-29,Final,200,0.0,,ASHOKLEY,05/19/2011,06/29/2011
2010-04-29,2010-07-16,Final,150,0.0,,ASHOKLEY,04/29/2010,07/16/2010
2009-05-15,2009-07-14,Final,100,0.0,,ASHOKLEY,05/15/2009,07/14/2009
2008-08-05,2008-07-16,Final,150,0.0,,ASHOKLEY,08/05/2008,07/16/2008
2007-03-14,2007-03-28,Interim,150,0.0,,ASHOKLEY,03/14/2007,03/28/2007
2006-03-05,2006-12-07,Final,120,0.0,AGM,ASHOKLEY,03/05/2006,12/07/2006
2005-04-28,2005-07-07,Final,100,0.0,AGM,ASHOKLEY,04/28/2005,07/07/2005
2004-11-06,2004-06-29,Final,75,0.0,AGM & Stock Split,ASHOKLEY,11/06/2004,06/29/2004
2003-02-05,2003-06-30,Final,50,0.0,AGM & Dividend 50%,ASHOKLEY,02/05/2003,06/30/2003
2002-07-05,2002-04-07,Final,45,0.0,AGM,ASHOKLEY,07/05/2002,04/07/2002
2001-04-24,2001-06-18,Final,40,0.0,AGM,ASHOKLEY,04/24/2001,06/18/2001
