Announcement Date,Ex-Date,Dividend Type,Dividend (%),Dividend (Rs),Remarks,Stockname,Announce Date,Ex Date
2022-10-05,2022-09-06,Final,1550,15.5,Rs.15.5000 per share(1550%)Final Dividend,ASIANPAINT,10/05/2022,09/06/2022
2021-04-10,2021-10-28,Interim,365,3.65,Rs.3.6500 per share(365%)Interim Dividend,ASIANPAINT,04/10/2021,10/28/2021
2021-12-05,2021-10-06,Final,1450,14.5,Rs.14.5000 per share(1450%)Final Dividend,ASIANPAINT,12/05/2021,10/06/2021
2020-05-10,2020-10-28,Interim,335,3.35,Rs.3.3500 per share(335%)Interim Dividend,ASIANPAINT,05/10/2020,10/28/2020
2020-06-23,2020-07-23,Final,150,1.5,Rs.1.5000 per share(150%)Final Dividend,ASIANPAINT,06/23/2020,07/23/2020
2020-02-19,2020-03-03,Interim,715,7.15,Rs.7.1500 per share(715%)Second Interim Dividend,ASIANPAINT,02/19/2020,03/03/2020
2019-07-10,2019-10-30,Interim,335,3.35,Rs.3.3500 per share(335%)Interim Dividend,ASIANPAINT,07/10/2019,10/30/2019
2019-09-05,2019-06-13,Final,765,7.65,Rs.7.6500 per share(765%)Final Dividend,ASIANPAINT,09/05/2019,06/13/2019
2018-04-10,2018-10-29,Interim,285,2.85,Rs.2.8500 per share(285%)Interim Dividend,ASIANPAINT,04/10/2018,10/29/2018
2018-10-05,2018-06-14,Final,605,6.05,Rs.6.0500 per share(605%)Final Dividend.,ASIANPAINT,10/05/2018,06/14/2018
2017-09-29,2017-10-31,Interim,265,2.65,Rs.2.6500 per share(265%)Interim Dividend,ASIANPAINT,09/29/2017,10/31/2017
2017-11-05,2017-06-15,Final,565,5.65,Rs.5.6500 per share(565%)Final Dividend,ASIANPAINT,11/05/2017,06/15/2017
2017-12-05,2017-06-15,Special,200,2.0,Rs.2.0000 per share(200%)Special Dividend.,ASIANPAINT,12/05/2017,06/15/2017
2016-04-10,2016-01-11,Interim,265,2.65,Rs.2.6500 per share(265%)Interim Dividend,ASIANPAINT,04/10/2016,01/11/2016
2016-11-05,2016-06-16,Final,530,5.3,Rs.5.3000 per share(530%)Final Dividend,ASIANPAINT,11/05/2016,06/16/2016
2015-01-10,2015-10-28,Interim,220,2.2,Rs.2.2000 per share(220%)Interim Dividend,ASIANPAINT,01/10/2015,10/28/2015
2015-05-18,2015-06-24,Final,430,4.3,Rs.4.3000 per share(430%)Final Dividend,ASIANPAINT,05/18/2015,06/24/2015
2014-08-28,2014-09-22,Interim,180,1.8,Rs.1.8000 per share(180%)Interim Dividend,ASIANPAINT,08/28/2014,09/22/2014
2014-05-14,2014-06-16,Final,420,4.2,Rs.4.2000 per share(420%)Final Dividend,ASIANPAINT,05/14/2014,06/16/2014
2013-09-30,2013-10-24,Interim,110,1.1,Rs.1.1000 per share(110%)Interim Dividend,ASIANPAINT,09/30/2013,10/24/2013
2013-09-05,2013-06-06,Final,365,36.5,Rs.36.5000 per share(365%)Final Dividend,ASIANPAINT,09/05/2013,06/06/2013
2012-04-10,2012-10-29,Interim,95,9.5,Rs.9.5000 per share(95%)Interim Dividend,ASIANPAINT,04/10/2012,10/29/2012
2012-08-05,2012-07-06,Final,305,30.5,,ASIANPAINT,08/05/2012,07/06/2012
2011-03-10,2011-10-25,Interim,95,9.5,,ASIANPAINT,03/10/2011,10/25/2011
2011-10-05,2011-09-06,Final,235,23.5,,ASIANPAINT,10/05/2011,09/06/2011
2010-12-10,2010-10-29,Interim,85,8.5,,ASIANPAINT,12/10/2010,10/29/2010
2010-05-28,2010-06-30,Final,185,18.5,,ASIANPAINT,05/28/2010,06/30/2010
2009-09-30,2009-10-26,Interim,85,8.5,,ASIANPAINT,09/30/2009,10/26/2009
2009-12-05,2009-06-17,Final,110,11.0,,ASIANPAINT,12/05/2009,06/17/2009
2008-07-10,2008-10-29,Interim,65,6.5,,ASIANPAINT,07/10/2008,10/29/2008
2008-09-05,2008-12-06,Final,105,10.5,,ASIANPAINT,09/05/2008,12/06/2008
2007-01-10,2007-10-25,Interim,65,6.5,,ASIANPAINT,01/10/2007,10/25/2007
2007-10-05,2007-06-13,Final,10,1.0,AGM,ASIANPAINT,10/05/2007,06/13/2007
2007-06-03,2007-03-20,Interim,65,6.5,Second Interim Dividend,ASIANPAINT,06/03/2007,03/20/2007
2006-11-10,2006-03-11,Interim,55,5.5,,ASIANPAINT,11/10/2006,03/11/2006
2006-10-05,2006-06-15,Final,80,8.0,AGM (55% Final Dividend & 25% on the ocassion of 60th year of incorporation of the Company.,ASIANPAINT,10/05/2006,06/15/2006
2005-11-10,2005-10-31,Interim,45,4.5,,ASIANPAINT,11/10/2005,10/31/2005
2005-11-05,2005-06-22,Final,55,5.5,AGM,ASIANPAINT,11/05/2005,06/22/2005
2004-11-10,2004-01-11,Interim,40,4.0,,ASIANPAINT,11/10/2004,01/11/2004
2004-11-05,2004-06-16,Final,50,5.0,AGM,ASIANPAINT,11/05/2004,06/16/2004
2003-08-10,2003-07-11,Interim,35,3.5,,ASIANPAINT,08/10/2003,07/11/2003
2003-05-28,2003-09-07,Final,65,6.5,AGM,ASIANPAINT,05/28/2003,09/07/2003
2002-09-19,2002-10-21,Interim,45,4.5,,ASIANPAINT,09/19/2002,10/21/2002
2002-05-29,2002-11-07,Final,55,5.5,,ASIANPAINT,05/29/2002,11/07/2002
2001-04-10,2001-10-19,Interim,35,0.0,,ASIANPAINT,04/10/2001,10/19/2001
2001-05-18,2001-02-08,Final,40,0.0,AGM (Revised),ASIANPAINT,05/18/2001,02/08/2001
2000-03-10,2000-10-16,Interim,30,0.0,,ASIANPAINT,03/10/2000,10/16/2000
