Announcement Date,Ex-Date,Dividend Type,Dividend (%),Dividend (Rs),Remarks,Stockname,Announce Date,Ex Date
2021-01-11,2021-11-17,Interim,125.0,1.25,Rs.1.2500 per share(125%)Interim Dividend,ASTRAL,01/11/2021,11/17/2021
2021-05-18,2021-08-23,Final,100.0,1.0,Rs.1.0000 per share(100%)Final Dividend,ASTRAL,05/18/2021,08/23/2021
2020-10-29,2020-12-11,Interim,100.0,1.0,Rs.1.0000 per share(100%)Interim Dividend,ASTRAL,10/29/2020,12/11/2020
2020-05-02,2020-02-17,Interim,60.0,0.6,Rs.0.6000 per share(60%)Second Interim Dividend,ASTRAL,05/02/2020,02/17/2020
2019-10-14,2019-10-31,Interim,40.0,0.4,Rs.0.4000 per share(40%)Interim Dividend,ASTRAL,10/14/2019,10/31/2019
2019-05-20,2019-07-25,Final,40.0,0.4,Rs.0.4000 per share(40%)Final Dividend,ASTRAL,05/20/2019,07/25/2019
2018-01-11,2018-11-20,Interim,30.0,0.3,Rs.0.3000 per share(30%)Interim Dividend,ASTRAL,01/11/2018,11/20/2018
2018-05-23,2018-08-14,Final,35.0,0.35,Rs.0.3500 per share(35%)Final Dividend,ASTRAL,05/23/2018,08/14/2018
2017-02-11,2017-11-20,Interim,25.0,0.25,Rs.0.2500 per share(25%)Interim Dividend,ASTRAL,02/11/2017,11/20/2017
2017-05-31,2017-07-31,Final,30.0,0.3,Rs.0.3000 per share(30%)Final Dividend,ASTRAL,05/31/2017,07/31/2017
2016-08-11,2016-11-24,Interim,20.0,0.2,Rs.0.2000 per share(20%)Interim Dividend,ASTRAL,08/11/2016,11/24/2016
2016-08-03,2016-03-17,Interim,25.0,0.25,Rs.0.2500 per share(25%)Second Interim Dividend,ASTRAL,08/03/2016,03/17/2016
2015-10-26,2015-09-11,Interim,15.0,0.0,Rs.0.1500 per share(15%)Interim Dividend,ASTRAL,10/26/2015,09/11/2015
2015-05-28,2015-03-08,Final,22.5,0.0,Rs.0.2250 per share(22.5%)Final Dividend,ASTRAL,05/28/2015,03/08/2015
2014-10-28,2014-05-11,Interim,15.0,0.0,Rs.0.1500 per share(15%)Interim Dividend,ASTRAL,10/28/2014,05/11/2014
2014-05-05,2014-08-13,Final,20.0,0.0,Rs.0.4000 per share(20%)Final Dividend,ASTRAL,05/05/2014,08/13/2014
2013-01-11,2013-11-13,Interim,12.5,0.0,Rs.0.2500 per share(12.5%)Interim Dividend,ASTRAL,01/11/2013,11/13/2013
2013-05-20,2013-07-23,Final,15.0,0.0,Rs.0.7500 per share(15%)Final Dividend,ASTRAL,05/20/2013,07/23/2013
2012-09-11,2012-11-22,Interim,10.0,0.0,Rs.0.5000 per share(10%)Interim Dividend,ASTRAL,09/11/2012,11/22/2012
2012-05-22,2012-07-30,Final,12.5,0.0,,ASTRAL,05/22/2012,07/30/2012
2011-05-11,2011-11-17,Interim,10.0,0.0,,ASTRAL,05/11/2011,11/17/2011
2011-05-20,2011-07-21,Final,12.5,0.0,,ASTRAL,05/20/2011,07/21/2011
2010-10-25,2010-03-11,Interim,10.0,0.0,,ASTRAL,10/25/2010,03/11/2010
2010-05-21,2010-07-28,Final,10.0,0.0,(Book closure end date Revised),ASTRAL,05/21/2010,07/28/2010
2009-10-14,2009-10-22,Interim,10.0,0.0,,ASTRAL,10/14/2009,10/22/2009
2009-05-28,2009-07-16,Final,10.0,0.0,,ASTRAL,05/28/2009,07/16/2009
2008-06-05,2008-09-06,Final,10.0,0.0,AGM,ASTRAL,06/05/2008,09/06/2008
