Announcement Date,Ex-Date,Dividend Type,Dividend (%),Dividend (Rs),Remarks,Stockname,Announce Date,Ex Date
2021-04-29,2021-08-07,Final,1400,140.0,Rs.140.0000 per share(1400%)Dividend,BAJAJ-AUTO,04/29/2021,08/07/2021
2020-02-24,2020-03-03,Interim,1200,120.0,Rs.120.0000 per share(1200%)Interim Dividend,BAJAJ-AUTO,02/24/2020,03/03/2020
2019-05-17,2019-11-07,Final,600,60.0,Rs.60.0000 per share(600%)Dividend,BAJAJ-AUTO,05/17/2019,11/07/2019
2018-05-18,2018-05-07,Final,600,60.0,Rs.60.0000 per share(600%)Dividend,BAJAJ-AUTO,05/18/2018,05/07/2018
2017-05-18,2017-06-07,Final,550,55.0,Rs.55.0000 per share(550%)Dividend,BAJAJ-AUTO,05/18/2017,06/07/2017
2016-05-25,2016-07-14,Final,50,5.0,Rs.5.0000 per share(50%)Final Dividend,BAJAJ-AUTO,05/25/2016,07/14/2016
2016-02-03,2016-03-16,Interim,500,50.0,Rs.50.0000 per share(500%)Interim Dividend,BAJAJ-AUTO,02/03/2016,03/16/2016
2015-05-21,2015-09-07,Final,500,50.0,Rs.50.0000 per share(500%)Dividend,BAJAJ-AUTO,05/21/2015,09/07/2015
2014-05-15,2014-03-07,Final,500,50.0,Rs.50.0000 per share(500%)Dividend,BAJAJ-AUTO,05/15/2014,03/07/2014
2013-05-16,2013-04-07,Final,450,45.0,Rs.45.0000 per share(450%)Dividend,BAJAJ-AUTO,05/16/2013,04/07/2013
2012-05-17,2012-05-07,Final,450,45.0,,BAJAJ-AUTO,05/17/2012,05/07/2012
2011-05-18,2011-06-29,Final,400,40.0,,BAJAJ-AUTO,05/18/2011,06/29/2011
2010-12-05,2010-08-07,Final,400,40.0,,BAJAJ-AUTO,12/05/2010,08/07/2010
2009-05-21,2009-02-07,Final,220,22.0,,BAJAJ-AUTO,05/21/2009,02/07/2009
2008-05-26,2008-06-27,Final,200,20.0,AGM,BAJAJ-AUTO,05/26/2008,06/27/2008
