Announcement Date,Ex-Date,Dividend Type,Dividend (%),Dividend (Rs),Remarks,Stockname,Announce Date,Ex Date
2019-05-22,2019-07-25,Final,175,3.5,Rs.3.5000 per share(175%)Final Dividend,BAJAJELEC,05/22/2019,07/25/2019
2018-05-23,2018-02-08,Final,175,3.5,Rs.3.5000 per share(175%)Dividend,BAJAJELEC,05/23/2018,02/08/2018
2017-01-06,2017-07-27,Final,140,2.8,Rs.2.8000 per share(140%)Dividend,BAJAJELEC,01/06/2017,07/27/2017
2016-04-03,2016-03-17,Interim,140,2.8,Rs.2.8000 per share(140%)Interim Dividend,BAJAJELEC,04/03/2016,03/17/2016
2015-05-28,2015-07-29,Final,75,0.0,Rs.1.5000 per share(75%)Dividend,BAJAJELEC,05/28/2015,07/29/2015
2014-05-29,2014-07-23,Final,75,0.0,Rs.1.5000 per share(75%)Dividend,BAJAJELEC,05/29/2014,07/23/2014
2013-05-27,2013-07-29,Final,100,0.0,Rs.2.0000 per share(100%)Dividend,BAJAJELEC,05/27/2013,07/29/2013
2012-05-28,2012-07-18,Final,140,0.0,Rs.2.80 per share(140%)Dividend,BAJAJELEC,05/28/2012,07/18/2012
2011-05-23,2011-07-20,Final,140,0.0,,BAJAJELEC,05/23/2011,07/20/2011
2010-05-26,2010-07-19,Final,120,0.0,,BAJAJELEC,05/26/2010,07/19/2010
2009-05-28,2009-07-22,Final,100,0.0,,BAJAJELEC,05/28/2009,07/22/2009
2008-05-27,2008-07-15,Final,80,0.0,AGM,BAJAJELEC,05/27/2008,07/15/2008
2007-05-03,2007-03-16,Interim,80,0.0,,BAJAJELEC,05/03/2007,03/16/2007
2006-06-16,2006-07-18,Final,60,0.0,AGM,BAJAJELEC,06/16/2006,07/18/2006
2005-05-31,2005-07-18,Final,30,0.0,AGM,BAJAJELEC,05/31/2005,07/18/2005
2004-11-06,2004-07-16,Final,10,0.0,AGM,BAJAJELEC,11/06/2004,07/16/2004
