Announcement Date,Ex-Date,Dividend Type,Dividend (%),Dividend (Rs),Remarks,Stockname,Announce Date,Ex Date
2022-04-28,2022-06-30,Final,80,4.0,Rs.4.0000 per share(80%)Dividend,BAJAJFINSV,04/28/2022,06/30/2022
2021-04-28,2021-08-07,Final,60,3.0,Rs.3.0000 per share(60%)Dividend,BAJAJFINSV,04/28/2021,08/07/2021
2020-02-24,2020-03-03,Interim,100,5.0,Rs.5.0000 per share(100%)Interim Dividend,BAJAJFINSV,02/24/2020,03/03/2020
2019-05-16,2019-11-07,Final,50,2.5,Rs.2.5000 per share(50%)Dividend,BAJAJFINSV,05/16/2019,11/07/2019
2018-05-17,2018-05-07,Final,35,1.75,Rs.1.7500 per share(35%)Dividend,BAJAJFINSV,05/17/2018,05/07/2018
2017-05-18,2017-06-07,Final,35,1.75,Rs.1.7500 per share(35%)Dividend,BAJAJFINSV,05/18/2017,06/07/2017
2016-02-03,2016-03-16,Interim,35,1.75,Rs.1.7500 per share(35%)Interim Dividend,BAJAJFINSV,02/03/2016,03/16/2016
2015-05-20,2015-09-07,Final,35,1.75,Rs.1.7500 per share(35%)Dividend,BAJAJFINSV,05/20/2015,09/07/2015
2014-05-14,2014-03-07,Final,35,1.75,Rs.1.7500 per share(35%)Dividend,BAJAJFINSV,05/14/2014,03/07/2014
2013-05-15,2013-04-07,Final,30,1.5,Rs.1.5000 per share(30%)Dividend,BAJAJFINSV,05/15/2013,04/07/2013
2012-05-16,2012-05-07,Final,30,1.5,,BAJAJFINSV,05/16/2012,05/07/2012
2011-05-17,2011-06-29,Final,25,1.25,,BAJAJFINSV,05/17/2011,06/29/2011
2010-05-13,2010-08-07,Final,20,1.0,,BAJAJFINSV,05/13/2010,08/07/2010
2009-05-21,2009-02-07,Final,20,1.0,,BAJAJFINSV,05/21/2009,02/07/2009
2008-05-26,2008-06-27,Final,20,1.0,AGM,BAJAJFINSV,05/26/2008,06/27/2008
