Announcement Date,Ex-Date,Dividend Type,Dividend (%),Dividend (Rs),Remarks,Stockname,Announce Date,Ex Date
2022-04-26,2022-06-30,Final,1000,20.0,Rs.20.0000 per share(1000%)Dividend,BAJFINANCE,04/26/2022,06/30/2022
2021-04-27,2021-08-07,Final,500,10.0,Rs.10.0000 per share(500%)Final Dividend,BAJFINANCE,04/27/2021,08/07/2021
2020-02-24,2020-03-03,Interim,500,10.0,Rs.10.0000 per share(500%)Interim Dividend,BAJFINANCE,02/24/2020,03/03/2020
2019-05-16,2019-11-07,Final,300,6.0,Rs.6.0000 per share(300%)Dividend,BAJFINANCE,05/16/2019,11/07/2019
2018-05-17,2018-05-07,Final,200,4.0,Rs.4.0000 per share(200%) Dividend,BAJFINANCE,05/17/2018,05/07/2018
2017-05-17,2017-06-07,Final,180,3.6,Rs.3.6000 per share(180%)Dividend,BAJFINANCE,05/17/2017,06/07/2017
2016-05-24,2016-07-14,Final,70,7.0,Rs.7.0000 per share(70%)Final Dividend,BAJFINANCE,05/24/2016,07/14/2016
2016-02-03,2016-03-16,Interim,180,18.0,Rs.18.0000 per share(180%)Interim Dividend,BAJFINANCE,02/03/2016,03/16/2016
2015-05-20,2015-09-07,Final,180,18.0,Rs.18.0000 per share(180%)Dividend,BAJFINANCE,05/20/2015,09/07/2015
2014-05-14,2014-03-07,Final,160,16.0,Rs.16.0000 per share(160%)Dividend,BAJFINANCE,05/14/2014,03/07/2014
2013-05-15,2013-04-07,Final,150,15.0,Rs.15.0000 per share(150%)Dividend,BAJFINANCE,05/15/2013,04/07/2013
2012-05-16,2012-05-07,Final,120,12.0,,BAJFINANCE,05/16/2012,05/07/2012
2011-05-17,2011-06-29,Final,100,10.0,Rs.10.00 per share(100%)Dividend,BAJFINANCE,05/17/2011,06/29/2011
2010-05-13,2010-08-07,Final,60,6.0,,BAJFINANCE,05/13/2010,08/07/2010
2009-05-20,2009-06-29,Final,20,2.0,,BAJFINANCE,05/20/2009,06/29/2009
2008-05-21,2008-06-27,Final,10,1.0,AGM,BAJFINANCE,05/21/2008,06/27/2008
2007-05-16,2007-06-28,Final,30,3.0,AGM,BAJFINANCE,05/16/2007,06/28/2007
2006-05-19,2006-06-29,Final,40,4.0,AGM,BAJFINANCE,05/19/2006,06/29/2006
2005-12-05,2005-06-29,Final,75,7.5,AGM,BAJFINANCE,12/05/2005,06/29/2005
2004-06-15,2004-07-15,Final,60,6.0,AGM,BAJFINANCE,06/15/2004,07/15/2004
2003-05-13,2003-10-07,Final,45,4.5,AGM,BAJFINANCE,05/13/2003,10/07/2003
2002-05-13,2002-10-07,Final,45,0.0,AGM,BAJFINANCE,05/13/2002,10/07/2002
2001-05-06,2001-06-29,Final,30,0.0,AGM,BAJFINANCE,05/06/2001,06/29/2001
