Announcement Date,Ex-Date,Dividend Type,Dividend (%),Dividend (Rs),Remarks,Stockname,Announce Date,Ex Date
2021-05-24,2021-07-29,Final,200,4.0,Rs.4.0000 per share(200%)Final Dividend,BALAMINES,05/24/2021,07/29/2021
2020-06-22,2020-07-30,Final,30,0.6,Rs.0.6000 per share(30%)Final Dividend,BALAMINES,06/22/2020,07/30/2020
2020-02-26,2020-03-17,Interim,130,2.6,Rs.2.6000 per share(130%)Interim Dividend,BALAMINES,02/26/2020,03/17/2020
2019-05-15,2019-07-17,Final,140,2.8,Rs.2.8000 per share(140%)Dividend,BALAMINES,05/15/2019,07/17/2019
2018-05-14,2018-08-20,Final,130,2.6,Rs.2.6000 per share(130%)Dividend,BALAMINES,05/14/2018,08/20/2018
2017-12-05,2017-07-20,Final,110,2.2,Rs.2.2000 per share(110%)Dividend,BALAMINES,12/05/2017,07/20/2017
2016-05-23,2016-07-21,Final,100,2.0,Rs.2.0000 per share(100%)Dividend,BALAMINES,05/23/2016,07/21/2016
2015-05-20,2015-09-15,Final,60,0.0,Rs.1.2000 per share(60%)Dividend,BALAMINES,05/20/2015,09/15/2015
2014-08-05,2014-09-22,Final,50,0.0,Rs.1.0000 per share(50%)Dividend,BALAMINES,08/05/2014,09/22/2014
2013-05-13,2013-09-23,Final,65,0.0,Rs.0.8000 per share(40%)Dividend & Re.0.5000 per share (25%) Special Silver Jubilee Dividend,BALAMINES,05/13/2013,09/23/2013
2013-05-13,2013-09-23,Final&Spl,65,0.0,Rs.0.8000 per share(40%)Dividend & Re.0.5000 per share (25%) Special Silver Jubilee Dividend,BALAMINES,05/13/2013,09/23/2013
2012-03-05,2012-07-19,Final,40,0.0,,BALAMINES,03/05/2012,07/19/2012
2011-04-28,2011-07-14,Final,30,0.0,,BALAMINES,04/28/2011,07/14/2011
2010-04-30,2010-08-30,Final,25,0.0,,BALAMINES,04/30/2010,08/30/2010
2009-05-05,2009-08-17,Final,20,0.0,,BALAMINES,05/05/2009,08/17/2009
2008-04-29,2008-12-09,Final,15,0.0,AGM,BALAMINES,04/29/2008,12/09/2008
2007-07-24,2007-08-30,Final,15,0.0,"For the year ended 31st March, 2007.",BALAMINES,07/24/2007,08/30/2007
2006-04-05,2006-05-30,Final,50,0.0,AGM,BALAMINES,04/05/2006,05/30/2006
2005-02-05,2005-09-14,Final,30,0.0,AGM,BALAMINES,02/05/2005,09/14/2005
2004-12-05,2004-09-14,Final,30,0.0,AGM,BALAMINES,12/05/2004,09/14/2004
2003-04-29,2003-07-30,Final,25,0.0,AGM,BALAMINES,04/29/2003,07/30/2003
2002-06-05,2002-11-07,Final,20,0.0,AGM,BALAMINES,06/05/2002,11/07/2002
