Announcement Date,Ex-Date,Dividend Type,Dividend (%),Dividend (Rs),Remarks,Stockname,Announce Date,Ex Date
2022-05-13,2022-06-24,Final,200,4.0,Rs.4.0000 per share(200%)Final Dividend,BALKRISIND,05/13/2022,06/24/2022
2022-07-02,2022-02-21,Interim,200,4.0,Rs.4.0000 per share(200%)Third Interim Dividend,BALKRISIND,07/02/2022,02/21/2022
2022-08-02,2022-02-21,Special,600,12.0,Rs.12.0000 per share (600%) Special Diamond Jubilee Dividend,BALKRISIND,08/02/2022,02/21/2022
2021-03-11,2021-11-17,Interim,200,4.0,Rs.4.0000 per share (200%) Second Interim Dividend,BALKRISIND,03/11/2021,11/17/2021
2021-07-30,2021-12-08,Interim,200,4.0,Rs.4.0000 per share (200%) First Interim Dividend,BALKRISIND,07/30/2021,12/08/2021
2021-05-14,2021-06-18,Final,250,5.0,Rs.5.0000 per share(250%)Final Dividend,BALKRISIND,05/14/2021,06/18/2021
2021-01-02,2021-02-15,Interim,250,5.0,Rs.5.0000 per share (250%) Third Interim Dividend,BALKRISIND,01/02/2021,02/15/2021
2020-02-11,2020-12-11,Interim,200,4.0,Rs.4.0000 per share(200%)Second Interim Dividend,BALKRISIND,02/11/2020,12/11/2020
2020-07-08,2020-08-20,Interim,150,3.0,Rs.3.0000 per share(150%)Interim Dividend,BALKRISIND,07/08/2020,08/20/2020
2020-05-02,2020-02-24,Interim,800,16.0,Rs.16.0000 per share(800%)Third Interim Dividend,BALKRISIND,05/02/2020,02/24/2020
2019-11-14,2019-11-21,Interim,100,2.0,Rs.2.0000 per share(100%)Interim Dividend,BALKRISIND,11/14/2019,11/21/2019
2019-05-08,2019-08-20,Interim,100,2.0,Rs.2.0000 per share(100%)First Interim Dividend,BALKRISIND,05/08/2019,08/20/2019
2019-05-17,2019-04-07,Final,100,2.0,Rs.2.0000 per share(100%)Final Dividend,BALKRISIND,05/17/2019,04/07/2019
2019-01-29,2019-02-15,Interim,100,2.0,Rs.2.0000 per share(100%)Third Interim Dividend,BALKRISIND,01/29/2019,02/15/2019
2018-10-26,2018-11-14,Interim,100,2.0,Rs.2.0000 per share(100%)Second Interim Dividend,BALKRISIND,10/26/2018,11/14/2018
2018-09-08,2018-08-20,Interim,100,2.0,Rs.2.0000 per share(100%) First Interim Dividend,BALKRISIND,09/08/2018,08/20/2018
2018-05-17,2018-09-07,Final,75,1.5,Rs.1.5000 per share(75%)Final Dividend,BALKRISIND,05/17/2018,09/07/2018
2018-05-02,2018-02-21,Interim,75,1.5,Rs.1.5000 per share(75%)Third Interim Dividend,BALKRISIND,05/02/2018,02/21/2018
2017-10-31,2017-11-16,Interim,125,2.5,Rs.2.5000 per share(125%)Second Interim Dividend,BALKRISIND,10/31/2017,11/16/2017
2017-05-26,2017-06-09,Final,125,2.5,Rs.2.5000 per share(125%)Final Dividend,BALKRISIND,05/26/2017,06/09/2017
2017-07-18,2017-04-08,Interim,125,2.5,Rs.2.5000 per share(125%)First Interim Dividend,BALKRISIND,07/18/2017,04/08/2017
2017-01-02,2017-02-17,Interim,100,2.0,Rs.2.0000 per share(100%)Third Interim Dividend.,BALKRISIND,01/02/2017,02/17/2017
2016-11-18,2016-07-12,Interim,100,2.0,Rs.2.0000 per share(100%)Second Interim Dividend,BALKRISIND,11/18/2016,07/12/2016
2016-01-09,2016-09-19,Interim,75,1.5,Rs.1.5000 per share(75%)Interim Dividend,BALKRISIND,01/09/2016,09/19/2016
2016-03-03,2016-03-16,Interim,150,3.0,Rs.3.0000 per share(150%)Interim Dividend,BALKRISIND,03/03/2016,03/16/2016
2016-09-03,2016-03-16,Special,125,2.5,Rs.2.5000 per share(125%)Special Dividend,BALKRISIND,09/03/2016,03/16/2016
2015-05-14,2015-06-07,Final,120,0.0,Rs.2.4000 per share(120%)Final Dividend,BALKRISIND,05/14/2015,06/07/2015
2014-05-15,2014-05-09,Final,100,0.0,Rs.2.0000 per share(100%)Final Dividend,BALKRISIND,05/15/2014,05/09/2014
2013-05-30,2013-09-16,Final,75,0.0,Rs.1.5000 per share(75%)Final Dividend,BALKRISIND,05/30/2013,09/16/2013
2012-05-30,2012-08-24,Final,75,0.0,Rs.1.50 per share(75%)Final Dividend,BALKRISIND,05/30/2012,08/24/2012
2011-05-20,2011-07-25,Final,70,0.0,Rs.1.40 per share(70%)Final Dividend,BALKRISIND,05/20/2011,07/25/2011
2010-12-04,2010-04-22,Interim,70,7.0,,BALKRISIND,12/04/2010,04/22/2010
2009-05-18,2009-07-27,Final,60,0.0,,BALKRISIND,05/18/2009,07/27/2009
2008-06-17,2008-08-14,Final,60,0.0,AGM,BALKRISIND,06/17/2008,08/14/2008
2008-05-21,2008-04-06,Interim,45,0.0,,BALKRISIND,05/21/2008,04/06/2008
2007-05-03,2007-03-21,Interim,70,0.0,Second Interim Dividend,BALKRISIND,05/03/2007,03/21/2007
2006-12-10,2006-10-31,Interim,35,0.0,(Revised),BALKRISIND,12/10/2006,10/31/2006
2006-06-13,2006-08-09,Final,30,0.0,AGM,BALKRISIND,06/13/2006,08/09/2006
