Announcement Date,Ex-Date,Dividend Type,Dividend (%),Dividend (Rs),Remarks,Stockname,Announce Date,Ex Date
2021-05-26,2021-08-18,Final,280,2.8,Rs.2.8000 per share(280%)Dividend,BERGEPAINT,05/26/2021,08/18/2021
2020-06-23,2020-09-17,Final,30,0.3,Rs.0.3000 per share(30%)Final Dividend,BERGEPAINT,06/23/2020,09/17/2020
2020-02-18,2020-02-03,Interim,190,1.9,Rs.1.9000 per share(190%)Interim Dividend,BERGEPAINT,02/18/2020,02/03/2020
2019-05-30,2019-07-26,Final,190,1.9,Rs.1.9000 per share(190%)Dividend,BERGEPAINT,05/30/2019,07/26/2019
2018-05-30,2018-07-26,Final,180,1.8,Rs.1.8000 per share(180%)Dividend,BERGEPAINT,05/30/2018,07/26/2018
2017-05-30,2017-07-27,Final,175,1.75,Rs.1.7500 per share(175%) Dividend.,BERGEPAINT,05/30/2017,07/27/2017
2016-05-30,2016-07-26,Final,100,1.0,Rs.1.0000 per share(100%)Final Dividend,BERGEPAINT,05/30/2016,07/26/2016
2016-04-02,2016-02-17,Interim,65,0.65,Rs.0.6500 per share(65%)Interim Dividend,BERGEPAINT,04/02/2016,02/17/2016
2015-05-29,2015-07-24,Final,65,0.0,Rs.0.6500 per share(65%)Dividend,BERGEPAINT,05/29/2015,07/24/2015
2015-01-30,2015-12-02,Interim,60,0.0,Rs.0.6000 per share(60%)Interim Dividend,BERGEPAINT,01/30/2015,12/02/2015
2014-05-30,2014-07-16,Final,110,0.0,Rs.2.2000 per share(110%)Dividend,BERGEPAINT,05/30/2014,07/16/2014
2013-05-30,2013-07-17,Final,90,0.0,Rs.1.8000 per share(90%)Dividend,BERGEPAINT,05/30/2013,07/17/2013
2012-05-30,2012-07-18,Final,70,0.0,Rs.1.40 per share(70%)Dividend,BERGEPAINT,05/30/2012,07/18/2012
2011-05-31,2011-07-20,Final,40,0.0,Rs.0.80 per share(40%)Final Dividend,BERGEPAINT,05/31/2011,07/20/2011
2011-03-03,2011-03-14,Interim,25,0.0,,BERGEPAINT,03/03/2011,03/14/2011
2010-06-18,2010-07-13,Final,55,0.0,,BERGEPAINT,06/18/2010,07/13/2010
2009-06-22,2009-07-22,Final,30,0.0,,BERGEPAINT,06/22/2009,07/22/2009
2008-10-06,2008-07-16,Final,25,0.0,,BERGEPAINT,10/06/2008,07/16/2008
2007-06-13,2007-07-13,Final,20,0.0,AGM,BERGEPAINT,06/13/2007,07/13/2007
2007-08-02,2007-02-22,Interim,30,0.0,,BERGEPAINT,08/02/2007,02/22/2007
2006-06-06,2006-12-07,Final,50,0.0,AGM,BERGEPAINT,06/06/2006,12/07/2006
2005-08-11,2005-11-22,Interim,50,0.0,,BERGEPAINT,08/11/2005,11/22/2005
2005-06-06,2005-11-07,Final,35,0.0,,BERGEPAINT,06/06/2005,11/07/2005
2004-12-28,2005-12-01,Interim,35,0.0,,BERGEPAINT,12/28/2004,12/01/2005
2004-06-16,2004-07-13,Final,30,0.0,AGM,BERGEPAINT,06/16/2004,07/13/2004
2003-12-20,2004-06-01,Interim,35,0.0,,BERGEPAINT,12/20/2003,06/01/2004
2003-06-16,2003-07-14,Final,60,0.0,AGM,BERGEPAINT,06/16/2003,07/14/2003
2002-06-14,2002-12-07,Final,25,0.0,AGM,BERGEPAINT,06/14/2002,12/07/2002
2002-02-13,2002-05-03,Interim,25,0.0,,BERGEPAINT,02/13/2002,05/03/2002
2001-04-06,2001-06-28,Final,50,0.0,,BERGEPAINT,04/06/2001,06/28/2001
2001-02-02,2001-02-28,Interim,0,0.0,,BERGEPAINT,02/02/2001,02/28/2001
