Announcement Date,Ex-Date,Dividend Type,Dividend (%),Dividend (Rs),Remarks,Stockname,Announce Date,Ex Date
2020-05-19,2020-06-08,Final,40.0,2.0,Rs.2.0000 per share(40%)Final Dividend,BHARTIARTL,05/19/2020,06/08/2020
2018-10-25,2018-05-11,Interim,50.0,2.5,Rs.2.5000 per share(50%)Interim Dividend,BHARTIARTL,10/25/2018,05/11/2018
2018-04-24,2018-02-08,Final,50.0,2.5,Rs.2.5000 per share(50%)Final Dividend,BHARTIARTL,04/24/2018,02/08/2018
2018-01-18,2018-01-30,Interim,56.8,2.84,Rs.2.8400 per share(56.8%)Interim Dividend,BHARTIARTL,01/18/2018,01/30/2018
2017-12-05,2017-07-13,Final,20.0,1.0,Rs.1.0000 per share(20%)Dividend,BHARTIARTL,12/05/2017,07/13/2017
2016-04-27,2016-11-08,Final,27.2,1.36,Rs.1.3600 per share(27.2%)Final Dividend,BHARTIARTL,04/27/2016,11/08/2016
2015-04-28,2015-08-13,Final,44.4,2.22,Rs.2.2200 per share(44.4%)Final Dividend,BHARTIARTL,04/28/2015,08/13/2015
2014-08-13,2014-08-21,Interim,32.6,1.63,Rs.1.6300 per share(32.6%)Interim Dividend,BHARTIARTL,08/13/2014,08/21/2014
2014-04-29,2014-08-21,Final,36.0,1.8,Rs.1.8000 per share(36%)Final Dividend,BHARTIARTL,04/29/2014,08/21/2014
2013-02-05,2013-05-23,Final,20.0,1.0,Rs.1.0000 per share(20%)Final Dividend,BHARTIARTL,02/05/2013,05/23/2013
2012-02-05,2012-08-16,Final,20.0,1.0,Rs.1.00 per share(20%)Final Dividend,BHARTIARTL,02/05/2012,08/16/2012
2011-05-05,2011-08-17,Final,20.0,1.0,,BHARTIARTL,05/05/2011,08/17/2011
2010-04-28,2010-08-18,Final,20.0,1.0,,BHARTIARTL,04/28/2010,08/18/2010
2009-04-29,2009-07-24,Final,20.0,2.0,,BHARTIARTL,04/29/2009,07/24/2009
