Announcement Date,Ex-Date,Dividend Type,Dividend (%),Dividend (Rs),Remarks,Stockname,Announce Date,Ex Date
2022-02-05,2022-06-20,Final,5650,56.5,Rs.56.5000 per share(5650%)Final Dividend,BRITANNIA,02/05/2022,06/20/2022
2020-05-10,2021-05-25,Special,1250,12.5,Rs.12.5000 per share(1250%)Dividend (Payment of dividend of Rs. 12.50 (Rupees Twelve and Fifty Paise) per every 1 (one) fully paid-up equity share of face value of Re. 1 (Rupee One) each by utilizing its accumulated profits),BRITANNIA,05/10/2020,05/25/2021
2021-03-30,2021-08-04,Interim,6200,62.0,Rs.62.0000 per share(6200%)Interim Dividend,BRITANNIA,03/30/2021,08/04/2021
2020-08-17,2020-08-26,Interim,8300,83.0,Rs.83.0000 per share(8300%)Interim Dividend,BRITANNIA,08/17/2020,08/26/2020
2020-04-20,2020-04-29,Interim,3500,35.0,Rs.35.0000 per share(3500%)Interim Dividend,BRITANNIA,04/20/2020,04/29/2020
2019-02-05,2019-01-08,Final,1500,15.0,Rs.15.0000 per share(1500%)Dividend,BRITANNIA,02/05/2019,01/08/2019
2018-05-15,2018-07-27,Final,1250,25.0,Rs.25.0000 per share(1250%) Dividend.,BRITANNIA,05/15/2018,07/27/2018
2017-05-25,2017-07-28,Final,1100,22.0,Rs.22.0000 per share(1100%)Dividend,BRITANNIA,05/25/2017,07/28/2017
2016-05-20,2016-07-29,Final,1000,20.0,Rs.20.0000 per share(1000%)Dividend,BRITANNIA,05/20/2016,07/29/2016
2015-05-21,2015-07-27,Final,800,16.0,Rs.16.0000 per share(800%)Dividend,BRITANNIA,05/21/2015,07/27/2015
2014-05-27,2014-07-23,Final,600,12.0,Rs.12.0000 per share(600%)Dividend,BRITANNIA,05/27/2014,07/23/2014
2013-05-24,2013-07-23,Final,425,8.5,Rs.8.5000 per share(425%)Dividend,BRITANNIA,05/24/2013,07/23/2013
2012-05-28,2012-07-17,Final,425,8.5,,BRITANNIA,05/28/2012,07/17/2012
2011-05-27,2011-07-19,Final,325,6.5,Rs.6.50 per share(325%)Dividend,BRITANNIA,05/27/2011,07/19/2011
2010-05-28,2010-07-23,Final,250,25.0,,BRITANNIA,05/28/2010,07/23/2010
2009-05-27,2009-09-06,Interim,400,40.0,,BRITANNIA,05/27/2009,09/06/2009
2008-05-29,2008-07-14,Final,180,18.0,,BRITANNIA,05/29/2008,07/14/2008
2007-05-30,2007-08-30,Final,150,15.0,,BRITANNIA,05/30/2007,08/30/2007
2006-05-31,2006-07-18,Final,150,15.0,AGM (Revised),BRITANNIA,05/31/2006,07/18/2006
2005-05-27,2005-08-07,Final,140,14.0,,BRITANNIA,05/27/2005,08/07/2005
2004-06-29,2004-05-08,Final,110,11.0,AGM (Revised),BRITANNIA,06/29/2004,05/08/2004
2003-06-13,2003-07-23,Final,100,10.0,Voluntary Delisting of Shares,BRITANNIA,06/13/2003,07/23/2003
2002-05-06,2002-07-18,Final,75,0.0,AGM,BRITANNIA,05/06/2002,07/18/2002
2001-01-06,2001-02-07,Final,55,0.0,AGM,BRITANNIA,01/06/2001,02/07/2001
