Announcement Date,Ex-Date,Dividend Type,Dividend (%),Dividend (Rs),Remarks,Stockname,Announce Date,Ex Date
2021-09-30,2021-11-11,Interim,250,2.5,Rs.2.5000 per share(250%)Interim Dividend,DABUR,09/30/2021,11/11/2021
2021-07-05,2021-07-29,Final,300,3.0,Rs.3.0000 per share(300%)Final Dividend,DABUR,07/05/2021,07/29/2021
2020-01-10,2020-11-11,Interim,175,1.75,Rs.1.7500 per share(175%)Interim Dividend,DABUR,01/10/2020,11/11/2020
2020-05-27,2020-08-13,Final,160,1.6,Rs.1.6000 per share(160%)Final Dividend,DABUR,05/27/2020,08/13/2020
2019-09-30,2019-11-13,Interim,140,1.4,Rs.1.4000 per share(140%)Interim Dividend,DABUR,09/30/2019,11/13/2019
2019-02-05,2019-07-08,Final,150,1.5,Rs.1.5000 per share(150%)Final Dividend,DABUR,02/05/2019,07/08/2019
2018-03-10,2018-09-11,Interim,125,1.25,Rs.1.2500 per share(125%)Interim Dividend,DABUR,03/10/2018,09/11/2018
2018-01-05,2018-04-07,Final,125,1.25,Rs.1.2500 per share(125%)Final Dividend,DABUR,01/05/2018,04/07/2018
2018-02-05,2018-04-07,Special,500,5.0,Rs.5.0000 per share(500%)Special Dividend,DABUR,02/05/2018,04/07/2018
2017-04-10,2017-07-11,Interim,125,1.25,Rs.1.2500 per share(125%)Interim Dividend,DABUR,04/10/2017,07/11/2017
2017-02-05,2017-05-07,Final,100,1.0,Rs.1.0000 per share(100%)Final Dividend.,DABUR,02/05/2017,05/07/2017
2016-09-27,2016-03-11,Interim,125,1.25,Rs.1.2500 per share(125%)Interim Dividend,DABUR,09/27/2016,03/11/2016
2016-04-28,2016-06-29,Final,100,1.0,Rs.1.0000 per share(100%)Final Dividend,DABUR,04/28/2016,06/29/2016
2015-10-13,2015-05-11,Interim,125,0.0,Rs.1.2500 per share(125%)Interim Dividend,DABUR,10/13/2015,05/11/2015
2015-05-05,2015-06-29,Final,75,0.0,Rs.0.7500 per share(75%)Final Dividend,DABUR,05/05/2015,06/29/2015
2014-08-09,2014-09-19,Interim,125,0.0,Rs.1.2500 per share(125%)Interim Dividend,DABUR,08/09/2014,09/19/2014
2014-04-29,2014-06-27,Final,100,0.0,Rs.1.0000 per share(100%)Final Dividend,DABUR,04/29/2014,06/27/2014
2013-10-14,2013-05-11,Interim,75,0.0,Rs.0.7500 per share(75%)Interim Dividend,DABUR,10/14/2013,05/11/2013
2013-04-30,2013-06-21,Final,85,0.0,Rs.0.8500 per share(85%)Final Dividend,DABUR,04/30/2013,06/21/2013
2012-12-10,2012-10-31,Interim,65,0.0,Rs.0.6500 per share(65%)Interim Dividend,DABUR,12/10/2012,10/31/2012
2012-04-30,2012-06-27,Final,75,0.0,,DABUR,04/30/2012,06/27/2012
2011-10-14,2011-04-11,Interim,55,0.0,,DABUR,10/14/2011,04/11/2011
2011-04-27,2011-06-29,Final,65,0.0,,DABUR,04/27/2011,06/29/2011
2010-10-13,2010-02-11,Interim,50,0.0,,DABUR,10/13/2010,02/11/2010
2010-06-18,2010-03-08,Final,125,0.0,,DABUR,06/18/2010,03/08/2010
2009-10-14,2009-10-30,Interim,75,0.0,,DABUR,10/14/2009,10/30/2009
2009-04-29,2009-06-29,Final,100,0.0,,DABUR,04/29/2009,06/29/2009
2009-01-13,2009-02-02,Interim,75,0.0,,DABUR,01/13/2009,02/02/2009
2008-04-30,2008-06-19,Final,75,0.0,AGM,DABUR,04/30/2008,06/19/2008
2007-10-10,2007-10-29,Interim,75,0.0,,DABUR,10/10/2007,10/29/2007
2007-05-03,2007-03-16,Interim,75,0.0,,DABUR,05/03/2007,03/16/2007
2006-09-10,2006-03-11,Interim,100,0.0,,DABUR,09/10/2006,03/11/2006
2006-04-25,2006-06-21,Final,100,0.0,AGM,DABUR,04/25/2006,06/21/2006
2005-09-29,2005-10-28,Interim,150,0.0,,DABUR,09/29/2005,10/28/2005
2005-04-28,2005-06-29,Final,150,0.0,AGM,DABUR,04/28/2005,06/29/2005
2004-01-10,2004-02-11,Interim,100,0.0,,DABUR,01/10/2004,02/11/2004
2004-05-05,2004-06-15,Final,140,0.0,AGM & Scheme of Arrangement,DABUR,05/05/2004,06/15/2004
2003-10-13,2003-11-20,Interim,60,0.0,(Revised),DABUR,10/13/2003,11/20/2003
2003-05-17,2003-07-14,Final,90,0.0,AGM (Total 140% for this year),DABUR,05/17/2003,07/14/2003
2002-10-17,2002-11-14,Interim,50,0.0,,DABUR,10/17/2002,11/14/2002
2002-12-06,2002-08-13,Final,0,0.0,AGM & Nil Final Dividend,DABUR,12/06/2002,08/13/2002
2001-02-11,2001-11-19,Interim,50,0.0,First Interim Dividend,DABUR,02/11/2001,11/19/2001
2001-07-27,2001-08-14,Final,50,0.0,AGM,DABUR,07/27/2001,08/14/2001
2001-03-04,2001-05-23,Interim,100,0.0,(50% Interim (2000-2001)+ 50% Final),DABUR,03/04/2001,05/23/2001
