Announcement Date,Ex-Date,Dividend Type,Dividend (%),Dividend (Rs),Remarks,Stockname,Announce Date,Ex Date
2021-05-05,2021-07-20,Final,225,4.5,Rs.4.5000 per share(225%)Dividend,DEEPAKNTR,05/05/2021,07/20/2021
2021-06-05,2021-07-20,Special,50,1.0,Re.1.0000 per share (50%) Special Golden Jubilee Year Dividend,DEEPAKNTR,06/05/2021,07/20/2021
2020-04-03,2020-03-16,Interim,225,4.5,Rs.4.5000 per share(225%)Interim Dividend,DEEPAKNTR,04/03/2020,03/16/2020
2019-03-05,2019-06-19,Final,100,2.0,Rs.2.0000 per share(100%)Final Dividend,DEEPAKNTR,03/05/2019,06/19/2019
2018-04-05,2018-07-25,Final,65,1.3,Rs.1.3000 per share(65%)Dividend,DEEPAKNTR,04/05/2018,07/25/2018
2017-04-28,2017-06-15,Final,60,1.2,Rs.1.2000 per share(60%)Dividend,DEEPAKNTR,04/28/2017,06/15/2017
2016-10-05,2016-07-28,Final,60,1.2,Rs.1.2000 per share(60%)Dividend,DEEPAKNTR,10/05/2016,07/28/2016
2015-05-13,2015-07-30,Final,50,0.0,Rs.1.0000 per share(50%)Dividend,DEEPAKNTR,05/13/2015,07/30/2015
2014-02-05,2014-07-31,Final,50,0.0,"Re.1.0000 per share(50%)Dividend (Adjusted post Stock Split & Bonus Issue, Pre SS&Bonus Dividend was Rs.10/- (100%))",DEEPAKNTR,02/05/2014,07/31/2014
2013-09-05,2013-07-23,Final,80,0.0,Rs.8.0000 per share(80%)Dividend,DEEPAKNTR,09/05/2013,07/23/2013
2012-04-05,2012-07-24,Final,60,0.0,Rs.6.00 per share(60%)Dividend,DEEPAKNTR,04/05/2012,07/24/2012
2011-06-05,2011-07-26,Final,60,0.0,,DEEPAKNTR,06/05/2011,07/26/2011
2010-05-18,2010-07-22,Final,50,0.0,,DEEPAKNTR,05/18/2010,07/22/2010
2009-05-13,2009-07-16,Final,50,0.0,,DEEPAKNTR,05/13/2009,07/16/2009
2008-05-28,2008-07-31,Final,40,0.0,AGM,DEEPAKNTR,05/28/2008,07/31/2008
2007-02-07,2007-07-09,Final,40,0.0,,DEEPAKNTR,02/07/2007,07/09/2007
2006-05-31,2006-07-21,Final,40,0.0,AGM,DEEPAKNTR,05/31/2006,07/21/2006
2005-05-05,2005-07-22,Final,40,0.0,,DEEPAKNTR,05/05/2005,07/22/2005
2004-06-18,2004-08-23,Final,30,0.0,AGM,DEEPAKNTR,06/18/2004,08/23/2004
2003-05-29,2003-09-15,Final,30,0.0,AGM,DEEPAKNTR,05/29/2003,09/15/2003
2002-06-20,2002-05-09,Final,30,0.0,AGM,DEEPAKNTR,06/20/2002,05/09/2002
2001-05-31,2001-11-07,Final,25,0.0,AGM,DEEPAKNTR,05/31/2001,11/07/2001
