Announcement Date,Ex-Date,Dividend Type,Dividend (%),Dividend (Rs),Remarks,Stockname,Announce Date,Ex Date
2022-05-23,2022-11-08,Final,1500,30.0,Rs.30.0000 per share(1500%)Dividend,DIVISLAB,05/23/2022,11/08/2022
2021-05-31,2021-08-17,Final,1000,20.0,Rs.20.0000 per share(1000%)Final Dividend,DIVISLAB,05/31/2021,08/17/2021
2020-12-02,2020-02-25,Interim,800,16.0,Rs.16.0000 per share(800%)Interim Dividend,DIVISLAB,12/02/2020,02/25/2020
2019-05-27,2019-08-14,Final,800,16.0,Rs.16.0000 per share(800%)Final Dividend,DIVISLAB,05/27/2019,08/14/2019
2018-05-28,2018-08-31,Final,500,10.0,Rs.10.0000 per share(500%)Dividend,DIVISLAB,05/28/2018,08/31/2018
2017-05-26,2017-09-15,Final,500,10.0,Rs.10.0000 per share(500%)Dividend,DIVISLAB,05/26/2017,09/15/2017
2016-02-03,2016-03-17,Interim,500,10.0,Rs.10.0000 per share(500%)Interim Dividend,DIVISLAB,02/03/2016,03/17/2016
2015-05-25,2015-06-08,Final,1000,20.0,Rs.20.0000 per share(1000%)Dividend,DIVISLAB,05/25/2015,06/08/2015
2014-05-26,2014-07-31,Final,1000,20.0,Rs.20.0000 per share(1000%)Dividend,DIVISLAB,05/26/2014,07/31/2014
2013-05-20,2013-07-25,Final,750,15.0,Rs.15.0000 per share(750%)Dividend,DIVISLAB,05/20/2013,07/25/2013
2012-12-05,2012-07-26,Final,650,13.0,Rs.13.00 per share(650%)Dividend,DIVISLAB,12/05/2012,07/26/2012
2011-05-20,2011-06-16,Final,500,10.0,,DIVISLAB,05/20/2011,06/16/2011
2010-05-24,2010-02-07,Final,300,6.0,,DIVISLAB,05/24/2010,02/07/2010
2009-08-06,2009-06-15,Final,300,6.0,,DIVISLAB,08/06/2009,06/15/2009
2008-09-06,2008-06-26,Final,200,4.0,AGM,DIVISLAB,09/06/2008,06/26/2008
2007-12-03,2007-03-23,Interim,100,10.0,,DIVISLAB,12/03/2007,03/23/2007
2006-06-17,2006-08-23,Final,100,10.0,,DIVISLAB,06/17/2006,08/23/2006
2005-06-17,2005-11-08,Final,80,8.0,AGM,DIVISLAB,06/17/2005,11/08/2005
2004-05-17,2004-07-29,Final,80,8.0,AGM,DIVISLAB,05/17/2004,07/29/2004
2003-05-22,2003-11-08,Final,60,6.0,AGM,DIVISLAB,05/22/2003,11/08/2003
