Announcement Date,Ex-Date,Dividend Type,Dividend (%),Dividend (Rs),Remarks,Stockname,Announce Date,Ex Date
2021-05-14,2021-09-07,Final,500,25.0,Rs.25.0000 per share(500%)Final Dividend,DRREDDY,05/14/2021,09/07/2021
2020-05-20,2020-07-13,Final,500,25.0,Rs.25.0000 per share(500%)Final Dividend,DRREDDY,05/20/2020,07/13/2020
2019-05-17,2019-07-15,Final,400,20.0,Rs.20.0000 per share(400%)Final Dividend,DRREDDY,05/17/2019,07/15/2019
2018-05-22,2018-07-16,Final,400,20.0,Rs.20.0000 per share(400%)Final Dividend,DRREDDY,05/22/2018,07/16/2018
2017-12-05,2017-07-17,Final,400,20.0,Rs.20.0000 per share(400%)Dividend,DRREDDY,12/05/2017,07/17/2017
2016-05-13,2016-07-18,Final,400,20.0,Rs.20.0000 per share(400%)Dividend,DRREDDY,05/13/2016,07/18/2016
2015-12-05,2015-10-07,Final,400,20.0,Rs.20.0000 per share(400%)Final Dividend,DRREDDY,12/05/2015,10/07/2015
2014-05-13,2014-11-07,Final,360,18.0,Rs.18.0000 per share(360%)Final Dividend,DRREDDY,05/13/2014,11/07/2014
2013-05-14,2013-12-07,Final,300,15.0,Rs.15.0000 per share(300%)Final Dividend,DRREDDY,05/14/2013,12/07/2013
2012-11-05,2012-06-28,Final,275,13.75,Rs. 13.75 per share (275%) Final Dividend,DRREDDY,11/05/2012,06/28/2012
2011-05-13,2011-06-30,Final,225,11.25,Rs.11.25 per share(225%)Final Dividend,DRREDDY,05/13/2011,06/30/2011
2010-06-05,2010-02-07,Final,225,11.25,,DRREDDY,06/05/2010,02/07/2010
2009-05-18,2009-03-07,Final,125,6.25,,DRREDDY,05/18/2009,03/07/2009
2008-05-20,2008-04-07,Final,75,3.75,AGM,DRREDDY,05/20/2008,04/07/2008
2007-05-18,2007-06-07,Final,75,3.75,,DRREDDY,05/18/2007,06/07/2007
2006-08-06,2006-07-07,Final,100,5.0,,DRREDDY,08/06/2006,07/07/2006
2005-06-05,2005-07-07,Final,100,5.0,AGM,DRREDDY,06/05/2005,07/07/2005
2004-05-28,2004-07-13,Final,100,5.0,Dividend of Rs.5 on each equity share of Rs.5.,DRREDDY,05/28/2004,07/13/2004
2003-05-31,2003-08-08,Final,100,5.0,,DRREDDY,05/31/2003,08/08/2003
2002-04-06,2002-08-08,Final,50,0.0,AGM,DRREDDY,04/06/2002,08/08/2002
2001-10-24,2001-08-11,Interim,100,0.0,,DRREDDY,10/24/2001,08/11/2001
2001-05-30,2001-06-18,Final,40,0.0,,DRREDDY,05/30/2001,06/18/2001
2000-09-20,2000-07-09,Final,5,0.0,,DRREDDY,09/20/2000,07/09/2000
