Announcement Date,Ex-Date,Dividend Type,Dividend (%),Dividend (Rs),Remarks,Stockname,Announce Date,Ex Date
2021-05-27,2021-09-08,Final,1700,17.0,Rs.17.0000 per share(1700%)Final Dividend,EICHERMOT,05/27/2021,09/08/2021
2020-11-03,2020-03-19,Interim,1250,125.0,Rs.125.0000 per share(1250%)Interim Dividend,EICHERMOT,11/03/2020,03/19/2020
2019-10-05,2019-07-24,Final,1250,125.0,Rs.125.0000 per share(1250%)Dividend,EICHERMOT,10/05/2019,07/24/2019
2018-09-05,2018-02-08,Final,1100,110.0,Rs.110.0000 per share(1100%)Dividend,EICHERMOT,09/05/2018,02/08/2018
2017-08-05,2017-07-31,Final,1000,100.0,Rs.100.0000 per share(1000%) Dividend.,EICHERMOT,08/05/2017,07/31/2017
2016-03-14,2016-03-22,Interim,1000,100.0,Rs.100.0000 per share(1000%)Interim Dividend,EICHERMOT,03/14/2016,03/22/2016
2015-02-16,2015-11-03,Final,500,50.0,Rs.50.0000 per share(500%)Dividend (BC has been Revised from 19/03/2015 to 26/03/2015),EICHERMOT,02/16/2015,11/03/2015
2014-12-02,2014-12-03,Final,300,30.0,Rs.30.0000 per share(300%)Dividend,EICHERMOT,12/02/2014,12/03/2014
2013-12-02,2013-03-13,Final,200,20.0,Rs.20.0000 per share(200%)Dividend,EICHERMOT,12/02/2013,03/13/2013
2012-11-02,2012-03-13,Final,160,16.0,,EICHERMOT,11/02/2012,03/13/2012
2011-05-02,2011-08-03,Final,110,11.0,,EICHERMOT,05/02/2011,08/03/2011
2010-02-15,2010-05-03,Final,70,7.0,,EICHERMOT,02/15/2010,05/03/2010
2009-03-30,2009-05-20,Final,50,5.0,,EICHERMOT,03/30/2009,05/20/2009
2008-04-28,2008-05-26,Final,50,5.0,,EICHERMOT,04/28/2008,05/26/2008
2007-06-03,2007-03-16,Interim,290,29.0,290% Dividend (250% one time special dividend + 40% Interim Dividend),EICHERMOT,06/03/2007,03/16/2007
2006-02-05,2006-06-22,Final,40,4.0,AGM,EICHERMOT,02/05/2006,06/22/2006
2005-06-27,2005-05-08,Final,40,4.0,AGM,EICHERMOT,06/27/2005,05/08/2005
2004-08-24,2004-09-17,Final,35,3.5,AGM,EICHERMOT,08/24/2004,09/17/2004
2003-02-05,2003-07-17,Final,35,3.5,AGM,EICHERMOT,02/05/2003,07/17/2003
2002-09-05,2002-07-15,Final,25,0.0,AGM (Revised),EICHERMOT,09/05/2002,07/15/2002
2001-11-05,2001-06-25,Final,20,0.0,,EICHERMOT,11/05/2001,06/25/2001
