Announcement Date,Ex-Date,Dividend Type,Dividend (%),Dividend (Rs),Remarks,Stockname,Announce Date,Ex Date
2022-04-05,2022-06-14,Final,450,4.5,Rs.4.5000 per share(450%)Final Dividend,HAVELLS,04/05/2022,06/14/2022
2021-11-10,2021-10-27,Interim,300,3.0,Rs.3.0000 per share(300%)Interim Dividend,HAVELLS,11/10/2021,10/27/2021
2021-05-20,2021-06-17,Final,350,3.5,Rs.3.5000 per share(350%)Final Dividend,HAVELLS,05/20/2021,06/17/2021
2021-11-01,2021-01-28,Interim,300,3.0,Rs.3.0000 per share(300%)Interim Dividend,HAVELLS,11/01/2021,01/28/2021
2020-02-27,2020-03-16,Interim,400,4.0,Rs.4.0000 per share(400%)Interim Dividend,HAVELLS,02/27/2020,03/16/2020
2019-05-29,2019-07-18,Final,450,4.5,Rs.4.5000 per share(450%)Dividend,HAVELLS,05/29/2019,07/18/2019
2018-11-05,2018-04-07,Final,400,4.0,Rs.4.0000 per share(400%)Dividend,HAVELLS,11/05/2018,04/07/2018
2017-05-17,2017-06-21,Final,350,3.5,Rs.3.5000 per share(350%)Final Dividend.,HAVELLS,05/17/2017,06/21/2017
2016-11-05,2016-06-29,Final,300,3.0,Rs.3.0000 per share(300%)Final Dividend,HAVELLS,11/05/2016,06/29/2016
2016-01-02,2016-10-02,Special,300,3.0,Rs.3.0000 per share(300%)Special Dividend,HAVELLS,01/02/2016,10/02/2016
2015-11-05,2015-06-29,Final,300,0.0,Rs.3.0000 per share(300%)Final Dividend,HAVELLS,11/05/2015,06/29/2015
2014-05-28,2014-06-26,Final,200,0.0,Rs.10.0000 per share(200%)Final Dividend,HAVELLS,05/28/2014,06/26/2014
2014-07-03,2014-03-19,Interim,100,0.0,Rs.5.0000 per share(100%)Interim Dividend,HAVELLS,07/03/2014,03/19/2014
2013-05-28,2013-06-20,Final,150,0.0,Rs.7.5000 per share(150%)Dividend,HAVELLS,05/28/2013,06/20/2013
2012-05-30,2012-04-07,Final,130,0.0,,HAVELLS,05/30/2012,04/07/2012
2011-05-27,2011-07-22,Final,50,0.0,,HAVELLS,05/27/2011,07/22/2011
2010-08-27,2010-06-09,Final,50,0.0,,HAVELLS,08/27/2010,06/09/2010
2010-01-28,2010-09-02,Interim,25,0.0,,HAVELLS,01/28/2010,09/02/2010
2009-06-29,2009-12-08,Final,50,0.0,,HAVELLS,06/29/2009,12/08/2009
2008-05-22,2008-06-26,Final,50,0.0,50% Dividend,HAVELLS,05/22/2008,06/26/2008
2007-05-15,2007-06-20,Final,50,0.0,AGM,HAVELLS,05/15/2007,06/20/2007
2006-05-18,2006-05-06,Final,50,0.0,,HAVELLS,05/18/2006,05/06/2006
2005-11-05,2005-06-24,Final,50,0.0,(i.e. Rs 2.50 per share of Rs 5/- each) & AGM,HAVELLS,11/05/2005,06/24/2005
2004-06-05,2004-09-07,Final,25,0.0,i.e. Rs.1.25 per share of Rs.5/- each,HAVELLS,06/05/2004,09/07/2004
2003-03-10,2003-10-30,Interim,15,0.0,,HAVELLS,03/10/2003,10/30/2003
2003-02-05,2003-07-16,Final,25,0.0,AGM,HAVELLS,02/05/2003,07/16/2003
2002-05-25,2002-09-08,Final,25,0.0,AGM,HAVELLS,05/25/2002,09/08/2002
2001-05-24,2001-07-23,Final,20,0.0,AGM,HAVELLS,05/24/2001,07/23/2001
2000-07-13,2000-11-08,Final,20,0.0,AGM & Dividend,HAVELLS,07/13/2000,11/08/2000
