Announcement Date,Ex-Date,Dividend Type,Dividend (%),Dividend (Rs),Remarks,Stockname,Announce Date,Ex Date
2021-12-24,2022-01-20,Interim,500,10.0,Rs.10.0000 per share(500%)Interim Dividend,HCLTECH,12/24/2021,01/20/2022
2021-09-15,2021-10-21,Interim,500,10.0,Rs.10.0000 per share(500%)Interim Dividend,HCLTECH,09/15/2021,10/21/2021
2021-07-07,2021-07-27,Interim,300,6.0,Rs.6.0000 per share(300%)Second Interim Dividend,HCLTECH,07/07/2021,07/27/2021
2021-04-13,2021-04-29,Interim,300,6.0,Rs.6.0000 per share (300%) First Interim Dividend,HCLTECH,04/13/2021,04/29/2021
2021-04-14,2021-04-29,Special,500,10.0,Rs.10.0000 per share(500%)Special Dividend,HCLTECH,04/14/2021,04/29/2021
2021-01-15,2021-01-21,Interim,200,4.0,Rs.4.0000 per share(200%)Interim Dividend,HCLTECH,01/15/2021,01/21/2021
2020-09-28,2020-10-22,Interim,200,4.0,Rs.4.0000 per share(200%)Second Interim Dividend,HCLTECH,09/28/2020,10/22/2020
2020-07-05,2020-09-14,Final,100,2.0,Rs.2.0000 per share(100%)Final Dividend,HCLTECH,07/05/2020,09/14/2020
2020-03-07,2020-07-23,Interim,100,2.0,Rs.2.0000 per share(100%)First Interim Dividend,HCLTECH,03/07/2020,07/23/2020
2019-12-20,2020-01-24,Interim,100,2.0,Rs.2.0000 per share(100%)Interim Dividend,HCLTECH,12/20/2019,01/24/2020
2019-09-30,2019-10-31,Interim,100,2.0,Rs.2.0000 per share(100%)Third Interim Dividend,HCLTECH,09/30/2019,10/31/2019
2019-07-24,2019-08-14,Interim,100,2.0,Rs.2.0000 per share(100%) Second Interim Dividend,HCLTECH,07/24/2019,08/14/2019
2019-04-23,2019-05-16,Interim,100,2.0,Rs.2.0000 per share(100%)Interim Dividend,HCLTECH,04/23/2019,05/16/2019
2019-01-15,2019-05-02,Interim,100,2.0,Rs.2.0000 per share(100%)Interim Dividend,HCLTECH,01/15/2019,05/02/2019
2018-12-10,2018-10-30,Interim,100,2.0,Rs.2.0000 per share(100%)Third Interim Dividend,HCLTECH,12/10/2018,10/30/2018
2018-07-13,2018-02-08,Interim,100,2.0,Rs.2.0000 per share(100%)Second Interim Dividend,HCLTECH,07/13/2018,02/08/2018
2018-04-18,2018-09-05,Interim,100,2.0,Rs.2.0000 per share(100%)Interim Dividend,HCLTECH,04/18/2018,09/05/2018
2018-08-01,2018-01-29,Interim,100,2.0,Rs.2.0000 per share(100%)Interim Dividend,HCLTECH,08/01/2018,01/29/2018
2017-10-16,2017-01-11,Interim,100,2.0,Rs.2.0000 per share(100%)Third Interim Dividend.,HCLTECH,10/16/2017,01/11/2017
2017-07-17,2017-03-08,Interim,100,2.0,Rs.2.0000 per share(100%)Second Interim Dividend.,HCLTECH,07/17/2017,03/08/2017
2017-11-05,2017-05-24,Interim,300,6.0,Rs.6.0000 per share(300%)Interim Dividend.,HCLTECH,11/05/2017,05/24/2017
2017-01-13,2017-01-02,Interim,300,6.0,Rs.6.0000 per share(300%)Interim Dividend.,HCLTECH,01/13/2017,01/02/2017
2016-10-10,2016-10-27,Interim,300,6.0,Rs.6.0000 per share(300%)Third Interim Dividend,HCLTECH,10/10/2016,10/27/2016
2016-07-22,2016-10-08,Interim,300,6.0,Rs.6.0000 per share(300%)Second Interim Dividend,HCLTECH,07/22/2016,10/08/2016
2016-04-18,2016-05-05,Interim,300,6.0,Rs.6.0000 per share(300%)Interim Dividend,HCLTECH,04/18/2016,05/05/2016
2016-06-01,2016-01-27,Interim,300,6.0,Rs.6.0000 per share(300%)Third Interim Dividend,HCLTECH,06/01/2016,01/27/2016
2015-01-10,2015-10-23,Interim,250,5.0,Rs.5.0000 per share(250%)Interim Dividend,HCLTECH,01/10/2015,10/23/2015
2015-07-21,2015-07-08,Interim,250,5.0,Rs.5.0000 per share(250%)Interim Dividend,HCLTECH,07/21/2015,07/08/2015
2015-01-04,2015-04-24,Interim,200,4.0,Rs.4.0000 per share(200%)Interim Dividend,HCLTECH,01/04/2015,04/24/2015
2015-09-01,2015-04-02,Interim,400,8.0,Rs.8.0000 per share(400%)Interim Dividend,HCLTECH,09/01/2015,04/02/2015
2014-07-10,2014-10-21,Interim,300,6.0,Rs.6.0000 per share(300%)Interim Dividend,HCLTECH,07/10/2014,10/21/2014
2014-07-28,2014-05-08,Interim,600,12.0,Rs.12.0000 per share(600%)Interim Dividend,HCLTECH,07/28/2014,05/08/2014
2014-03-28,2014-04-22,Interim,200,4.0,Rs.4.0000 per share(200%)Interim Dividend,HCLTECH,03/28/2014,04/22/2014
2014-03-01,2014-01-22,Interim,200,4.0,Rs.4.0000 per share(200%)Second Interim Dividend,HCLTECH,03/01/2014,01/22/2014
2013-07-31,2013-12-18,Final,300,6.0,Rs.6.0000 per share(300%)Final Dividend,HCLTECH,07/31/2013,12/18/2013
2013-04-10,2013-10-22,Interim,100,2.0,Rs.2.0000 per share(100%)Interim Dividend,HCLTECH,04/10/2013,10/22/2013
2013-05-04,2013-04-22,Interim,100,2.0,Rs.2.0000 per share(100%)Third Interim Dividend,HCLTECH,05/04/2013,04/22/2013
2013-01-17,2013-01-21,Interim,100,2.0,Rs.2.0000 per share(100%)Second Interim Dividend,HCLTECH,01/17/2013,01/21/2013
2012-07-25,2012-10-19,Final,200,4.0,Rs.4.0000 per share(200%)Final Dividend & Rs.2.0000 per share(100%)Interim Dividend,HCLTECH,07/25/2012,10/19/2012
2012-07-25,2012-10-19,Interim,300,0.0,Rs.4.0000 per share(200%)Final Dividend & Rs.2.0000 per share(100%)Interim Dividend,HCLTECH,07/25/2012,10/19/2012
2012-07-26,2012-10-19,Interim,100,2.0,Rs.4.0000 per share(200%)Final Dividend & Rs.2.0000 per share(100%)Interim Dividend,HCLTECH,07/26/2012,10/19/2012
2012-04-04,2012-04-23,Interim,100,2.0,Third Interim Dividend,HCLTECH,04/04/2012,04/23/2012
2012-04-01,2012-01-20,Interim,100,2.0,Second Interim Dividend,HCLTECH,04/01/2012,01/20/2012
2011-07-27,2011-10-21,Final,100,2.0,Rs.2.00 per share(100%)Final Dividend & Rs.4.00 per share(200%)Interim Dividend (incl. Rs. 2/- One Time Special Milestone Dividend),HCLTECH,07/27/2011,10/21/2011
2011-07-28,2011-10-21,Interim,200,4.0,Rs.2.00 per share(100%)Final Dividend & Rs.4.00 per share(200%)Interim Dividend (incl. Rs. 2/- One Time Special Milestone Dividend),HCLTECH,07/28/2011,10/21/2011
2011-08-04,2011-04-25,Interim,100,2.0,Third Interim Dividen,HCLTECH,08/04/2011,04/25/2011
2011-07-01,2011-01-24,Interim,100,2.0,Second Interim Dividend,HCLTECH,07/01/2011,01/24/2011
2010-07-29,2010-10-22,Final,50,1.0,Rs.1.00 per share(50%)Final Dividend + Rs.1.50 per share(75%)Interim Dividend.,HCLTECH,07/29/2010,10/22/2010
2010-07-30,2010-10-22,Interim,75,1.5,Rs.1.00 per share(50%)Final Dividend + Rs.1.50 per share(75%)Interim Dividend.,HCLTECH,07/30/2010,10/22/2010
2010-09-04,2010-04-26,Interim,50,1.0,,HCLTECH,09/04/2010,04/26/2010
2010-12-01,2010-01-29,Interim,50,1.0,Second Interim Dividend,HCLTECH,12/01/2010,01/29/2010
2009-08-25,2009-02-12,Final,50,1.0,,HCLTECH,08/25/2009,02/12/2009
2009-10-15,2009-10-30,Interim,50,1.0,,HCLTECH,10/15/2009,10/30/2009
2009-04-13,2009-04-24,Interim,50,1.0,Third Interim Dividend,HCLTECH,04/13/2009,04/24/2009
2009-01-13,2009-01-28,Interim,100,2.0,Second Interim Dividend,HCLTECH,01/13/2009,01/28/2009
2008-01-08,2008-10-22,Final,150,3.0,150% Final Dividend & 150% Interim Dividend (Revised),HCLTECH,01/08/2008,10/22/2008
2008-02-08,2008-10-22,Interim,150,3.0,150% Final Dividend & 150% Interim Dividend (Revised),HCLTECH,02/08/2008,10/22/2008
2008-01-04,2008-04-21,Interim,100,2.0,Third Interim Dividend,HCLTECH,01/04/2008,04/21/2008
2008-07-01,2008-01-23,Interim,100,2.0,Second Interim Dividend,HCLTECH,07/01/2008,01/23/2008
2007-08-13,2007-11-30,Final,100,2.0,,HCLTECH,08/13/2007,11/30/2007
2007-09-28,2007-10-23,Interim,100,2.0,,HCLTECH,09/28/2007,10/23/2007
2007-04-04,2007-04-23,Interim,100,2.0,Third Interim Dividend (Revised),HCLTECH,04/04/2007,04/23/2007
2006-12-29,2007-01-19,Interim,200,4.0,,HCLTECH,12/29/2006,01/19/2007
2006-08-21,2006-04-12,Final,200,4.0,AGM,HCLTECH,08/21/2006,04/12/2006
2006-09-28,2006-10-20,Interim,200,4.0,,HCLTECH,09/28/2006,10/20/2006
2006-03-30,2006-04-25,Interim,200,4.0,Third Interim Dividend,HCLTECH,03/30/2006,04/25/2006
2006-02-01,2006-01-24,Interim,200,4.0,,HCLTECH,02/01/2006,01/24/2006
2005-08-23,2005-06-12,Final,200,4.0,AGM,HCLTECH,08/23/2005,06/12/2005
2005-06-10,2005-10-31,Interim,200,4.0,(200% on an equity share of face value of Rs.2/-),HCLTECH,06/10/2005,10/31/2005
2005-06-04,2005-04-29,Interim,200,4.0,Third Interim Dividend ((200% on an equity share of face value of Rs.2/-),HCLTECH,06/04/2005,04/29/2005
2005-07-01,2005-01-02,Interim,200,4.0,Second Interim Dividend,HCLTECH,07/01/2005,01/02/2005
2004-09-15,2004-08-12,Final,200,4.0,AGM,HCLTECH,09/15/2004,08/12/2004
2004-04-10,2004-10-29,Interim,200,4.0,,HCLTECH,04/10/2004,10/29/2004
2004-04-13,2004-04-30,Interim,100,2.0,Third Interim Dividend,HCLTECH,04/13/2004,04/30/2004
2004-01-13,2004-04-02,Interim,100,2.0,Second Interim Dividend for 2003-04 (Revised) Interim dividend of Rs. 2/- per share (100% on an equity share of face value of Rs. 2/-).,HCLTECH,01/13/2004,04/02/2004
2003-12-08,2003-12-17,Final,100,2.0,AGM (Revised),HCLTECH,12/08/2003,12/17/2003
