Announcement Date,Ex-Date,Dividend Type,Dividend (%),Dividend (Rs),Remarks,Stockname,Announce Date,Ex Date
2022-02-05,2022-05-31,Final,1500,30.0,Rs.30.0000 per share(1500%)Dividend,HDFC,02/05/2022,05/31/2022
2021-07-05,2021-05-31,Final,1150,23.0,Rs.23.0000 per share(1150%)Dividend,HDFC,07/05/2021,05/31/2021
2020-05-26,2020-09-07,Final,1050,21.0,Rs.21.0000 per share(1050%)Dividend,HDFC,05/26/2020,09/07/2020
2019-05-13,2019-07-19,,875,0.0,Rs.17.5000 per share(875%)Final Dividend,HDFC,05/13/2019,07/19/2019
2019-05-13,2019-07-19,Final,875,17.5,Rs.17.5000 per share(875%)Final Dividend,HDFC,05/13/2019,07/19/2019
2019-06-03,2019-03-15,Interim,175,3.5,Rs.3.5000 per share(175%)Interim Dividend,HDFC,06/03/2019,03/15/2019
2018-04-30,2018-07-19,Final,825,16.5,Rs.16.5000 per share(825%)Final Dividend,HDFC,04/30/2018,07/19/2018
2018-03-13,2018-03-22,Interim,175,3.5,Rs.3.5000 per share(175%)Interim Dividend,HDFC,03/13/2018,03/22/2018
2017-04-05,2017-07-14,Final,750,15.0,Rs.15.0000 per share(750%)Final Dividend,HDFC,04/05/2017,07/14/2017
2017-01-03,2017-09-03,Interim,150,3.0,Rs.3.0000 per share(150%)Interim Dividend.,HDFC,01/03/2017,09/03/2017
2016-02-05,2016-07-15,Final,700,14.0,Rs.14.0000 per share(700%)Final Dividend,HDFC,02/05/2016,07/15/2016
2016-03-16,2016-03-30,Interim,150,3.0,Rs.3.0000 per share(150%)Interim Dividend,HDFC,03/16/2016,03/30/2016
2015-04-29,2015-07-15,Final,650,13.0,Rs.13.0000 per share(650%)Final Dividend,HDFC,04/29/2015,07/15/2015
2015-03-16,2015-03-25,Interim,100,2.0,Rs.2.0000 per share(100%)Interim Dividend,HDFC,03/16/2015,03/25/2015
2014-06-05,2014-04-07,Final,700,14.0,Rs.14.0000 per share(700%)Dividen,HDFC,06/05/2014,04/07/2014
2013-08-05,2013-06-27,Final,625,12.5,Rs.12.5000 per share(625%)Dividend,HDFC,08/05/2013,06/27/2013
2012-07-05,2012-06-22,Final,550,11.0,,HDFC,07/05/2012,06/22/2012
2011-10-05,2011-06-22,Final,450,9.0,,HDFC,10/05/2011,06/22/2011
2010-03-05,2010-06-29,Final,360,36.0,,HDFC,03/05/2010,06/29/2010
2009-04-05,2009-06-07,Final,300,30.0,,HDFC,04/05/2009,06/07/2009
2008-04-30,2008-06-27,Final,250,25.0,AGM,HDFC,04/30/2008,06/27/2008
2007-03-05,2007-12-06,Final,220,22.0,AGM,HDFC,03/05/2007,12/06/2007
2006-02-05,2006-06-30,Final,200,20.0,AGM,HDFC,02/05/2006,06/30/2006
2005-05-05,2005-06-29,Final,170,17.0,AGM,HDFC,05/05/2005,06/29/2005
2004-07-05,2004-02-07,Final,135,13.5,AGM,HDFC,07/05/2004,02/07/2004
2003-07-05,2003-01-07,Final,110,11.0,,HDFC,07/05/2003,01/07/2003
2002-01-14,2002-03-07,Final,250,0.0,AGM,HDFC,01/14/2002,03/07/2002
2001-03-05,2001-11-06,Final,125,0.0,,HDFC,03/05/2001,11/06/2001
