Announcement Date,Ex-Date,Dividend Type,Dividend (%),Dividend (Rs),Remarks,Stockname,Announce Date,Ex Date
2021-06-18,2021-06-29,Final,650.0,6.5,Rs.6.5000 per share(650%)Dividend,HDFCBANK,06/18/2021,06/29/2021
2019-07-22,2019-01-08,Special,250.0,5.0,Rs.5.0000 per share(250%)Special Interim Dividend<br>,HDFCBANK,07/22/2019,01/08/2019
2019-04-22,2019-06-20,Final,750.0,15.0,Rs.15.0000 per share(750%)Dividend,HDFCBANK,04/22/2019,06/20/2019
2018-04-23,2018-05-31,Final,650.0,13.0,Rs.13.0000 per share(650%)Dividend,HDFCBANK,04/23/2018,05/31/2018
2017-04-24,2017-06-29,Final,550.0,11.0,Rs.11.0000 per share(550%)Dividend,HDFCBANK,04/24/2017,06/29/2017
2016-04-22,2016-06-29,Final,475.0,9.5,Rs.9.5000 per share(475%)Dividend,HDFCBANK,04/22/2016,06/29/2016
2015-04-23,2015-02-07,Final,400.0,8.0,Rs.8.0000 per share(400%)Dividend,HDFCBANK,04/23/2015,02/07/2015
2014-04-22,2014-05-06,Final,342.5,6.85,Rs.6.8500 per share(342.5%)Dividend,HDFCBANK,04/22/2014,05/06/2014
2013-04-23,2013-06-13,Final,275.0,5.5,Rs.5.5000 per share(275%)Dividend,HDFCBANK,04/23/2013,06/13/2013
2012-04-18,2012-06-28,Final,215.0,4.3,,HDFCBANK,04/18/2012,06/28/2012
2011-04-18,2011-02-06,Final,165.0,16.5,,HDFCBANK,04/18/2011,02/06/2011
2010-04-26,2010-10-06,Final,120.0,12.0,,HDFCBANK,04/26/2010,10/06/2010
2009-04-23,2009-06-22,Final,100.0,10.0,,HDFCBANK,04/23/2009,06/22/2009
2008-10-04,2008-04-29,Final,85.0,8.5,,HDFCBANK,10/04/2008,04/29/2008
2007-04-24,2007-05-17,Final,70.0,7.0,AGM,HDFCBANK,04/24/2007,05/17/2007
2006-04-17,2006-11-05,Final,55.0,5.5,AGM,HDFCBANK,04/17/2006,11/05/2006
2005-04-13,2005-05-26,Final,45.0,4.5,AGM,HDFCBANK,04/13/2005,05/26/2005
2004-01-04,2004-06-05,Final,35.0,3.5,AGM,HDFCBANK,01/04/2004,06/05/2004
2003-01-04,2003-04-30,Final,30.0,3.0,AGM,HDFCBANK,01/04/2003,04/30/2003
2002-02-04,2002-07-05,Final,25.0,0.0,AGM,HDFCBANK,02/04/2002,07/05/2002
2001-04-04,2001-04-20,Final,20.0,0.0,,HDFCBANK,04/04/2001,04/20/2001
