Announcement Date,Ex-Date,Dividend Type,Dividend (%),Dividend (Rs),Remarks,Stockname,Announce Date,Ex Date
2022-04-05,2022-07-27,Final,1750,35.0,Rs.35.0000 per share(1750%)Final Dividend,HEROMOTOCO,04/05/2022,07/27/2022
2022-10-02,2022-02-21,Interim,3000,60.0,Rs.60.0000 per share(3000%)Interim Dividend,HEROMOTOCO,10/02/2022,02/21/2022
2021-06-05,2021-07-22,Final,1250,25.0,Rs.25.0000 per share(1250%)Final Dividend,HEROMOTOCO,06/05/2021,07/22/2021
2021-07-05,2021-07-22,Special,500,10.0,Rs.10.0000 per share(500%)Special Dividend,HEROMOTOCO,07/05/2021,07/22/2021
2021-05-02,2021-02-15,Interim,3250,65.0,Rs.65.0000 per share(3250%)Interim Dividend,HEROMOTOCO,05/02/2021,02/15/2021
2021-06-02,2021-02-15,Special,250,5.0,Rs.5.0000 per share (250%) Special Interim Dividend,HEROMOTOCO,06/02/2021,02/15/2021
2020-09-06,2020-07-30,Final,1250,25.0,Rs.25.0000 per share(1250%)Final Dividend,HEROMOTOCO,09/06/2020,07/30/2020
2020-06-02,2020-02-17,Interim,3250,65.0,Rs.65.0000 per share(3250%)Interim Dividend,HEROMOTOCO,06/02/2020,02/17/2020
2019-04-26,2019-07-16,Final,1600,32.0,Rs.32.0000 per share(1600%)Final Dividend,HEROMOTOCO,04/26/2019,07/16/2019
2019-01-31,2019-11-02,Interim,2750,55.0,Rs.55.0000 per share(2750%)Interim Dividend,HEROMOTOCO,01/31/2019,11/02/2019
2018-02-05,2018-11-07,Final,2000,40.0,Rs.40.0000 per share(2000%)Final Dividend,HEROMOTOCO,02/05/2018,11/07/2018
2018-06-02,2018-02-15,Interim,2750,55.0,Rs.55.0000 per share(2750%)Interim Dividend,HEROMOTOCO,06/02/2018,02/15/2018
2017-11-05,2017-06-30,Final,1500,30.0,Rs.30.0000 per share(1500%)Final Dividend.,HEROMOTOCO,11/05/2017,06/30/2017
2017-07-03,2017-03-16,Interim,2750,55.0,Rs.55.0000 per share(2750%)Interim Dividend.,HEROMOTOCO,07/03/2017,03/16/2017
2016-05-05,2016-09-15,Final,1600,32.0,Rs.32.0000 per share(1600%)Final Dividend,HEROMOTOCO,05/05/2016,09/15/2016
2016-10-03,2016-03-21,Interim,2000,40.0,Rs.40.0000 per share(2000%)Interim Dividend,HEROMOTOCO,10/03/2016,03/21/2016
2015-07-05,2015-01-06,Final,1500,30.0,Rs.30.0000 per share(1500%)Final Dividend,HEROMOTOCO,07/05/2015,01/06/2015
2014-07-30,2014-08-08,Interim,1500,30.0,Rs.30.0000 per share(1500%)Interim Dividend,HEROMOTOCO,07/30/2014,08/08/2014
2014-05-28,2014-03-07,Final,3250,65.0,Rs.65.0000 per share(3250%)Dividend,HEROMOTOCO,05/28/2014,03/07/2014
2013-04-26,2013-03-09,Final,3000,60.0,Rs.60.0000 per share(3000%)Dividend,HEROMOTOCO,04/26/2013,03/09/2013
2012-02-05,2012-07-08,Final,2250,45.0,Rs.45.00 per share(2250%)Final Dividend,HEROMOTOCO,02/05/2012,07/08/2012
2011-04-05,2011-08-25,Final,1750,35.0,,HEROMOTOCO,04/05/2011,08/25/2011
2011-07-04,2011-04-20,Interim,3500,70.0,,HEROMOTOCO,07/04/2011,04/20/2011
2010-04-20,2010-08-30,Final,1500,30.0,,HEROMOTOCO,04/20/2010,08/30/2010
2010-03-30,2010-04-13,Final,4000,0.0,Special Silver Jubilee Dividend of Rs. 80/- (4000%) per share.,HEROMOTOCO,03/30/2010,04/13/2010
2010-03-30,2010-04-13,Special,4000,80.0,Special Silver Jubilee Dividend of Rs. 80/- (4000%) per share.,HEROMOTOCO,03/30/2010,04/13/2010
2009-04-21,2009-08-28,Final,1000,20.0,,HEROMOTOCO,04/21/2009,08/28/2009
2008-04-24,2008-09-09,Final,950,19.0,AGM,HEROMOTOCO,04/24/2008,09/09/2008
2007-11-05,2007-10-07,Final,850,17.0,AGM,HEROMOTOCO,11/05/2007,10/07/2007
2006-05-30,2006-08-14,Final,1000,20.0,i.e. Rs. 20/- per equity share of Rs. 2/- each,HEROMOTOCO,05/30/2006,08/14/2006
2005-12-04,2005-07-20,Final,1000,20.0,i.e. Rs.20 per equity share of Rs.2 each & AGM,HEROMOTOCO,12/04/2005,07/20/2005
2004-12-04,2004-07-29,Final,500,10.0,AGM,HEROMOTOCO,12/04/2004,07/29/2004
2004-09-01,2004-01-22,Interim,500,10.0,Special Interim Dividend,HEROMOTOCO,09/01/2004,01/22/2004
2003-10-04,2003-07-16,Final,900,18.0,Dividend 900% (Special Dividend 400%),HEROMOTOCO,10/04/2003,07/16/2003
2002-04-15,2002-07-31,Final,600,0.0,350% final dividend + 250% Celebration dividend,HEROMOTOCO,04/15/2002,07/31/2002
2001-08-10,2001-10-22,Interim,250,0.0,Special Interim dividend,HEROMOTOCO,08/10/2001,10/22/2001
2001-04-27,2001-07-17,Final,150,0.0,AGM,HEROMOTOCO,04/27/2001,07/17/2001
