Announcement Date,Ex-Date,Dividend Type,Dividend (%),Dividend (Rs),Remarks,Stockname,Announce Date,Ex Date
2021-04-10,2021-10-26,Interim,1500,15.0,Rs.15.0000 per share(1500%)Interim Dividend,HINDUNILVR,04/10/2021,10/26/2021
2021-04-29,2021-06-14,Final,1700,17.0,Rs.17.0000 per share(1700%)Final Dividend,HINDUNILVR,04/29/2021,06/14/2021
2020-07-10,2020-10-28,Interim,1400,14.0,Rs.14.0000 per share(1400%)Interim Dividend,HINDUNILVR,07/10/2020,10/28/2020
2020-07-13,2020-07-30,Special,950,9.5,Rs.9.5000 per share(950%)Special Dividend,HINDUNILVR,07/13/2020,07/30/2020
2020-04-30,2020-06-19,Final,1400,14.0,Rs.14.0000 per share(1400%)Final Dividend,HINDUNILVR,04/30/2020,06/19/2020
2019-09-10,2019-10-23,Interim,1100,11.0,Rs.11.0000 per share(1100%)Interim Dividend,HINDUNILVR,09/10/2019,10/23/2019
2019-03-05,2019-06-20,Final,1300,13.0,Rs.13.0000 per share(1300%)Final Dividend,HINDUNILVR,03/05/2019,06/20/2019
2018-01-10,2018-10-25,Interim,900,9.0,Rs.9.0000 per shar(900%)Interim Dividend (Revised).,HINDUNILVR,01/10/2018,10/25/2018
2018-05-14,2018-06-21,Final,1200,12.0,Rs.12.0000 per share(1200%)Final Dividend.,HINDUNILVR,05/14/2018,06/21/2018
2017-11-10,2017-01-11,Interim,800,8.0,Rs.8.0000 per share(800%)Interim Dividend.,HINDUNILVR,11/10/2017,01/11/2017
2017-05-18,2017-06-22,Final,1000,10.0,Rs.10.0000 per share(1000%)Final Dividend.,HINDUNILVR,05/18/2017,06/22/2017
2016-10-14,2016-01-11,Interim,700,7.0,Rs.7.0000 per share(700%)Interim Dividend,HINDUNILVR,10/14/2016,01/11/2016
2016-09-05,2016-06-22,Final,950,9.5,Rs.9.5000 per share(950%)Final Dividend,HINDUNILVR,09/05/2016,06/22/2016
2015-05-10,2015-10-19,Interim,650,6.5,Rs.6.5000 per share(650%)Interim Dividend,HINDUNILVR,05/10/2015,10/19/2015
2015-08-05,2015-06-19,Final,900,9.0,Rs.9.0000 per share(900%)Final Dividend,HINDUNILVR,08/05/2015,06/19/2015
2014-10-16,2014-10-31,Interim,600,6.0,Rs.6.0000 per share(600%)Interim Dividend,HINDUNILVR,10/16/2014,10/31/2014
2014-04-28,2014-11-06,Final,750,7.5,Rs.7.5000 per share(750%)Final Dividend,HINDUNILVR,04/28/2014,11/06/2014
2013-10-15,2013-10-31,Interim,550,5.5,Rs.5.5000 per share(550%)Interim Dividend,HINDUNILVR,10/15/2013,10/31/2013
2013-04-29,2013-10-07,Final,600,6.0,Rs.6.0000 per share(600%)Final Dividend,HINDUNILVR,04/29/2013,10/07/2013
2012-10-18,2012-01-11,Interim,1250,12.5,Rs.4.5000 per share(450%)Interim Dividend & Rs.8.0000 per share(800%)Special Dividend,HINDUNILVR,10/18/2012,01/11/2012
2012-01-05,2012-04-07,Final,400,4.0,,HINDUNILVR,01/05/2012,04/07/2012
2011-10-17,2011-04-11,Interim,350,3.5,,HINDUNILVR,10/17/2011,04/11/2011
2011-09-05,2011-08-07,Final,350,3.5,,HINDUNILVR,09/05/2011,08/07/2011
2010-10-14,2010-01-11,Interim,300,3.0,,HINDUNILVR,10/14/2010,01/11/2010
2010-05-25,2010-08-07,Final,350,3.5,,HINDUNILVR,05/25/2010,08/07/2010
2009-10-15,2009-06-11,Interim,300,3.0,,HINDUNILVR,10/15/2009,06/11/2009
2009-11-05,2009-12-06,Final,400,4.0,,HINDUNILVR,11/05/2009,12/06/2009
2008-07-15,2008-04-08,Interim,350,3.5,,HINDUNILVR,07/15/2008,04/08/2008
2008-02-13,2008-03-17,Final,300,3.0,,HINDUNILVR,02/13/2008,03/17/2008
2007-10-23,2007-07-11,Interim,300,3.0,Dividend (Platinum Jubliee),HINDUNILVR,10/23/2007,07/11/2007
2007-07-23,2007-07-08,Interim,300,3.0,,HINDUNILVR,07/23/2007,07/08/2007
2007-02-20,2007-04-20,Final,300,3.0,AGM,HINDUNILVR,02/20/2007,04/20/2007
2006-10-07,2006-08-08,Interim,300,3.0,,HINDUNILVR,10/07/2006,08/08/2006
2006-02-14,2006-04-28,Final,250,2.5,AGM,HINDUNILVR,02/14/2006,04/28/2006
2005-07-25,2005-08-08,Interim,250,2.5,,HINDUNILVR,07/25/2005,08/08/2005
2005-11-02,2005-07-06,Final,250,2.5,AGM,HINDUNILVR,11/02/2005,07/06/2005
2004-07-20,2004-08-13,Interim,250,2.5,,HINDUNILVR,07/20/2004,08/13/2004
2004-02-17,2004-05-14,Final,300,3.0,,HINDUNILVR,02/17/2004,05/14/2004
2003-07-16,2003-08-14,Interim,250,2.5,,HINDUNILVR,07/16/2003,08/14/2003
2001-10-16,2003-06-20,Final,276,0.0,Bonus issue of Debentures & Special Dividend 276%,HINDUNILVR,10/16/2001,06/20/2003
2003-01-29,2003-04-04,Final,300,3.0,AGM,HINDUNILVR,01/29/2003,04/04/2003
2002-10-07,2002-07-08,Interim,250,0.0,,HINDUNILVR,10/07/2002,07/08/2002
2002-01-22,2002-08-04,Final,250,2.5,AGM,HINDUNILVR,01/22/2002,08/04/2002
2001-06-29,2001-07-16,Interim,250,2.5,,HINDUNILVR,06/29/2001,07/16/2001
2001-02-15,2001-03-27,Final,200,0.0,,HINDUNILVR,02/15/2001,03/27/2001
