Announcement Date,Ex-Date,Dividend Type,Dividend (%),Dividend (Rs),Remarks,Stockname,Announce Date,Ex Date
2021-04-26,2021-07-29,Final,100,2.0,Rs.2.0000 per share(100%)Final Dividend,ICICIBANK,04/26/2021,07/29/2021
2019-06-05,2019-07-22,Final,50,1.0,Rs.1.0000 per share(50%)Final Dividend,ICICIBANK,06/05/2019,07/22/2019
2018-07-05,2018-08-24,Final,75,1.5,Rs.1.5000 per share(75%)Dividend. (Revised),ICICIBANK,07/05/2018,08/24/2018
2017-04-05,2017-06-20,Final,125,2.5,Rs.2.5000 per share(125%)Dividend,ICICIBANK,04/05/2017,06/20/2017
2016-04-29,2016-06-16,Final,250,5.0,Rs.5.0000 per share(250%)Dividend,ICICIBANK,04/29/2016,06/16/2016
2015-04-27,2015-04-06,Final,250,5.0,Rs.5.0000 per share(250%)Dividend,ICICIBANK,04/27/2015,04/06/2015
2014-04-25,2014-05-06,Final,230,23.0,Rs.23.0000 per share(230%)Dividend,ICICIBANK,04/25/2014,05/06/2014
2013-04-26,2013-05-30,Final,200,20.0,Rs.20.0000 per share(200%)Dividend,ICICIBANK,04/26/2013,05/30/2013
2012-04-27,2012-05-31,Final,165,16.5,,ICICIBANK,04/27/2012,05/31/2012
2011-04-28,2011-02-06,Final,140,14.0,,ICICIBANK,04/28/2011,02/06/2011
2010-04-26,2010-10-06,Final,120,12.0,,ICICIBANK,04/26/2010,10/06/2010
2009-04-27,2009-11-06,Final,110,11.0,,ICICIBANK,04/27/2009,11/06/2009
2008-04-28,2008-10-07,Final,110,11.0,AGM,ICICIBANK,04/28/2008,10/07/2008
2007-04-30,2007-06-14,Final,100,10.0,AGM,ICICIBANK,04/30/2007,06/14/2007
2006-04-29,2006-06-07,Final,85,8.5,AGM,ICICIBANK,04/29/2006,06/07/2006
2005-02-05,2005-04-08,Final,85,8.5,AGM,ICICIBANK,02/05/2005,04/08/2005
2004-04-30,2004-02-09,Final,75,7.5,,ICICIBANK,04/30/2004,02/09/2004
2003-04-25,2003-04-08,Final,75,7.5,AGM,ICICIBANK,04/25/2003,04/08/2003
2002-03-05,2002-03-09,Final,0,0.0,AGM & Nil Final Dividend,ICICIBANK,03/05/2002,03/09/2002
2002-01-22,2002-02-21,Interim,20,2.0,,ICICIBANK,01/22/2002,02/21/2002
2001-04-24,2001-08-05,Final,20,0.0,,ICICIBANK,04/24/2001,08/05/2001
