Announcement Date,Ex-Date,Dividend Type,Dividend (%),Dividend (Rs),Remarks,Stockname,Announce Date,Ex Date
2022-04-18,2022-06-16,Final,5.5,0.55,Rs.0.5500 per share(5.5%)Dividend,ICICIPRULI,04/18/2022,06/16/2022
2021-04-19,2021-06-16,Final,20.0,2.0,Rs.2.0000 per share(20%)Final Dividend,ICICIPRULI,04/19/2021,06/16/2021
2019-10-22,2019-10-31,Interim,8.0,0.8,Rs.0.8000 per share(8%)Interim Dividend,ICICIPRULI,10/22/2019,10/31/2019
2019-04-24,2019-09-07,Final,15.5,1.55,Rs.1.5500 per share(15.5%)Final Dividend,ICICIPRULI,04/24/2019,09/07/2019
2018-08-10,2018-01-11,Interim,16.0,1.6,Rs.1.6000 per share(16%)Interim Dividend,ICICIPRULI,08/10/2018,01/11/2018
2018-04-24,2018-06-18,Final,22.0,2.2,Rs.2.2000 per share(22%)Final Dividend,ICICIPRULI,04/24/2018,06/18/2018
2018-05-21,2018-06-18,Special,11.0,1.1,Rs.1.1000 per share(11%)Special Dividend.,ICICIPRULI,05/21/2018,06/18/2018
2017-09-10,2017-02-11,Interim,23.0,2.3,Rs.2.3000 per share(23%)Interim Dividend.,ICICIPRULI,09/10/2017,02/11/2017
2017-10-24,2017-02-11,Special,11.0,1.1,Rs.1.1000 per share(11%)Special Dividend.,ICICIPRULI,10/24/2017,02/11/2017
2017-04-25,2017-07-07,Final,23.0,2.3,Rs.2.3000 per share(23%)Dividend,ICICIPRULI,04/25/2017,07/07/2017
2017-04-26,2017-07-07,Special,12.0,1.2,Rs.1.2000 per share(12%)Special Dividend,ICICIPRULI,04/26/2017,07/07/2017
2016-10-17,2016-02-11,Interim,17.5,1.75,Rs.1.7500 per share(17.5%)Interim Dividend,ICICIPRULI,10/17/2016,02/11/2016
