Announcement Date,Ex-Date,Dividend Type,Dividend (%),Dividend (Rs),Remarks,Stockname,Announce Date,Ex Date
2022-04-13,2022-05-31,Final,320,16.0,Rs.16.0000 per share(320%)Final Dividend,INFY,04/13/2022,05/31/2022
2021-10-13,2021-10-26,Interim,300,15.0,Rs.15.0000 per share(300%)Interim Dividend,INFY,10/13/2021,10/26/2021
2021-04-15,2021-05-31,Final,300,15.0,Rs.15.0000 per share(300%)Final Dividend,INFY,04/15/2021,05/31/2021
2020-10-14,2020-10-23,Interim,240,12.0,Rs.12.0000 per share(240%)Interim Dividend,INFY,10/14/2020,10/23/2020
2020-04-20,2020-05-29,Final,190,9.5,Rs.9.5000 per share(190%)Final Dividend,INFY,04/20/2020,05/29/2020
2019-11-10,2019-10-23,Interim,160,8.0,Rs.8.0000 per share(160%)Interim Dividend,INFY,11/10/2019,10/23/2019
2019-12-04,2019-06-13,Final,210,10.5,Rs.10.5000 per share(210%)Final Dividend,INFY,12/04/2019,06/13/2019
2019-11-01,2019-01-24,Special,80,4.0,Rs.4.0000 per share(80%)Special Dividend,INFY,11/01/2019,01/24/2019
2018-10-16,2018-10-25,Interim,140,7.0,Rs.7.0000 per share(140%)Interim Dividend,INFY,10/16/2018,10/25/2018
2018-12-04,2018-06-14,Final,410,20.5,Rs.20.5000 per share(410%)Final Dividend,INFY,12/04/2018,06/14/2018
2018-04-13,2018-06-14,Special,200,10.0,Rs.10.0000 per share(200%)Special Dividend,INFY,04/13/2018,06/14/2018
2017-10-10,2017-10-31,Interim,260,13.0,Rs.13.0000 per share(260%)Interim Dividend & Buy Back of shares,INFY,10/10/2017,10/31/2017
2017-04-13,2017-01-06,Final,295,14.75,Rs.14.7500 per share(295%)Final Dividend.,INFY,04/13/2017,01/06/2017
2016-09-16,2016-10-21,Interim,220,11.0,Rs.11.0000 per share(220%)Interim Dividend,INFY,09/16/2016,10/21/2016
2016-04-15,2016-09-06,Final,285,14.25,Rs.14.2500 per share(285%)Final Dividend,INFY,04/15/2016,09/06/2016
2015-09-15,2015-10-16,Interim,200,10.0,Rs.10.0000 per share(200%)Interim Dividend,INFY,09/15/2015,10/16/2015
2015-04-24,2015-06-15,Final,590,29.5,Rs.29.5000 per share(590%)Final Dividend (equivalent to<br>Rs. 14.75/- per share<br>after 1:1 bonus issue),INFY,04/24/2015,06/15/2015
2014-08-28,2014-10-16,Interim,600,30.0,Rs.30.0000 per share(600%)Interim Dividend,INFY,08/28/2014,10/16/2014
2014-04-15,2014-05-29,Final,860,43.0,Rs.43.0000 per share(860%)Final Dividend,INFY,04/15/2014,05/29/2014
2013-09-26,2013-10-17,Interim,400,20.0,Rs.20.0000 per share(400%)Interim Dividend,INFY,09/26/2013,10/17/2013
2013-12-04,2013-05-30,Final,540,27.0,Rs.27.0000 per share(540%)Final Dividend,INFY,12/04/2013,05/30/2013
2012-09-24,2012-10-18,Interim,300,15.0,Rs.15.0000 per share(300%)Interim Dividend,INFY,09/24/2012,10/18/2012
2012-04-13,2012-05-24,Final,640,32.0,Rs. 22.00 per share (440%) Final Dividend & Rs.10.00 per share (200%) Special Dividend,INFY,04/13/2012,05/24/2012
2011-09-22,2011-10-20,Interim,300,15.0,,INFY,09/22/2011,10/20/2011
2011-04-15,2011-05-26,Final,400,20.0,,INFY,04/15/2011,05/26/2011
2010-09-29,2010-10-21,Interim,800,40.0,Rs.10.00 per share(200%)Interim Dividend & Rs.30.00 per share(600%)Special Dividend.,INFY,09/29/2010,10/21/2010
2010-04-13,2010-05-26,Final,300,15.0,,INFY,04/13/2010,05/26/2010
2009-09-22,2009-10-15,Interim,200,10.0,,INFY,09/22/2009,10/15/2009
2009-04-15,2009-04-06,Final,270,13.5,,INFY,04/15/2009,04/06/2009
2008-09-25,2008-10-16,Interim,200,10.0,,INFY,09/25/2008,10/16/2008
2008-04-15,2008-05-29,Final,545,27.25,(Final Dividend 145% + Special Dividend 400%),INFY,04/15/2008,05/29/2008
2007-09-26,2007-10-18,Interim,120,6.0,,INFY,09/26/2007,10/18/2007
2007-04-13,2007-06-06,Final,130,6.5,AGM,INFY,04/13/2007,06/06/2007
2006-09-28,2006-10-19,Interim,100,5.0,,INFY,09/28/2006,10/19/2006
