Announcement Date,Ex-Date,Dividend Type,Dividend (%),Dividend (Rs),Remarks,Stockname,Announce Date,Ex Date
2022-05-18,2022-05-26,Final,625,6.25,Rs.6.2500 per share(625%)Final Dividend,ITC,05/18/2022,05/26/2022
2022-03-02,2022-02-14,Interim,525,5.25,Rs.5.2500 per share(525%)Interim Dividend,ITC,03/02/2022,02/14/2022
2021-01-06,2021-10-06,Final,575,5.75,Rs.5.7500 per share(575%)Final Dividend,ITC,01/06/2021,10/06/2021
2021-11-02,2021-02-22,Interim,500,5.0,Rs.5.0000 per share(500%)Interim Dividend,ITC,11/02/2021,02/22/2021
2020-06-26,2020-06-07,Final,1015,10.15,Rs.10.1500 per share(1015%)Dividend,ITC,06/26/2020,06/07/2020
2019-05-13,2019-05-22,Final,575,5.75,Rs.5.7500 per share(575%)Dividend,ITC,05/13/2019,05/22/2019
2018-05-16,2018-05-25,Final,515,5.15,Rs.5.1500 per share(515%)Dividend,ITC,05/16/2018,05/25/2018
2017-05-30,2017-05-06,Final,475,4.75,Rs.4.7500 per share(475%)Dividend,ITC,05/30/2017,05/06/2017
2016-05-20,2016-05-30,Final,850,8.5,Rs.8.5000 per share(850%)Dividend,ITC,05/20/2016,05/30/2016
2015-05-22,2015-03-06,Final,625,6.25,Rs.6.2500 per share(625%)Dividend,ITC,05/22/2015,03/06/2015
2014-05-23,2014-03-06,Final,600,6.0,Rs.6.0000 per share(600%)Dividend,ITC,05/23/2014,03/06/2014
2013-05-17,2013-05-31,Final,525,5.25,Rs.5.2500 per share(525%)Dividend,ITC,05/17/2013,05/31/2013
2012-05-25,2012-11-06,Final,450,4.5,,ITC,05/25/2012,11/06/2012
2011-05-20,2011-10-06,Final,445,4.45,Recommended a Special Dividend of Rs. 1.65 per Ordinary Share of Re. 1/- each and a Dividend of Rs. 2.80 per Ordinary Share of Re.1/- each.,ITC,05/20/2011,10/06/2011
2010-05-21,2010-09-06,Final,1000,10.0,"Special Centenary dividend of Re. 5.50 per Ordinary Share of Re 1/- each and a dividend of Re. 4.50 per Ordinary Share for the financial year ended March 31, 2010.",ITC,05/21/2010,09/06/2010
2009-05-22,2009-07-13,Final,370,3.7,,ITC,05/22/2009,07/13/2009
2008-05-23,2008-07-16,Final,350,3.5,,ITC,05/23/2008,07/16/2008
2007-05-25,2007-07-16,Final,310,3.1,AGM,ITC,05/25/2007,07/16/2007
2006-05-26,2006-10-07,Final,265,2.65,AGM,ITC,05/26/2006,10/07/2006
2005-05-27,2005-07-18,Final,310,31.0,AGM,ITC,05/27/2005,07/18/2005
2004-05-13,2004-07-19,Final,200,20.0,AGM,ITC,05/13/2004,07/19/2004
2003-08-05,2003-07-14,Final,150,15.0,,ITC,08/05/2003,07/14/2003
2002-05-14,2002-12-07,Final,135,0.0,AGM,ITC,05/14/2002,12/07/2002
2001-04-26,2001-03-07,Final,100,0.0,AGM,ITC,04/26/2001,03/07/2001
