Announcement Date,Ex-Date,Dividend Type,Dividend (%),Dividend (Rs),Remarks,Stockname,Announce Date,Ex Date
2021-03-05,2021-11-08,Final,18.0,0.9,Rs.0.9000 per share(18%)Dividend,KOTAKBANK,03/05/2021,11/08/2021
2019-04-30,2019-12-07,Final,16.0,0.8,Rs.0.8000 per share(16%)Dividend,KOTAKBANK,04/30/2019,12/07/2019
2019-08-03,2019-03-20,Final,8.1,0.0,Dividend on Preference Shares (8.10% Non Convertible Perpetual Non Cum. Preference Shares of face value of Rs. 5/- each.),KOTAKBANK,08/03/2019,03/20/2019
2018-04-30,2018-11-07,Final,14.0,0.7,Rs.0.7000 per share(14%)Dividend,KOTAKBANK,04/30/2018,11/07/2018
2017-02-05,2017-12-07,Final,12.0,0.6,Rs.0.6000 per share(12%)Dividend,KOTAKBANK,02/05/2017,12/07/2017
2016-11-05,2016-07-14,Final,10.0,0.5,Rs.0.5000 per share(10%)Dividend,KOTAKBANK,11/05/2016,07/14/2016
2015-05-05,2015-06-18,Final,18.0,0.9,Rs.0.9000 per share(18%)Dividend,KOTAKBANK,05/05/2015,06/18/2015
2014-04-30,2014-04-07,Final,16.0,0.8,Rs.0.8000 per share(16%)Dividend,KOTAKBANK,04/30/2014,04/07/2014
2013-02-05,2013-04-07,Final,14.0,0.7,Rs.0.7000 per share(14%)Dividend,KOTAKBANK,02/05/2013,04/07/2013
2012-08-05,2012-06-07,Final,12.0,0.6,,KOTAKBANK,08/05/2012,06/07/2012
2011-05-05,2011-12-07,Final,10.0,0.5,Rs.0.50 per share(10%)Dividend,KOTAKBANK,05/05/2011,12/07/2011
2010-11-05,2010-06-30,Final,8.5,0.85,,KOTAKBANK,11/05/2010,06/30/2010
2009-12-05,2009-07-14,Final,7.5,0.75,,KOTAKBANK,12/05/2009,07/14/2009
2008-09-05,2008-07-14,Final,7.5,0.75,,KOTAKBANK,09/05/2008,07/14/2008
2007-08-05,2007-06-22,Final,7.0,0.7,AGM,KOTAKBANK,08/05/2007,06/22/2007
2006-05-15,2006-07-07,Final,6.0,0.6,AGM,KOTAKBANK,05/15/2006,07/07/2006
2005-07-06,2005-07-15,Final,12.5,1.25,AGM,KOTAKBANK,07/06/2005,07/15/2005
2004-05-25,2004-07-14,Final,24.0,2.4,AGM,KOTAKBANK,05/25/2004,07/14/2004
2003-09-06,2003-07-21,Final,21.0,2.1,AGM,KOTAKBANK,09/06/2003,07/21/2003
2002-07-30,2002-09-19,Final,21.0,0.0,AGM,KOTAKBANK,07/30/2002,09/19/2002
2001-12-19,2002-01-23,Interim,20.0,0.0,,KOTAKBANK,12/19/2001,01/23/2002
2001-07-06,2001-06-25,Final,18.0,0.0,AGM,KOTAKBANK,07/06/2001,06/25/2001
