Announcement Date,Ex-Date,Dividend Type,Dividend (%),Dividend (Rs),Remarks,Stockname,Announce Date,Ex Date
2022-04-19,2022-06-30,Final,3000,30.0,Rs.30.0000 per share(3000%)Dividend,LTI,04/19/2022,06/30/2022
2021-07-10,2021-10-25,Interim,1500,15.0,Rs.15.0000 per share(1500%)Interim Dividend,LTI,07/10/2021,10/25/2021
2021-07-15,2021-07-30,Special,1000,10.0,Rs.10.0000 per share(1000%)Special Dividend,LTI,07/15/2021,07/30/2021
2021-04-05,2021-01-07,Final,2500,25.0,Rs.25.0000 per share(2500%)Final Dividend,LTI,04/05/2021,01/07/2021
2020-10-13,2020-10-27,Interim,1500,15.0,Rs. 15.0000 per share (1500%) First Interim Dividend,LTI,10/13/2020,10/27/2020
2020-05-19,2020-09-07,Final,1550,15.5,Rs.15.5000 per share(1550%)Final Dividend,LTI,05/19/2020,09/07/2020
2019-10-10,2019-10-24,Interim,1250,12.5,Rs.12.5000 per share(1250%) First Interim Dividend (RD has been revised),LTI,10/10/2019,10/24/2019
2019-02-05,2019-11-07,Final,1550,15.5,Rs.15.5000 per share(1550%)Final Dividend,LTI,02/05/2019,11/07/2019
2018-05-10,2018-10-31,Interim,1250,12.5,Rs.12.5/- (1250%) First Interim Dividend,LTI,05/10/2018,10/31/2018
2018-05-23,2018-08-14,Final,1350,13.5,Rs.13.5000 per share(1350%)Final Dividend,LTI,05/23/2018,08/14/2018
2017-10-13,2017-11-13,Interim,800,8.0,Rs.8.0000 per share(800%)First Interim Dividend.,LTI,10/13/2017,11/13/2017
2017-04-05,2017-08-14,Final,970,9.7,Rs.9.7000 per share(970%)Final Dividend,LTI,04/05/2017,08/14/2017
2016-10-27,2016-11-17,Interim,685,6.85,Rs.6.8500 per share(685%)Interim Dividend,LTI,10/27/2016,11/17/2016
