Announcement Date,Ex-Date,Dividend Type,Dividend (%),Dividend (Rs),Remarks,Stockname,Announce Date,Ex Date
2022-03-01,2022-01-25,Interim,500,10.0,Rs.10.0000 per share(500%)Interim Dividend,LTTS,03/01/2022,01/25/2022
2021-01-10,2021-10-26,Interim,0,0.0,Interim Dividend,LTTS,01/10/2021,10/26/2021
2021-01-10,2021-10-26,Special,500,10.0,Rs.10.0000 per share(500%)Special Dividend,LTTS,01/10/2021,10/26/2021
2021-03-05,2021-08-07,Final,725,14.5,Rs.14.5000 per share(725%)Final Dividend,LTTS,03/05/2021,08/07/2021
2020-01-10,2020-10-26,Interim,375,7.5,Rs.7.5000 per share(375%)Interim Dividend,LTTS,01/10/2020,10/26/2020
2020-05-15,2020-08-07,Final,675,13.5,Rs.13.5000 per share(675%)Final Dividend,LTTS,05/15/2020,08/07/2020
2019-07-10,2019-10-30,Interim,375,7.5,Rs.7.5000 per share(375%)Interim Dividend,LTTS,07/10/2019,10/30/2019
2019-03-05,2019-11-07,Final,675,13.5,Rs.13.5000 per share(675%)Final Dividend,LTTS,03/05/2019,11/07/2019
2018-11-10,2018-01-11,Interim,375,7.5,Rs.7.5000 per share(375%)Interim Dividend,LTTS,11/10/2018,01/11/2018
2018-05-22,2018-08-13,Final,600,12.0,Rs.12.0000 per share(600%)Final Dividend,LTTS,05/22/2018,08/13/2018
2017-10-23,2017-11-14,Interim,200,4.0,Rs.4.0000 per share(200%)Interim Dividend,LTTS,10/23/2017,11/14/2017
2017-08-05,2017-08-14,Final,200,4.0,Rs.4.0000 per share(200%)Dividend,LTTS,08/05/2017,08/14/2017
2016-10-27,2016-11-21,Interim,150,3.0,Rs.3.0000 per share(150%)Interim Dividend,LTTS,10/27/2016,11/21/2016
