Announcement Date,Ex-Date,Dividend Type,Dividend (%),Dividend (Rs),Remarks,Stockname,Announce Date,Ex Date
2022-05-30,2022-07-14,Final,231,11.55,Rs.11.5500 per share(231%)Dividend,M&M,05/30/2022,07/14/2022
2021-05-28,2021-07-15,Final,175,8.75,Rs.8.7500 per share(175%)Dividend,M&M,05/28/2021,07/15/2021
2020-12-06,2020-07-16,Final,47,2.35,Rs.2.3500 per share(47%)Dividend,M&M,12/06/2020,07/16/2020
2019-05-29,2019-07-18,Final,170,8.5,Rs.8.5000 per share(170%)Dividend,M&M,05/29/2019,07/18/2019
2018-05-29,2018-12-07,Final,150,7.5,Rs.7.5000 per share(150%)Dividend,M&M,05/29/2018,12/07/2018
2017-05-30,2017-07-13,Final,260,13.0,Rs.13.0000 per share(260%) Dividend.,M&M,05/30/2017,07/13/2017
2016-05-30,2016-07-21,Final,240,12.0,Rs.12.0000 per share(240%)Dividend,M&M,05/30/2016,07/21/2016
2015-05-29,2015-07-16,Final,240,12.0,Rs.12.0000 per share(240%)Dividend,M&M,05/29/2015,07/16/2015
2014-05-29,2014-07-17,Final,270,13.5,Rs.13.5000 per share(270%)Dividend,M&M,05/29/2014,07/17/2014
2014-05-30,2014-07-17,Special,10,0.5,Rs.0.5000 per share(10%)Special Dividend,M&M,05/30/2014,07/17/2014
2013-05-30,2013-07-18,Final,260,13.0,Rs.0.5000 per share(10%)Special Dividend & Rs.12.5000 per share(250%)Dividend,M&M,05/30/2013,07/18/2013
2013-05-30,2013-07-18,Final&Spl,260,0.0,Rs.0.5000 per share(10%)Special Dividend & Rs.12.5000 per share(250%)Dividend,M&M,05/30/2013,07/18/2013
2012-05-30,2012-12-07,Final,250,12.5,,M&M,05/30/2012,12/07/2012
2011-05-30,2011-07-14,Final,230,11.5,Rs.10.50 per share(210%)Dividend & Rs.1.00 per share(20%)Special Dividend,M&M,05/30/2011,07/14/2011
2010-05-24,2010-08-07,Final,190,9.5,Rs.8.75 per share(175%)Dividend + Rs.0.75 per share(15%)Special Dividend,M&M,05/24/2010,08/07/2010
2009-05-19,2009-09-07,Final,100,10.0,,M&M,05/19/2009,09/07/2009
2008-05-16,2008-03-07,Final,115,11.5,AGM,M&M,05/16/2008,03/07/2008
2007-05-23,2007-05-07,Final,40,4.0,(25% Final Dividend + Special Dividend 15%) AGM,M&M,05/23/2007,05/07/2007
2007-07-03,2007-03-23,Interim,75,7.5,,M&M,07/03/2007,03/23/2007
2006-05-19,2006-06-29,Final,100,10.0,AGM,M&M,05/19/2006,06/29/2006
2005-10-05,2005-06-29,Final,130,13.0,Dividend 100% + 30% Special Dividend,M&M,10/05/2005,06/29/2005
2004-05-13,2004-06-28,Final,90,9.0,AGM,M&M,05/13/2004,06/28/2004
2003-09-05,2003-06-26,Final,55,5.5,AGM,M&M,09/05/2003,06/26/2003
2002-10-05,2002-06-26,Final,50,0.0,AGM,M&M,10/05/2002,06/26/2002
2001-04-17,2001-05-23,Final,55,0.0,AGM,M&M,04/17/2001,05/23/2001
