Announcement Date,Ex-Date,Dividend Type,Dividend (%),Dividend (Rs),Remarks,Stockname,Announce Date,Ex Date
2022-11-01,2022-04-02,Interim,625.0,6.25,Rs.6.2500 per share(625%)Second Interim Dividend,MARICO,11/01/2022,04/02/2022
2021-10-13,2021-08-11,Interim,300.0,3.0,Rs.3.0000 per share(300%)Interim Dividend,MARICO,10/13/2021,08/11/2021
2021-02-17,2021-10-03,Interim,450.0,4.5,Rs.4.5000 per share(450%)Second Interim Dividend,MARICO,02/17/2021,10/03/2021
2020-10-13,2020-05-11,Interim,300.0,3.0,Rs.3.0000 per share(300%)Interim Dividend,MARICO,10/13/2020,05/11/2020
2020-03-03,2020-03-16,Interim,75.0,0.75,Rs.0.7500 per share(75%)Third Interim Dividend,MARICO,03/03/2020,03/16/2020
2020-06-01,2020-06-02,Interim,325.0,3.25,Rs.3.2500 per share(325%)Second Interim Dividend,MARICO,06/01/2020,06/02/2020
2019-03-10,2019-04-11,Interim,275.0,2.75,Rs.2.7500 per share(275%)Interim Dividend,MARICO,03/10/2019,04/11/2019
2019-03-01,2019-12-02,Interim,275.0,2.75,Rs.2.7500 per share(275%)Second Interim Dividend,MARICO,03/01/2019,12/02/2019
2018-11-10,2018-12-11,Interim,200.0,2.0,Rs.2.0000 per share(200%)First Interim Dividend,MARICO,11/10/2018,12/11/2018
2018-10-01,2018-02-16,Interim,250.0,2.5,Rs.2.5000 per share(250%)Second Interim Dividend,MARICO,10/01/2018,02/16/2018
2017-10-24,2017-06-11,Interim,175.0,1.75,Rs.1.7500 per share(175%)First Interim Dividend,MARICO,10/24/2017,06/11/2017
2017-01-25,2017-09-02,Interim,200.0,2.0,Rs.2.0000 per share(200%)Second Interim Dividend.,MARICO,01/25/2017,09/02/2017
2016-04-11,2016-11-16,Interim,150.0,1.5,Rs.1.5000 per share(150%)First Interim Dividend,MARICO,04/11/2016,11/16/2016
2016-04-03,2016-03-17,Interim,100.0,1.0,Rs.1.0000 per share(100%)Third Interim Dividend,MARICO,04/03/2016,03/17/2016
2016-01-22,2016-05-02,Interim,150.0,1.5,Rs.1.5000 per share(150%)Second Interim Dividend,MARICO,01/22/2016,05/02/2016
2015-10-26,2015-09-11,Interim,175.0,1.75,Rs.1.7500 per share(175%)First Interim Dividend,MARICO,10/26/2015,09/11/2015
2015-01-23,2015-06-02,Interim,150.0,0.0,Rs.1.5000 per share(150%)Second Interim Dividend,MARICO,01/23/2015,06/02/2015
2014-10-28,2014-11-13,Interim,100.0,0.0,Rs.1.0000 per share(100%)First Interim Dividend,MARICO,10/28/2014,11/13/2014
2014-03-20,2014-03-27,Interim,175.0,0.0,Rs.1.7500 per share(175%)Third Interim Dividend (Revised from RD 31/03/2014),MARICO,03/20/2014,03/27/2014
2014-01-20,2014-06-02,Interim,100.0,0.0,Re.1.0000 per share (100%) Second Interim Dividend,MARICO,01/20/2014,06/02/2014
2013-10-18,2013-01-11,Interim,75.0,0.0,Rs.0.7500 per share(75%)First Interim Dividend,MARICO,10/18/2013,01/11/2013
2013-04-22,2013-03-05,Interim,50.0,0.0,Rs.0.5000 per share(50%)Second Interim Dividend<br>,MARICO,04/22/2013,03/05/2013
2012-08-10,2012-07-11,Interim,50.0,0.0,Rs.0.5000 per share(50%)First Interim Dividend,MARICO,08/10/2012,07/11/2012
2012-04-18,2012-08-05,Interim,40.0,0.0,Second Interim Dividend,MARICO,04/18/2012,08/05/2012
2011-10-18,2011-09-11,Interim,30.0,0.0,First Interim Dividend,MARICO,10/18/2011,09/11/2011
2011-04-21,2011-06-05,Interim,36.0,0.0,Second Interim Dividend,MARICO,04/21/2011,06/05/2011
2010-10-18,2010-01-11,Interim,30.0,0.0,First Interim Dividend,MARICO,10/18/2010,01/11/2010
2010-04-20,2010-03-05,Interim,36.0,0.0,Second Interim Dividend,MARICO,04/20/2010,03/05/2010
2009-10-22,2009-10-30,Interim,30.0,0.0,First Interim Dividend,MARICO,10/22/2009,10/30/2009
2009-09-04,2009-04-27,Interim,35.5,0.0,Second Interim Dividend,MARICO,09/04/2009,04/27/2009
2008-10-10,2008-10-24,Interim,30.0,0.0,First Interim Dividend,MARICO,10/10/2008,10/24/2008
2008-04-15,2008-04-29,Interim,37.0,0.0,Third Interim Dividend,MARICO,04/15/2008,04/29/2008
2007-10-15,2007-10-29,Interim,15.0,0.0,,MARICO,10/15/2007,10/29/2007
2007-07-16,2007-07-30,Interim,13.5,0.0,First Interim Dividend,MARICO,07/16/2007,07/30/2007
2007-12-03,2007-03-29,Interim,20.0,0.0,Fourth Interim Dividend,MARICO,12/03/2007,03/29/2007
2007-09-01,2007-01-23,Interim,17.0,0.0,Third Interim Dividend,MARICO,09/01/2007,01/23/2007
2006-06-10,2006-10-20,Interim,15.0,0.0,Second Interim Dividend,MARICO,06/10/2006,10/20/2006
2006-07-14,2006-07-28,Interim,13.5,0.0,First Interim Dividend for the year 2006-07.,MARICO,07/14/2006,07/28/2006
2006-04-13,2006-04-27,Interim,20.0,0.0,,MARICO,04/13/2006,04/27/2006
2006-01-13,2006-01-27,Interim,16.0,0.0,Third Interim Dividend,MARICO,01/13/2006,01/27/2006
2005-10-14,2005-10-31,Interim,14.0,0.0,Second Interim Dividend,MARICO,10/14/2005,10/31/2005
2005-07-15,2005-05-08,Interim,12.0,0.0,First Interim Dividend,MARICO,07/15/2005,05/08/2005
2005-04-15,2005-03-05,Interim,17.5,0.0,,MARICO,04/15/2005,03/05/2005
2005-01-14,2005-01-28,Interim,14.0,0.0,Third Interim Dividend,MARICO,01/14/2005,01/28/2005
