Announcement Date,Ex-Date,Dividend Type,Dividend (%),Dividend (Rs),Remarks,Stockname,Announce Date,Ex Date
2021-06-28,2021-05-08,Final,900,45.0,Rs.45.0000 per share(900%)Final Dividend,MARUTI,06/28/2021,05/08/2021
2020-05-13,2020-08-13,Final,1200,60.0,Rs.60.0000 per share(1200%)Final Dividend,MARUTI,05/13/2020,08/13/2020
2019-04-25,2019-08-14,Final,1600,80.0,Rs.80.0000 per share(1600%)Final Dividend,MARUTI,04/25/2019,08/14/2019
2018-04-27,2018-08-14,Final,1600,80.0,Rs.80.0000 per share(1600%)Final Dividend,MARUTI,04/27/2018,08/14/2018
2017-04-27,2017-08-24,Final,1500,75.0,Rs.75.0000 per share(1500%) Dividend.,MARUTI,04/27/2017,08/24/2017
2016-04-26,2016-08-31,Final,700,35.0,Rs.35.0000 per share(700%)Final Dividend,MARUTI,04/26/2016,08/31/2016
2015-04-27,2015-08-26,Final,500,25.0,Rs.25.0000 per share(500%)Final Dividend,MARUTI,04/27/2015,08/26/2015
2014-04-25,2014-08-27,Final,240,12.0,Rs.12.0000 per share(240%)Dividend,MARUTI,04/25/2014,08/27/2014
2013-04-26,2013-08-13,Final,160,8.0,Rs.8.0000 per share(160%)Dividend,MARUTI,04/26/2013,08/13/2013
2012-04-28,2012-08-14,Final,150,7.5,Rs.7.50 per share(150%)Final Dividend,MARUTI,04/28/2012,08/14/2012
2011-04-25,2011-08-24,Final,150,7.5,Rs.7.50 per share(150%)Final Dividend,MARUTI,04/25/2011,08/24/2011
2010-04-26,2010-08-24,Final,120,6.0,,MARUTI,04/26/2010,08/24/2010
2009-04-24,2009-08-18,Final,70,3.5,,MARUTI,04/24/2009,08/18/2009
2008-04-24,2008-08-14,Final,100,5.0,,MARUTI,04/24/2008,08/14/2008
2007-04-24,2007-08-22,Final,90,4.5,AGM,MARUTI,04/24/2007,08/22/2007
2006-07-31,2006-08-23,Final,70,3.5,,MARUTI,07/31/2006,08/23/2006
2005-06-05,2005-08-25,Final,40,2.0,i.e. Rs.2.00 per share (Nominal Value Rs.5 per share),MARUTI,06/05/2005,08/25/2005
2004-05-17,2004-08-07,Final,30,1.5,i.e. Rs.1.50 (Nominal Value Rs. 5 per share) & AGM,MARUTI,05/17/2004,08/07/2004
