Announcement Date,Ex-Date,Dividend Type,Dividend (%),Dividend (Rs),Remarks,Stockname,Announce Date,Ex Date
2022-05-24,2022-07-07,Final,50.0,1.0,Rs.1.0000 per share(50%)Final Dividend & Bonus issue,MINDAIND,05/24/2022,07/07/2022
2022-07-02,2022-02-16,Interim,25.0,0.5,Rs.0.5000 per share(25%)Interim Dividend,MINDAIND,07/02/2022,02/16/2022
2021-06-14,2021-04-08,Final,25.0,0.5,Rs.0.5000 per share(25%)Dividend,MINDAIND,06/14/2021,04/08/2021
2021-04-02,2021-02-15,Interim,17.5,0.35,Rs.0.3500 per share(17.5%)Interim Dividend,MINDAIND,04/02/2021,02/15/2021
2020-06-02,2020-02-17,Interim,20.0,0.4,Rs.0.4000 per share(20%)Interim Dividend,MINDAIND,06/02/2020,02/17/2020
2019-05-16,2019-07-29,Final,32.5,0.65,Rs.0.6500 per share(32.5%)Final Dividend,MINDAIND,05/16/2019,07/29/2019
2019-06-02,2019-02-15,Interim,22.5,0.45,Rs.0.4500 per share(22.5%)Interim Dividend,MINDAIND,06/02/2019,02/15/2019
2018-05-22,2018-11-07,Final,80.0,1.6,Rs.1.6000 per share(80%)Final Dividend,MINDAIND,05/22/2018,11/07/2018
2018-02-14,2018-02-22,Interim,60.0,1.2,Rs.1.2000 per share(60%)Interim Dividend,MINDAIND,02/14/2018,02/22/2018
2017-05-16,2017-08-21,Final,50.0,1.0,Rs.1.0000 per share(50%)Final Dividend,MINDAIND,05/16/2017,08/21/2017
2017-07-02,2017-02-16,Interim,60.0,1.2,Rs.1.2000 per share(60%)Interim Dividend.,MINDAIND,07/02/2017,02/16/2017
2016-04-07,2016-03-08,Final,40.0,4.0,Rs.4.0000 per share(40%)Final Dividend,MINDAIND,04/07/2016,03/08/2016
2016-02-02,2016-11-02,Interim,30.0,3.0,Rs.3.0000 per share(30%)Interim Dividend,MINDAIND,02/02/2016,11/02/2016
2015-05-27,2015-07-30,Final,35.0,0.0,Rs.3.5000 per share(35%)Final Dividend,MINDAIND,05/27/2015,07/30/2015
2015-02-16,2015-02-26,Interim,25.0,0.0,Rs.2.5000 per share(25%)Interim Dividend,MINDAIND,02/16/2015,02/26/2015
2014-05-28,2014-08-19,Final,30.0,0.0,Rs.3.0000 per share(30%)Dividend,MINDAIND,05/28/2014,08/19/2014
2013-05-24,2013-06-09,Final,30.0,0.0,Rs.3.0000 per share(30%)Dividend,MINDAIND,05/24/2013,06/09/2013
2012-06-20,2012-09-14,Final,30.0,0.0,,MINDAIND,06/20/2012,09/14/2012
2011-05-31,2011-02-08,Final,30.0,0.0,Rs.3.00 per share(30%)Dividend,MINDAIND,05/31/2011,02/08/2011
2010-05-31,2010-12-15,Final,30.0,0.0,,MINDAIND,05/31/2010,12/15/2010
2009-05-29,2009-07-20,Final,25.0,0.0,,MINDAIND,05/29/2009,07/20/2009
2008-05-27,2008-07-15,Final,25.0,0.0,,MINDAIND,05/27/2008,07/15/2008
2007-05-29,2007-07-16,Final,25.0,0.0,AGM,MINDAIND,05/29/2007,07/16/2007
2006-05-06,2006-07-17,Final,25.0,0.0,AGM,MINDAIND,05/06/2006,07/17/2006
2005-05-31,2005-07-19,Final,25.0,0.0,AGM,MINDAIND,05/31/2005,07/19/2005
