Announcement Date,Ex-Date,Dividend Type,Dividend (%),Dividend (Rs),Remarks,Stockname,Announce Date,Ex Date
2022-04-18,2022-04-28,Interim,120,6.0,Rs.6.0000 per share(120%)Interim Dividend,MOLDTKPAC,04/18/2022,04/28/2022
2021-05-26,2021-09-22,Final,80,4.0,Rs.4.0000 per share(80%)Final Dividend,MOLDTKPAC,05/26/2021,09/22/2021
2021-03-03,2021-03-16,Interim,60,3.0,Rs.3.0000 per share(60%)Interim Dividend,MOLDTKPAC,03/03/2021,03/16/2021
2020-04-03,2020-03-19,Interim,100,5.0,Rs.5.0000 per share(100%)Interim Dividend,MOLDTKPAC,04/03/2020,03/19/2020
2019-05-27,2019-09-20,Final,40,2.0,Rs.2.0000 per share(40%)Final Dividend,MOLDTKPAC,05/27/2019,09/20/2019
2019-04-24,2019-09-05,Interim,40,2.0,Rs.2.0000 per share(40%)Interim Dividend,MOLDTKPAC,04/24/2019,09/05/2019
2018-05-29,2018-09-19,Final,40,2.0,Rs.2.0000 per share(40%)Final Dividend,MOLDTKPAC,05/29/2018,09/19/2018
2018-09-05,2018-05-21,Interim,40,2.0,Rs.2.0000 per share(40%)Interim Dividend,MOLDTKPAC,09/05/2018,05/21/2018
2017-02-06,2017-09-14,Final,32,1.6,Rs.1.6000 per share(32%)Final Dividend,MOLDTKPAC,02/06/2017,09/14/2017
2017-03-28,2017-10-04,Interim,40,2.0,Rs.2.0000 per share(40%)Interim Dividend.,MOLDTKPAC,03/28/2017,10/04/2017
2016-11-05,2016-09-09,Final,25,1.25,Rs.1.2500 per share(25%)Final Dividend,MOLDTKPAC,11/05/2016,09/09/2016
2016-08-03,2016-03-18,Interim,40,2.0,Rs.2.0000 per share(40%)Interim Dividend (inclusive of 20% one time 30th year Addtional Dividend),MOLDTKPAC,08/03/2016,03/18/2016
2015-05-19,2015-09-18,Final,20,0.0,Rs.2.0000 per share(20%)Final Dividend,MOLDTKPAC,05/19/2015,09/18/2015
2015-02-03,2015-12-03,Interim,20,0.0,Rs.2.0000 per share(20%)Interim Dividend,MOLDTKPAC,02/03/2015,12/03/2015
2014-05-29,2014-09-24,Final,15,0.0,Rs.1.5000 per share(15%)Final Dividend,MOLDTKPAC,05/29/2014,09/24/2014
2014-08-05,2014-05-20,Interim,15,0.0,Rs.1.5000 per share(15%)Interim Dividend,MOLDTKPAC,08/05/2014,05/20/2014
2013-05-27,2013-09-25,Final,15,0.0,Rs.1.5000 per share(15%)Final Dividend,MOLDTKPAC,05/27/2013,09/25/2013
2013-10-05,2013-05-23,Interim,10,0.0,Rs.1.0000 per share(10%)Interim Dividend,MOLDTKPAC,10/05/2013,05/23/2013
2012-05-29,2012-09-13,Final,25,0.0,,MOLDTKPAC,05/29/2012,09/13/2012
2012-06-02,2012-02-21,Interim,25,0.0,,MOLDTKPAC,06/02/2012,02/21/2012
2011-05-31,2011-09-14,Final,30,0.0,Rs.3.00 per share(30%)Final Dividend,MOLDTKPAC,05/31/2011,09/14/2011
2011-05-16,2011-05-24,Interim,20,0.0,,MOLDTKPAC,05/16/2011,05/24/2011
2010-12-07,2010-05-08,Final,30,0.0,,MOLDTKPAC,12/07/2010,05/08/2010
2009-06-29,2009-09-17,Final,20,0.0,,MOLDTKPAC,06/29/2009,09/17/2009
