Announcement Date,Ex-Date,Dividend Type,Dividend (%),Dividend (Rs),Remarks,Stockname,Announce Date,Ex Date
2021-02-06,2021-03-09,Final,150,1.5,Rs.1.5000 per share(150%)Final Dividend,MOTHERSUMI,02/06/2021,03/09/2021
2020-02-28,2020-12-03,Interim,150,1.5,Rs.1.5000 per share(150%)Interim Dividend,MOTHERSUMI,02/28/2020,12/03/2020
2019-05-27,2019-08-08,Final,150,1.5,Rs.1.5000 per share(150%)Final Dividend,MOTHERSUMI,05/27/2019,08/08/2019
2018-05-23,2018-08-08,Final,225,2.25,Rs.2.2500 per share(225%)Dividend,MOTHERSUMI,05/23/2018,08/08/2018
2017-05-19,2017-08-14,Final,200,2.0,Rs.2.0000 per share(200%)Dividend,MOTHERSUMI,05/19/2017,08/14/2017
2016-11-03,2016-03-22,Interim,250,2.5,Rs.2.5000 per share(250%)Interim Dividend,MOTHERSUMI,11/03/2016,03/22/2016
2015-12-05,2015-07-23,Final,300,0.0,Rs.3.0000 per share(300%)Dividend,MOTHERSUMI,12/05/2015,07/23/2015
2014-05-22,2014-08-19,Final,250,0.0,Rs.2.5000 per share(250%)Dividend,MOTHERSUMI,05/22/2014,08/19/2014
2013-05-17,2013-08-21,Final,200,0.0,Rs.2.0000 per share(200%)Dividend,MOTHERSUMI,05/17/2013,08/21/2013
2012-05-28,2012-08-31,Final,225,0.0,Rs.2.25 per share(225%)Dividend (Revised),MOTHERSUMI,05/28/2012,08/31/2012
2011-05-25,2011-08-25,Final,275,0.0,,MOTHERSUMI,05/25/2011,08/25/2011
2010-05-18,2010-08-18,Final,175,0.0,,MOTHERSUMI,05/18/2010,08/18/2010
2009-06-30,2009-09-16,Final,135,0.0,,MOTHERSUMI,06/30/2009,09/16/2009
2008-02-06,2008-01-08,Final,135,0.0,AGM,MOTHERSUMI,02/06/2008,01/08/2008
2007-05-28,2007-07-23,Final,150,0.0,AGM,MOTHERSUMI,05/28/2007,07/23/2007
2006-05-30,2006-07-28,Final,115,0.0,AGM,MOTHERSUMI,05/30/2006,07/28/2006
2005-05-27,2005-11-08,Final,100,0.0,Dividend @ 100% (Re. 1/- per share).,MOTHERSUMI,05/27/2005,11/08/2005
2004-05-29,2004-09-09,Final,100,0.0,(Rs.1/- per share) & AGM,MOTHERSUMI,05/29/2004,09/09/2004
2003-05-29,2003-09-09,Final,75,0.0,AGM,MOTHERSUMI,05/29/2003,09/09/2003
2002-06-13,2002-08-28,Final,50,0.0,AGM,MOTHERSUMI,06/13/2002,08/28/2002
2001-06-20,2001-07-08,Final,40,0.0,AGM,MOTHERSUMI,06/20/2001,07/08/2001
