Announcement Date,Ex-Date,Dividend Type,Dividend (%),Dividend (Rs),Remarks,Stockname,Announce Date,Ex Date
2021-08-04,2021-04-22,Interim,200,20.0,Rs.20.0000 per share(200%)Interim Dividend,MUTHOOTFIN,08/04/2021,04/22/2021
2020-09-03,2020-03-23,Interim,150,15.0,Rs.15.0000 per share(150%)Interim Dividend,MUTHOOTFIN,09/03/2020,03/23/2020
2019-02-04,2019-11-04,Interim,120,12.0,Rs.12.0000 per share(120%)Interim Dividend,MUTHOOTFIN,02/04/2019,11/04/2019
2018-01-31,2018-02-15,Interim,100,10.0,Rs.10.0000 per share(100%)Interim Dividend,MUTHOOTFIN,01/31/2018,02/15/2018
2017-03-17,2017-03-30,Interim,60,6.0,Rs.6.0000 per share(60%)Interim Dividend,MUTHOOTFIN,03/17/2017,03/30/2017
2016-08-03,2016-03-16,Interim,20,2.0,Rs.2.0000 per share(20%)Second Interim Dividend,MUTHOOTFIN,08/03/2016,03/16/2016
2015-10-27,2015-05-11,Interim,40,4.0,Rs.4.0000 per share(40%)Interim Dividend,MUTHOOTFIN,10/27/2015,05/11/2015
2015-05-05,2015-09-22,Final,20,2.0,Rs.2.0000 per share(20%)Dividend,MUTHOOTFIN,05/05/2015,09/22/2015
2014-09-26,2014-10-22,Interim,40,4.0,Rs.4.0000 per share (40%) First Interim Dividend,MUTHOOTFIN,09/26/2014,10/22/2014
2014-05-26,2014-10-09,Final,10,1.0,Rs.1.0000 per share(10%)Dividend,MUTHOOTFIN,05/26/2014,10/09/2014
2014-01-23,2014-04-02,Interim,20,2.0,Rs.2.0000 per share(20%)Interim Dividend,MUTHOOTFIN,01/23/2014,04/02/2014
2013-10-22,2013-05-11,Interim,30,3.0,Rs.3.0000 per share(30%)First Interim Dividend,MUTHOOTFIN,10/22/2013,05/11/2013
2013-05-14,2013-12-09,Final,45,4.5,Rs.4.5000 per share(45%)Dividend,MUTHOOTFIN,05/14/2013,12/09/2013
2012-05-15,2012-08-16,Final,40,4.0,Rs.4.00 per share(40%)Dividend,MUTHOOTFIN,05/15/2012,08/16/2012
