Announcement Date,Ex-Date,Dividend Type,Dividend (%),Dividend (Rs),Remarks,Stockname,Announce Date,Ex Date
2022-04-01,2022-01-17,Interim,80.0,8.0,Rs.8.0000 per share(80%)Interim Dividend,NAUKRI,04/01/2022,01/17/2022
2021-09-06,2021-06-21,Interim,80.0,8.0,Rs.8.0000 per share(80%)Interim Dividend,NAUKRI,09/06/2021,06/21/2021
2021-09-06,2021-06-21,Interest,0.0,0.0,Interim Dividend,NAUKRI,09/06/2021,06/21/2021
2020-07-02,2020-02-18,Interim,35.0,3.5,Rs.3.5000 per share(35%)Second Interim Dividend,NAUKRI,07/02/2020,02/18/2020
2019-07-11,2019-11-21,Interim,25.0,2.5,Rs.2.5000 per share(25%)Interim Dividend,NAUKRI,07/11/2019,11/21/2019
2019-05-28,2019-05-08,Final,20.0,2.0,Rs.2.0000 per share(20%)Final Dividend,NAUKRI,05/28/2019,05/08/2019
2019-01-21,2019-07-02,Interim,15.0,1.5,Rs.1.5000 per share(15%)Second Interim Dividend,NAUKRI,01/21/2019,07/02/2019
2018-10-22,2018-09-11,Interim,25.0,2.5,Rs.2.5000 per share(25%)Interim Dividend,NAUKRI,10/22/2018,09/11/2018
2018-05-30,2018-07-16,Final,15.0,1.5,Rs.1.5000 per share(15%)Final Dividend,NAUKRI,05/30/2018,07/16/2018
2018-01-30,2018-09-02,Interim,15.0,1.5,Rs.1.5000 per share(15%)Second Interim Dividend,NAUKRI,01/30/2018,09/02/2018
2017-10-24,2017-08-11,Interim,25.0,2.5,Rs.2.5000 per share(25%)Interim Dividend,NAUKRI,10/24/2017,08/11/2017
2017-05-30,2017-07-13,Final,15.0,1.5,Rs.1.5000 per share(15%)Final Dividend.,NAUKRI,05/30/2017,07/13/2017
2017-02-20,2017-03-03,Interim,15.0,1.5,Rs.1.5000 per share(15%)Second Interim Dividend.,NAUKRI,02/20/2017,03/03/2017
2016-10-19,2016-04-11,Interim,15.0,1.5,Rs.1.5000 per share(15%)Interim Dividend,NAUKRI,10/19/2016,04/11/2016
2016-09-03,2016-03-18,Interim,20.0,2.0,Rs.2.0000 per share (20%) Second Interim Dividend,NAUKRI,09/03/2016,03/18/2016
2015-06-11,2015-11-19,Interim,10.0,0.0,Rs.1.0000 per share(10%)Interim Dividend,NAUKRI,06/11/2015,11/19/2015
2015-05-29,2015-07-17,Final,20.0,0.0,Rs.2.0000 per share(20%)Final Dividend,NAUKRI,05/29/2015,07/17/2015
2014-10-16,2014-10-30,Interim,10.0,0.0,Rs.1.0000 per share(10%)Interim Dividend,NAUKRI,10/16/2014,10/30/2014
2014-05-14,2014-07-15,Final,15.0,0.0,Rs.1.5000 per share(15%)Final Dividend,NAUKRI,05/14/2014,07/15/2014
2013-10-18,2013-10-30,Interim,10.0,0.0,Rs.1.0000 per share(10%)Interim Dividend,NAUKRI,10/18/2013,10/30/2013
2013-03-05,2013-07-15,Final,10.0,0.0,Rs.1.0000 per share(10%)Dividend,NAUKRI,03/05/2013,07/15/2013
2012-03-05,2012-06-22,Final,10.0,0.0,,NAUKRI,03/05/2012,06/22/2012
2011-04-28,2011-07-13,Final,7.5,0.0,,NAUKRI,04/28/2011,07/13/2011
2010-04-30,2010-07-15,Final,7.5,0.0,,NAUKRI,04/30/2010,07/15/2010
2009-05-05,2009-07-15,Final,7.5,0.0,,NAUKRI,05/05/2009,07/15/2009
2008-05-05,2008-07-18,Final,7.5,0.0,AGM,NAUKRI,05/05/2008,07/18/2008
2007-02-07,2007-07-18,Final,7.5,0.0,AGM,NAUKRI,02/07/2007,07/18/2007
