Announcement Date,Ex-Date,Dividend Type,Dividend (%),Dividend (Rs),Remarks,Stockname,Announce Date,Ex Date
2021-10-19,2021-01-11,Interim,250,5.0,Rs.5.0000 per share(250%)Interim Dividend,NAVINFLUOR,10/19/2021,01/11/2021
2021-07-05,2021-09-07,Final,300,6.0,Rs.6.0000 per share(300%)Final Dividend,NAVINFLUOR,07/05/2021,09/07/2021
2020-10-28,2020-10-11,Interim,250,5.0,Rs.5.0000 per share(250%)Interim Dividend,NAVINFLUOR,10/28/2020,10/11/2020
2020-06-16,2020-07-08,Final,150,3.0,Rs.3.0000 per share(150%)Final Dividend,NAVINFLUOR,06/16/2020,07/08/2020
2020-02-25,2020-05-03,Interim,200,4.0,Rs.4.0000 per share(200%)Interim Dividend,NAVINFLUOR,02/25/2020,05/03/2020
2019-10-23,2019-05-11,Interim,200,4.0,Rs.4.0000 per share(200%)Interim Dividend,NAVINFLUOR,10/23/2019,05/11/2019
2019-06-05,2019-07-06,Final,200,4.0,Rs.4.0000 per share(200%)Final Dividend,NAVINFLUOR,06/05/2019,07/06/2019
2018-10-30,2018-11-14,Interim,190,3.8,Rs.3.8000 per share(190%)Interim Dividend,NAVINFLUOR,10/30/2018,11/14/2018
2018-08-05,2018-07-13,Final,180,3.6,Rs.3.6000 per share(180%)Final Dividend,NAVINFLUOR,08/05/2018,07/13/2018
2018-09-05,2018-07-13,Special,150,3.0,Rs.3.0000 per share(150%)Special Dividend,NAVINFLUOR,09/05/2018,07/13/2018
2017-10-27,2017-08-11,Interim,170,3.4,Rs.3.4000 per share(170%)Interim Dividend,NAVINFLUOR,10/27/2017,08/11/2017
2017-02-05,2017-06-16,Final,130,13.0,Rs.13.0000 per share(130%)Final Dividend.,NAVINFLUOR,02/05/2017,06/16/2017
2016-10-21,2016-04-11,Special,75,7.5,Rs.7.5000 per share(75%)Special Dividend,NAVINFLUOR,10/21/2016,04/11/2016
2016-10-24,2016-04-11,Interim,110,11.0,Rs.11.0000 per share(110%)Interim Dividend,NAVINFLUOR,10/24/2016,04/11/2016
2016-02-05,2016-07-15,Final,110,11.0,Rs.11.0000 per share(110%)Final Dividend,NAVINFLUOR,02/05/2016,07/15/2016
2015-10-27,2015-06-11,Interim,100,0.0,Rs.10.0000 per share(100%)Interim Dividend,NAVINFLUOR,10/27/2015,06/11/2015
2015-04-28,2015-06-19,Final,85,0.0,Rs.8.5000 per share(85%)Final Dividend,NAVINFLUOR,04/28/2015,06/19/2015
2014-10-20,2014-05-11,Interim,75,0.0,Rs.7.5000 per share(75%)Interim Dividend,NAVINFLUOR,10/20/2014,05/11/2014
2014-04-28,2014-12-06,Final,85,0.0,Rs.8.5000 per share(85%)Final Dividend,NAVINFLUOR,04/28/2014,12/06/2014
2013-10-23,2013-07-11,Interim,75,0.0,Rs.7.5000 per share(75%)Interim Dividend,NAVINFLUOR,10/23/2013,07/11/2013
2013-04-30,2013-06-13,Final,75,0.0,Rs.7.5000 per share(75%)Final Dividend,NAVINFLUOR,04/30/2013,06/13/2013
2012-10-15,2012-10-29,Interim,75,0.0,Rs.7.5000 per share(75%)Interim Dividend,NAVINFLUOR,10/15/2012,10/29/2012
2012-04-30,2012-07-06,Final,665,0.0,"Final Dividend of Rs. 6.50/- per Share on 97,61,097 Equity Shares of nominal value of Rs. 10/- each and a Special Dividend of Rs. 60/- per Share aggregating to Rs. 5,856.66 lac.",NAVINFLUOR,04/30/2012,07/06/2012
2011-10-19,2011-02-11,Interim,85,0.0,,NAVINFLUOR,10/19/2011,02/11/2011
2011-04-29,2011-06-14,Final,85,0.0,,NAVINFLUOR,04/29/2011,06/14/2011
2010-10-20,2010-11-11,Interim,65,0.0,,NAVINFLUOR,10/20/2010,11/11/2010
2010-04-29,2010-11-06,Final,75,0.0,,NAVINFLUOR,04/29/2010,11/06/2010
2009-10-27,2009-12-11,Interim,65,0.0,,NAVINFLUOR,10/27/2009,12/11/2009
2009-04-05,2009-04-06,Final,50,0.0,,NAVINFLUOR,04/05/2009,04/06/2009
2008-10-22,2008-06-11,Interim,50,0.0,,NAVINFLUOR,10/22/2008,06/11/2008
2008-05-05,2008-12-06,Final,40,0.0,AGM,NAVINFLUOR,05/05/2008,12/06/2008
2007-04-05,2007-06-14,Final,40,0.0,AGM,NAVINFLUOR,04/05/2007,06/14/2007
2006-05-24,2006-05-26,Final,30,0.0,,NAVINFLUOR,05/24/2006,05/26/2006
2005-05-30,2005-06-24,Final,20,0.0,AGM,NAVINFLUOR,05/30/2005,06/24/2005
2004-07-05,2004-06-28,Final,20,0.0,Right Issue of Equity Shares,NAVINFLUOR,07/05/2004,06/28/2004
