Announcement Date,Ex-Date,Dividend Type,Dividend (%),Dividend (Rs),Remarks,Stockname,Announce Date,Ex Date
2022-02-17,2022-04-21,Final,650,65.0,Rs.65.0000 per share(650%)Final Dividend (Revised),NESTLEIND,02/17/2022,04/21/2022
2021-07-10,2021-10-26,Interim,1100,110.0,Rs.110.0000 per share(1100%)Interim Dividend,NESTLEIND,07/10/2021,10/26/2021
2021-02-16,2021-04-29,Final,650,65.0,Rs.65.0000 per share(650%)Final Dividend,NESTLEIND,02/16/2021,04/29/2021
2021-06-04,2021-04-29,Interim,250,25.0,Rs.25.0000 per share(250%)Interim Dividend,NESTLEIND,06/04/2021,04/29/2021
2020-10-15,2020-10-29,Interim,1350,135.0,Rs.135.0000 per share(1350%)Interim Dividend,NESTLEIND,10/15/2020,10/29/2020
2020-02-13,2020-11-06,Final,610,61.0,Rs.61.0000 per share(610%)Final Dividend,NESTLEIND,02/13/2020,11/06/2020
2019-11-22,2019-10-12,Interim,550,55.0,Rs.55.0000 per share(550%)Third Interim Dividend,NESTLEIND,11/22/2019,10/12/2019
2019-02-08,2019-09-08,Special,1800,180.0,Rs.180.0000 per share(1800%)Special Dividend,NESTLEIND,02/08/2019,09/08/2019
2019-07-23,2019-09-08,Interim,230,23.0,Rs.23.0000 per share(230%)Second Interim Dividend,NESTLEIND,07/23/2019,09/08/2019
2019-04-16,2019-06-05,Interim,230,23.0,Rs.23.0000 per share(230%)Interim Dividend,NESTLEIND,04/16/2019,06/05/2019
2019-02-14,2019-04-30,Final,250,25.0,Rs.25.0000 per share(250%)Final Dividend,NESTLEIND,02/14/2019,04/30/2019
2018-11-28,2018-12-12,Interim,500,50.0,Rs.50.0000 per share(500%)Third Interim Dividend,NESTLEIND,11/28/2018,12/12/2018
2018-07-25,2018-10-08,Interim,200,20.0,Rs.20.0000 per share(200%) Second Interim Dividend,NESTLEIND,07/25/2018,10/08/2018
2018-02-14,2018-05-16,Final,230,23.0,Rs.23.0000 per share(230%)Final Dividend,NESTLEIND,02/14/2018,05/16/2018
2018-02-05,2018-05-16,Interim,200,20.0,Rs.20.0000 per share(200%)Interim Dividend,NESTLEIND,02/05/2018,05/16/2018
2017-11-24,2017-11-12,Interim,330,33.0,Rs.33.0000 per share(330%)Third Interim Dividend,NESTLEIND,11/24/2017,11/12/2017
2017-07-18,2017-02-08,Interim,150,15.0,Rs.15.0000 per share(150%)Second Interim Dividend,NESTLEIND,07/18/2017,02/08/2017
2017-02-15,2017-05-19,Final,230,23.0,Rs.23.0000 per share(230%)Final & A.G.M,NESTLEIND,02/15/2017,05/19/2017
2017-05-15,2017-05-19,Interim,150,15.0,Rs.15.0000 per share(150%)Interim Dividend.,NESTLEIND,05/15/2017,05/19/2017
