Announcement Date,Ex-Date,Dividend Type,Dividend (%),Dividend (Rs),Remarks,Stockname,Announce Date,Ex Date
2022-01-27,2022-08-02,Interim,950.0,95.0,Rs.95.0000 per share(950%)Interim Dividend,PGHH,01/27/2022,08/02/2022
2021-08-25,2021-09-11,Final,800.0,80.0,Rs.80.0000 per share(800%)Final Dividend,PGHH,08/25/2021,09/11/2021
2021-04-26,2021-11-05,Interim,0.0,0.0,Interim Dividend,PGHH,04/26/2021,11/05/2021
2021-04-26,2021-11-05,Special,1500.0,150.0,Rs.150.0000 per share (1500%) Special Interim Dividend,PGHH,04/26/2021,11/05/2021
2021-01-28,2021-10-02,Interim,850.0,85.0,Rs.85.0000 per share(850%)Interim Dividend,PGHH,01/28/2021,10/02/2021
2020-08-26,2020-11-13,Final,1050.0,105.0,Rs.105.0000 per share(1050%)Final Dividend,PGHH,08/26/2020,11/13/2020
2019-08-21,2019-11-19,Final,480.0,48.0,Rs.48.0000 per share(480%)Final Dividend,PGHH,08/21/2019,11/19/2019
2019-07-02,2019-02-15,Interim,400.0,40.0,Rs.40.0000 per share(400%)Interim Dividend,PGHH,07/02/2019,02/15/2019
2018-08-23,2018-11-20,Final,400.0,40.0,Rs.40.0000 per share(400%)Final Dividend,PGHH,08/23/2018,11/20/2018
2017-08-30,2017-07-11,Final,270.0,27.0,Rs.27.0000 per share(270%)Dividend,PGHH,08/30/2017,07/11/2017
2017-08-05,2017-05-17,Special,3620.0,362.0,Rs.362.0000 per share(3620%) Special Dividend.,PGHH,08/05/2017,05/17/2017
2016-08-26,2016-11-24,Final,360.0,36.0,Rs.36.0000 per share(360%)Dividend,PGHH,08/26/2016,11/24/2016
2015-08-28,2015-10-19,Final,302.5,0.0,Rs.30.2500 per share(302.5%)Dividend,PGHH,08/28/2015,10/19/2015
2014-08-13,2014-08-09,Final,275.0,0.0,Rs.27.5000 per share(275%)Dividend,PGHH,08/13/2014,08/09/2014
2013-08-14,2013-11-21,Final,250.0,0.0,Rs.25.0000 per share(250%)Final Dividend,PGHH,08/14/2013,11/21/2013
2012-08-24,2012-11-20,Final,225.0,0.0,Rs.22.50 per share(225%)Dividend,PGHH,08/24/2012,11/20/2012
2011-08-25,2011-04-11,Final,225.0,0.0,(Revised),PGHH,08/25/2011,04/11/2011
2010-08-19,2010-09-23,Final,225.0,0.0,,PGHH,08/19/2010,09/23/2010
2009-08-28,2009-09-29,Final,225.0,0.0,,PGHH,08/28/2009,09/29/2009
2008-08-26,2008-09-25,Final,200.0,0.0,AGM,PGHH,08/26/2008,09/25/2008
2007-08-27,2007-09-27,Final,200.0,0.0,,PGHH,08/27/2007,09/27/2007
2006-08-17,2006-09-21,Final,250.0,0.0,AGM,PGHH,08/17/2006,09/21/2006
2005-05-09,2005-10-11,Final,400.0,0.0,AGM,PGHH,05/09/2005,10/11/2005
2004-08-13,2004-09-29,Final,200.0,0.0,AGM,PGHH,08/13/2004,09/29/2004
2003-09-09,2003-09-25,Final,200.0,0.0,AGM,PGHH,09/09/2003,09/25/2003
2002-05-08,2002-11-09,Final,0.0,0.0,AGM & Dividend,PGHH,05/08/2002,11/09/2002
2001-08-28,2001-04-09,Final,375.0,0.0,AGM,PGHH,08/28/2001,04/09/2001
2000-10-05,2000-12-05,Final,75.0,0.0,,PGHH,10/05/2000,12/05/2000
