Announcement Date,Ex-Date,Dividend Type,Dividend (%),Dividend (Rs),Remarks,Stockname,Announce Date,Ex Date
2021-12-05,2021-07-27,Final,850,8.5,Rs.8.5000 per share(850%)Final Dividend,PIDILITIND,12/05/2021,07/27/2021
2020-02-28,2020-03-13,Interim,700,7.0,Rs.7.0000 per share(700%)Interim Dividend,PIDILITIND,02/28/2020,03/13/2020
2019-05-14,2019-07-29,Final,650,6.5,Rs.6.5000 per share(650%)Dividend,PIDILITIND,05/14/2019,07/29/2019
2018-05-24,2018-08-21,Final,600,6.0,Rs.6.0000 per share(600%)Dividend,PIDILITIND,05/24/2018,08/21/2018
2017-05-19,2017-08-23,Final,475,4.75,Rs.4.7500 per share(475%)Dividend,PIDILITIND,05/19/2017,08/23/2017
2016-05-20,2016-08-24,Final,50,0.5,Rs.0.5000 per share(50%)Dividend,PIDILITIND,05/20/2016,08/24/2016
2016-08-03,2016-03-18,Interim,365,3.65,Rs.3.6500 per share(365%)Interim Dividend,PIDILITIND,08/03/2016,03/18/2016
2015-05-19,2015-08-14,Final,290,0.0,Rs.2.9000 per share(290%)Dividend,PIDILITIND,05/19/2015,08/14/2015
2014-05-28,2014-09-09,Final,270,0.0,Rs.2.7000 per share(270%)Dividend,PIDILITIND,05/28/2014,09/09/2014
2013-05-28,2013-05-07,Final,260,0.0,Rs.2.6000 per share(260%)Dividend,PIDILITIND,05/28/2013,05/07/2013
2012-05-24,2012-06-07,Final,190,0.0,,PIDILITIND,05/24/2012,06/07/2012
2011-05-19,2011-08-07,Final,175,0.0,Rs.1.75 per share(175%)Dividend,PIDILITIND,05/19/2011,08/07/2011
2010-05-20,2010-07-26,Final,150,0.0,Rs.0.50 per Share (50%) Special Dividend & Rs.1.00 per Share (100%) Dividend.,PIDILITIND,05/20/2010,07/26/2010
2009-05-21,2009-07-17,Final,175,0.0,,PIDILITIND,05/21/2009,07/17/2009
2008-05-30,2008-11-08,Final,175,0.0,AGM,PIDILITIND,05/30/2008,11/08/2008
2007-05-23,2007-08-14,Final,150,0.0,AGM,PIDILITIND,05/23/2007,08/14/2007
2006-05-23,2006-07-21,Final,125,0.0,AGM,PIDILITIND,05/23/2006,07/21/2006
2005-05-18,2005-07-22,Final,100,0.0,AGM,PIDILITIND,05/18/2005,07/22/2005
2004-05-24,2004-07-16,Final,80,0.0,AGM,PIDILITIND,05/24/2004,07/16/2004
2003-05-28,2003-07-18,Final,75,0.0,AGM,PIDILITIND,05/28/2003,07/18/2003
2002-06-26,2002-08-20,Final,70,0.0,AGM,PIDILITIND,06/26/2002,08/20/2002
2001-05-26,2001-09-07,Final,45,0.0,AGM,PIDILITIND,05/26/2001,09/07/2001
