Announcement Date,Ex-Date,Dividend Type,Dividend (%),Dividend (Rs),Remarks,Stockname,Announce Date,Ex Date
2022-03-02,2022-02-14,Interim,300,3.0,Rs.3.0000 per share(300%)Interim Dividend,PIIND,03/02/2022,02/14/2022
2021-05-15,2021-06-09,Final,200,2.0,Rs.2.0000 per share(200%)Final Dividend,PIIND,05/15/2021,06/09/2021
2021-03-02,2021-11-02,Interim,300,3.0,Rs.3.0000 per share(300%)Interim Dividend,PIIND,03/02/2021,11/02/2021
2020-05-06,2020-09-17,Final,100,1.0,Rs.1.0000 per share(100%)Final Dividend,PIIND,05/06/2020,09/17/2020
2020-12-02,2020-02-24,Interim,300,3.0,Rs.3.00/- (300%)Interim Dividend,PIIND,12/02/2020,02/24/2020
2019-05-17,2019-08-29,Final,150,1.5,Rs.1.5000 per share(150%)Final Dividend (Revised),PIIND,05/17/2019,08/29/2019
2018-10-26,2018-09-11,Interim,250,2.5,Rs.2.5000 per share(250%)Interim Dividend,PIIND,10/26/2018,09/11/2018
2018-05-16,2018-07-30,Final,250,2.5,Rs.2.5000 per share(250%)Final Dividend,PIIND,05/16/2018,07/30/2018
2017-10-25,2017-09-11,Interim,150,1.5,Rs.1.5000 per share(150%)Interim Dividend.,PIIND,10/25/2017,09/11/2017
2017-05-17,2017-08-30,Final,250,2.5,Rs.2.5000 per share(250%)Final Dividend,PIIND,05/17/2017,08/30/2017
2016-10-25,2016-11-16,Interim,150,1.5,Rs.1.5000 per share(150%)Interim Dividend (RD revised from 09/11/2016),PIIND,10/25/2016,11/16/2016
2016-11-03,2016-03-22,Interim,190,1.9,Re.1.9000 per share (190%) Second Interim Dividend,PIIND,11/03/2016,03/22/2016
2015-02-11,2015-11-17,Interim,120,0.0,Rs.1.2000 per share(120%)Interim Dividend,PIIND,02/11/2015,11/17/2015
2015-05-25,2015-08-09,Final,130,0.0,Rs.1.3000 per share(130%)Final Dividend,PIIND,05/25/2015,08/09/2015
2014-10-29,2014-11-13,Interim,120,0.0,Rs.1.2000 per share(120%)Interim Dividend,PIIND,10/29/2014,11/13/2014
2014-05-21,2014-03-09,Final,100,0.0,Rs.1.0000 per share(100%)Final Dividend,PIIND,05/21/2014,03/09/2014
2014-12-02,2014-02-21,Interim,50,0.0,Rs.0.5000 per share(50%)Interim Dividend,PIIND,12/02/2014,02/21/2014
2013-05-08,2013-08-19,Final,100,0.0,Rs.1.0000 per share(100%)Dividend (BC dates has been Revised),PIIND,05/08/2013,08/19/2013
2013-05-20,2013-08-19,Final,100,0.0,Rs.1.0000 per share(100%)Dividend,PIIND,05/20/2013,08/19/2013
2013-05-20,2013-08-19,Interim,50,0.0,Rs.0.5000 per share(50%)Interim Dividend (BC dates has been Revised),PIIND,05/20/2013,08/19/2013
2012-05-30,2012-05-09,Final,60,0.0,Rs.3.00 per share(60%)Final Dividend,PIIND,05/30/2012,05/09/2012
2011-07-11,2011-11-17,Interim,40,0.0,,PIIND,07/11/2011,11/17/2011
2011-04-15,2011-08-07,Final,40,0.0,,PIIND,04/15/2011,08/07/2011
2010-05-18,2010-08-07,Final,20,0.0,,PIIND,05/18/2010,08/07/2010
2005-09-03,2005-03-17,Interim,18,0.0,,PIIND,09/03/2005,03/17/2005
2004-09-06,2004-08-07,Final,18,0.0,18% Dividend (Revised),PIIND,09/06/2004,08/07/2004
2002-02-07,2002-08-28,Final,5,0.0,,PIIND,02/07/2002,08/28/2002
