Announcement Date,Ex-Date,Dividend Type,Dividend (%),Dividend (Rs),Remarks,Stockname,Announce Date,Ex Date
2021-05-20,2021-08-17,Final,250,2.5,Rs.2.5000 per share(250%)Final Dividend,RELAXO,05/20/2021,08/17/2021
2020-02-27,2020-11-03,Interim,125,1.25,Rs.1.2500 per share(125%)Interim Dividend,RELAXO,02/27/2020,11/03/2020
2019-10-05,2019-09-18,Final,90,0.9,Final Dividend Rs.1.80/- (180%) Post issuance of bonus Dividend would be Rs.0.90/-,RELAXO,10/05/2019,09/18/2019
2018-11-05,2018-09-18,Final,150,1.5,Rs.1.5000 per share(150%)Final Dividend,RELAXO,11/05/2018,09/18/2018
2017-05-26,2017-09-13,Final,100,1.0,Rs.1.0000 per share(100%)Final Dividend,RELAXO,05/26/2017,09/13/2017
2016-05-16,2016-07-09,Final,60,0.6,Rs.0.6000 per share(60%)Final Dividend,RELAXO,05/16/2016,07/09/2016
2015-11-05,2015-09-15,Final,50,0.0,Rs.0.5000 per share(50%)Dividend (Post Bonus Issue) (BC Date has been revised from 17/09/2015 to 23/09/2015),RELAXO,11/05/2015,09/15/2015
2014-12-05,2014-10-09,Final,50,0.0,Rs.0.5000 per share(50%)Dividend,RELAXO,12/05/2014,10/09/2014
2013-05-13,2013-11-09,Final,40,0.0,Rs.2.0000 per share(40%)Dividend,RELAXO,05/13/2013,11/09/2013
2012-05-14,2012-07-09,Final,30,0.0,Rs.1.50 per share(30%)Dividend,RELAXO,05/14/2012,07/09/2012
2011-05-27,2011-12-09,Final,20,0.0,,RELAXO,05/27/2011,12/09/2011
2010-04-11,2010-11-15,Interim,10,0.0,,RELAXO,04/11/2010,11/15/2010
2010-04-06,2010-09-16,Final,20,0.0,,RELAXO,04/06/2010,09/16/2010
2009-10-22,2009-05-11,Interim,10,0.0,,RELAXO,10/22/2009,05/11/2009
2009-05-28,2009-09-17,Final,15,0.0,,RELAXO,05/28/2009,09/17/2009
2008-05-29,2008-09-17,Final,15,0.0,AGM,RELAXO,05/29/2008,09/17/2008
2007-05-29,2007-09-14,Final,15,0.0,,RELAXO,05/29/2007,09/14/2007
2006-08-08,2006-08-22,Final,15,0.0,AGM,RELAXO,08/08/2006,08/22/2006
2005-04-07,2005-07-28,Final,15,0.0,AGM,RELAXO,04/07/2005,07/28/2005
2004-02-07,2004-07-29,Final,15,0.0,AGM,RELAXO,02/07/2004,07/29/2004
2003-02-07,2003-07-30,Final,15,0.0,AGM,RELAXO,02/07/2003,07/30/2003
2002-01-08,2002-03-09,Final,15,0.0,AGM,RELAXO,01/08/2002,03/09/2002
2001-10-08,2001-08-27,Final,15,0.0,AGM,RELAXO,10/08/2001,08/27/2001
2000-08-25,2000-08-30,Final,10,0.0,,RELAXO,08/25/2000,08/30/2000
