Announcement Date,Ex-Date,Dividend Type,Dividend (%),Dividend (Rs),Remarks,Stockname,Announce Date,Ex Date
2021-04-30,2021-11-06,Final,70.0,7.0,Rs.7.0000 per share(70%)Final Dividend,RELIANCE,04/30/2021,11/06/2021
2020-04-30,2020-02-07,Final,65.0,6.5,Rs.6.5000 per share(65%)Dividend,RELIANCE,04/30/2020,02/07/2020
2019-04-18,2019-02-08,Final,65.0,6.5,Rs.6.5000 per share(65%)Final Dividend,RELIANCE,04/18/2019,02/08/2019
2018-04-27,2018-06-27,Final,60.0,6.0,Rs.6.0000 per share(60%)Dividend,RELIANCE,04/27/2018,06/27/2018
2017-04-25,2017-07-13,Final,110.0,11.0,Rs.11.0000 per share(110%)Dividend,RELIANCE,04/25/2017,07/13/2017
2016-08-03,2016-03-17,Interim,105.0,10.5,Rs.10.5000 per share(105%)Interim Dividend,RELIANCE,08/03/2016,03/17/2016
2015-04-17,2015-08-05,Final,100.0,10.0,Rs.10.0000 per share(100%)Dividend,RELIANCE,04/17/2015,08/05/2015
2014-04-21,2014-05-16,Final,95.0,9.5,Rs.9.5000 per share(95%)Dividend,RELIANCE,04/21/2014,05/16/2014
2013-04-16,2013-10-05,Final,90.0,9.0,Rs.9.0000 per share(90%)Dividend,RELIANCE,04/16/2013,10/05/2013
2012-04-20,2012-05-31,Final,85.0,8.5,,RELIANCE,04/20/2012,05/31/2012
2011-04-21,2011-05-05,Final,80.0,8.0,,RELIANCE,04/21/2011,05/05/2011
2010-04-26,2010-10-05,Final,70.0,7.0,,RELIANCE,04/26/2010,10/05/2010
2009-07-10,2009-10-16,Final,130.0,13.0,,RELIANCE,07/10/2009,10/16/2009
2008-04-21,2008-08-05,Final,130.0,13.0,,RELIANCE,04/21/2008,08/05/2008
2007-02-03,2007-03-21,Interim,110.0,11.0,,RELIANCE,02/03/2007,03/21/2007
2006-04-27,2006-01-06,Final,100.0,10.0,,RELIANCE,04/27/2006,01/06/2006
2005-04-27,2005-12-05,Final,75.0,7.5,AGM,RELIANCE,04/27/2005,12/05/2005
2004-04-29,2004-05-20,Final,52.5,5.25,AGM,RELIANCE,04/29/2004,05/20/2004
2003-04-23,2003-05-23,Final,50.0,5.0,,RELIANCE,04/23/2003,05/23/2003
2002-09-30,2002-10-23,Final,47.5,0.0,,RELIANCE,09/30/2002,10/23/2002
2001-12-04,2001-04-26,Final,42.5,0.0,,RELIANCE,12/04/2001,04/26/2001
