Announcement Date,Ex-Date,Dividend Type,Dividend (%),Dividend (Rs),Remarks,Stockname,Announce Date,Ex Date
2022-05-13,2022-05-25,Final,710,7.1,Rs.7.1000 per share(710%)Dividend,SBIN,05/13/2022,05/25/2022
2021-05-21,2021-03-06,Final,400,4.0,Rs.4.0000 per share(400%)Dividend,SBIN,05/21/2021,03/06/2021
2017-05-19,2017-05-26,Final,260,2.6,Rs.2.6000 per share(260%)Dividend,SBIN,05/19/2017,05/26/2017
2016-05-16,2016-03-06,Final,260,2.6,Rs.2.6000 per share(260%)Dividend,SBIN,05/16/2016,03/06/2016
2015-05-22,2015-05-28,Final,350,3.5,Rs.3.5000 per share(350%)Dividend,SBIN,05/22/2015,05/28/2015
2014-05-14,2014-05-29,Final,150,15.0,Rs.15.0000 per share(150%)Dividend,SBIN,05/14/2014,05/29/2014
2014-04-03,2014-11-03,Interim,150,15.0,Rs.15.0000 per share(150%)Interim Dividend,SBIN,04/03/2014,11/03/2014
2013-05-14,2013-05-28,Final,415,41.5,Rs.41.5000 per share(415%)Dividend,SBIN,05/14/2013,05/28/2013
2012-12-05,2012-05-24,Final,350,35.0,,SBIN,12/05/2012,05/24/2012
2011-11-05,2011-05-20,Final,300,30.0,,SBIN,11/05/2011,05/20/2011
2010-11-05,2010-09-06,Final,200,20.0,,SBIN,11/05/2010,09/06/2010
2010-01-25,2010-05-02,Interim,100,10.0,,SBIN,01/25/2010,05/02/2010
2009-11-05,2009-10-06,Final,290,29.0,,SBIN,11/05/2009,10/06/2009
2008-02-05,2008-05-29,Final,215,21.5,,SBIN,02/05/2008,05/29/2008
2007-09-05,2007-06-13,Final,140,14.0,,SBIN,09/05/2007,06/13/2007
2006-10-05,2006-06-19,Final,140,14.0,,SBIN,10/05/2006,06/19/2006
2005-05-20,2005-06-17,Final,125,12.5,,SBIN,05/20/2005,06/17/2005
2004-11-05,2004-06-25,Final,110,11.0,,SBIN,11/05/2004,06/25/2004
2003-05-06,2003-04-07,Final,85,8.5,,SBIN,05/06/2003,04/07/2003
2002-05-24,2002-11-07,Final,60,0.0,,SBIN,05/24/2002,11/07/2002
2001-05-30,2001-02-07,Final,50,0.0,,SBIN,05/30/2001,02/07/2001
