Announcement Date,Ex-Date,Dividend Type,Dividend (%),Dividend (Rs),Remarks,Stockname,Announce Date,Ex Date
2021-10-14,2021-10-29,Interim,300,6.0,Rs.6.0000 per share(300%)Interim Dividend,SUPREMEIND,10/14/2021,10/29/2021
2021-03-05,2021-06-21,Final,850,17.0,Rs.17.0000 per share(850%)Final Dividend,SUPREMEIND,03/05/2021,06/21/2021
2020-10-19,2020-05-11,Interim,250,5.0,Rs.5.0000 per share(250%)Interim Dividend,SUPREMEIND,10/19/2020,05/11/2020
2020-02-24,2020-06-03,Interim,500,10.0,Rs.10.0000 per share(500%)Second Interim Dividend,SUPREMEIND,02/24/2020,06/03/2020
2019-10-18,2019-04-11,Interim,200,4.0,Rs.4.0000 per share(200%)Interim Dividend,SUPREMEIND,10/18/2019,04/11/2019
2019-10-18,2019-04-11,Interest,0,0.0,Interim Dividend,SUPREMEIND,10/18/2019,04/11/2019
2019-07-05,2019-02-07,Final,450,9.0,Rs.9.0000 per share(450%)Final Dividend,SUPREMEIND,07/05/2019,02/07/2019
2018-10-17,2018-05-11,Interim,200,4.0,Rs.4.0000 per share(200%)Interim Dividend,SUPREMEIND,10/17/2018,05/11/2018
2018-04-26,2018-06-19,Final,450,9.0,Rs.9.0000 per share(450%)Final Dividend,SUPREMEIND,04/26/2018,06/19/2018
2017-10-18,2017-06-11,Interim,150,3.0,Rs.3.0000 per share(150%)Interim Dividend,SUPREMEIND,10/18/2017,06/11/2017
2017-04-27,2017-06-21,Special,250,5.0,Rs.5.0000 per share(250%)Special Dividend,SUPREMEIND,04/27/2017,06/21/2017
2017-04-28,2017-06-21,Final,350,7.0,Rs.7.0000 per share(350%)Final Dividend,SUPREMEIND,04/28/2017,06/21/2017
2016-10-24,2016-07-11,Interim,150,3.0,Rs.3.0000 per share(150%)Interim Dividend,SUPREMEIND,10/24/2016,07/11/2016
2016-10-03,2016-03-22,Interim,250,5.0,Rs.5.0000 per share (250%) Second Interim Dividend,SUPREMEIND,10/03/2016,03/22/2016
2016-01-25,2016-02-02,Interim,125,2.5,Rs.2.5000 per share(125%)Interim Dividend,SUPREMEIND,01/25/2016,02/02/2016
2015-07-24,2015-08-09,Final,350,7.0,Rs.7.0000 per share(350%)Final Dividend,SUPREMEIND,07/24/2015,08/09/2015
2015-12-01,2015-01-28,Interim,100,0.0,Rs.2.0000 per share(100%)Interim Dividend Rs.2.0000 per share(100%)Interim Dividend Rs.2.0000 per share(100%)Interim Dividend,SUPREMEIND,12/01/2015,01/28/2015
2014-07-21,2014-08-09,Final,300,0.0,Rs.6.0000 per share(300%)Final Dividend,SUPREMEIND,07/21/2014,08/09/2014
2014-01-13,2014-01-27,Interim,100,0.0,Rs.2.0000 per share(100%)Interim Dividend,SUPREMEIND,01/13/2014,01/27/2014
2013-07-18,2013-05-09,Final,275,0.0,Rs.5.5000 per share(275%)Final Dividend,SUPREMEIND,07/18/2013,05/09/2013
2013-01-15,2013-01-28,Interim,100,0.0,Rs.2.0000 per share(100%)Interim Dividend,SUPREMEIND,01/15/2013,01/28/2013
2012-07-20,2012-06-09,Final,225,0.0,Rs.4.50 per share(225%)Final Dividend,SUPREMEIND,07/20/2012,06/09/2012
2012-01-13,2012-01-31,Interim,75,0.0,,SUPREMEIND,01/13/2012,01/31/2012
2011-07-25,2011-05-09,Final,150,0.0,,SUPREMEIND,07/25/2011,05/09/2011
2011-01-27,2011-04-02,Interim,65,0.0,,SUPREMEIND,01/27/2011,04/02/2011
2010-07-16,2010-03-09,Final,130,0.0,,SUPREMEIND,07/16/2010,03/09/2010
2010-05-01,2010-01-18,Interim,50,0.0,,SUPREMEIND,05/01/2010,01/18/2010
2009-07-20,2009-01-09,Final,120,0.0,,SUPREMEIND,07/20/2009,01/09/2009
2008-06-08,2008-03-10,Final,45,0.0,,SUPREMEIND,06/08/2008,03/10/2008
2008-09-01,2008-01-24,Interim,35,0.0,,SUPREMEIND,09/01/2008,01/24/2008
2007-07-25,2007-01-10,Final,50,0.0,,SUPREMEIND,07/25/2007,01/10/2007
2007-01-15,2007-01-25,Interim,25,0.0,,SUPREMEIND,01/15/2007,01/25/2007
2006-02-08,2006-09-25,Final,100,0.0,AGM,SUPREMEIND,02/08/2006,09/25/2006
2005-08-18,2005-09-20,Final,90,0.0,,SUPREMEIND,08/18/2005,09/20/2005
2004-07-08,2004-09-13,Final,90,0.0,,SUPREMEIND,07/08/2004,09/13/2004
2003-02-09,2003-10-13,Final,70,0.0,,SUPREMEIND,02/09/2003,10/13/2003
2002-07-27,2002-09-13,Final,60,0.0,,SUPREMEIND,07/27/2002,09/13/2002
2001-08-31,2001-03-10,Final,30,0.0,,SUPREMEIND,08/31/2001,03/10/2001
2000-02-08,2000-09-20,Final,20,0.0,,SUPREMEIND,02/08/2000,09/20/2000
