Announcement Date,Ex-Date,Dividend Type,Dividend (%),Dividend (Rs),Remarks,Stockname,Announce Date,Ex Date
2022-04-29,2022-06-15,Final,125,12.5,Rs.12.5000 per share(125%)Final Dividend,TATACHEM,04/29/2022,06/15/2022
2021-03-05,2021-06-14,Final,100,10.0,Rs.10.0000 per share(100%)Final Dividend,TATACHEM,03/05/2021,06/14/2021
2020-05-15,2020-06-22,Final,110,11.0,Rs.11.0000 per share(110%)Final Dividend,TATACHEM,05/15/2020,06/22/2020
2019-03-05,2019-06-28,Final,125,12.5,Rs.12.5000 per share(125%)Dividend,TATACHEM,03/05/2019,06/28/2019
2018-05-17,2018-07-16,Final,110,11.0,Rs.11.0000 per share(110%)Dividend,TATACHEM,05/17/2018,07/16/2018
2018-05-18,2018-07-16,Special,110,11.0,Rs.11.0000 per share(110%)Special Dividend,TATACHEM,05/18/2018,07/16/2018
2017-05-26,2017-07-31,Final,110,11.0,Rs.11.0000 per share(110%) Dividend.,TATACHEM,05/26/2017,07/31/2017
2016-05-26,2016-02-08,Final,100,10.0,Rs.10.0000 per share(100%)Dividend,TATACHEM,05/26/2016,02/08/2016
2015-05-26,2015-07-31,Special,25,0.0,Rs.2.5000 per share(25%)Special Dividend,TATACHEM,05/26/2015,07/31/2015
2015-05-27,2015-07-31,Final,100,0.0,Rs.10.0000 per share(100%)Dividend,TATACHEM,05/27/2015,07/31/2015
2014-05-30,2014-08-08,Final,100,0.0,Rs.10.0000 per share(100%)Dividend,TATACHEM,05/30/2014,08/08/2014
2013-05-27,2013-12-08,Final,100,0.0,Rs.10.0000 per share(100%)Dividend,TATACHEM,05/27/2013,12/08/2013
2012-05-30,2012-08-08,Final,100,0.0,,TATACHEM,05/30/2012,08/08/2012
2011-05-23,2011-07-25,Final,100,0.0,Rs.10.00 per share(100%)Dividend,TATACHEM,05/23/2011,07/25/2011
2010-05-24,2010-02-07,Final,90,0.0,,TATACHEM,05/24/2010,02/07/2010
2009-05-28,2009-07-14,Final,90,0.0,,TATACHEM,05/28/2009,07/14/2009
2008-06-24,2008-07-18,Final,90,0.0,AGM,TATACHEM,06/24/2008,07/18/2008
2007-05-30,2007-06-07,Final,80,0.0,AGM,TATACHEM,05/30/2007,06/07/2007
2006-05-30,2006-06-29,Final,70,0.0,AGM,TATACHEM,05/30/2006,06/29/2006
2005-05-31,2005-06-29,Final,65,0.0,AGM,TATACHEM,05/31/2005,06/29/2005
2004-08-06,2004-08-30,Final,55,0.0,AGM,TATACHEM,08/06/2004,08/30/2004
2003-04-30,2003-05-29,Interim,55,0.0,,TATACHEM,04/30/2003,05/29/2003
2002-04-28,2002-05-30,Interim,50,0.0,,TATACHEM,04/28/2002,05/30/2002
2002-03-05,2002-05-30,Interim,50,0.0,,TATACHEM,03/05/2002,05/30/2002
2001-10-05,2001-06-14,Final,50,0.0,AGM,TATACHEM,10/05/2001,06/14/2001
