Announcement Date,Ex-Date,Dividend Type,Dividend (%),Dividend (Rs),Remarks,Stockname,Announce Date,Ex Date
2022-04-05,2022-09-06,Final,605,6.05,Rs.6.0500 per share(605%)Final Dividend,TATACONSUM,04/05/2022,09/06/2022
2021-06-05,2021-10-06,Final,405,4.05,Rs.4.0500 per share(405%)Final Dividend,TATACONSUM,06/05/2021,10/06/2021
2020-05-14,2020-06-18,Final,270,2.7,Rs.2.7000 per share(270%)Final Dividend,TATACONSUM,05/14/2020,06/18/2020
2019-04-23,2019-05-24,Final,250,2.5,Rs.2.5000 per share(250%)Final Dividend,TATACONSUM,04/23/2019,05/24/2019
2018-11-05,2018-06-20,Final,250,2.5,Rs.2.5000 per share(250%)Dividend,TATACONSUM,11/05/2018,06/20/2018
2017-05-31,2017-04-08,Final,235,2.35,Rs.2.3500 per share(235%)Dividend (BC dates has been revised),TATACONSUM,05/31/2017,04/08/2017
2016-05-25,2016-08-08,Final,225,2.25,Rs.2.2500 per share(225%)Dividend,TATACONSUM,05/25/2016,08/08/2016
2015-05-28,2015-07-30,Final,225,0.0,Rs.2.2500 per share(225%)Dividend,TATACONSUM,05/28/2015,07/30/2015
2014-05-28,2014-05-08,Final,225,0.0,Rs.2.2500 per share(225%)Dividend,TATACONSUM,05/28/2014,05/08/2014
2013-05-28,2013-06-27,Final,215,0.0,Rs.2.1500 per share(215%)Dividend,TATACONSUM,05/28/2013,06/27/2013
2012-05-23,2012-09-08,Final,215,0.0,Rs.2.15 per share(215%)Dividend,TATACONSUM,05/23/2012,09/08/2012
2011-05-24,2011-10-08,Final,200,0.0,Rs.2.00 per share(200%)Dividend,TATACONSUM,05/24/2011,10/08/2011
2010-05-26,2010-05-08,Final,200,0.0,,TATACONSUM,05/26/2010,05/08/2010
2009-10-06,2009-08-13,Final,175,0.0,,TATACONSUM,10/06/2009,08/13/2009
2008-02-06,2008-01-08,Final,350,0.0,AGM (Dividend Rs.15 (150%)+ Special Dividend Rs.20 (200%) ),TATACONSUM,02/06/2008,01/08/2008
2007-01-06,2007-07-23,Final,150,0.0,AGM,TATACONSUM,01/06/2007,07/23/2007
2006-06-06,2006-07-21,Final,120,0.0,AGM,TATACONSUM,06/06/2006,07/21/2006
2005-09-06,2005-07-21,Final,100,0.0,AGM,TATACONSUM,09/06/2005,07/21/2005
2004-06-24,2004-08-17,Final,85,0.0,AGM,TATACONSUM,06/24/2004,08/17/2004
2003-06-25,2003-08-14,Final,70,0.0,AGM,TATACONSUM,06/25/2003,08/14/2003
2002-04-30,2002-05-28,Interim,70,0.0,,TATACONSUM,04/30/2002,05/28/2002
2001-06-19,2001-08-17,Final,90,0.0,AGM,TATACONSUM,06/19/2001,08/17/2001
