Announcement Date,Ex-Date,Dividend Type,Dividend (%),Dividend (Rs),Remarks,Stockname,Announce Date,Ex Date
2021-04-22,2021-06-17,Final,240,24.0,Rs.24.0000 per share(240%)Final Dividend,TATAELXSI,04/22/2021,06/17/2021
2021-04-23,2021-06-17,Special,240,24.0,Rs.24.0000 per share (240%) One-Time Special Dividend,TATAELXSI,04/23/2021,06/17/2021
2020-04-20,2020-07-13,Final,165,16.5,Rs.16.5000 per share(165%)Final Dividend,TATAELXSI,04/20/2020,07/13/2020
2019-04-24,2019-08-07,Final,135,13.5,Rs.13.5000 per share(135%)Dividend,TATAELXSI,04/24/2019,08/07/2019
2018-04-26,2018-07-16,Final,110,11.0,Rs.11.0000 per share(110%)Dividend,TATAELXSI,04/26/2018,07/16/2018
2017-02-05,2017-07-18,Final,160,16.0,Rs.16.0000 per share(160%)Dividend,TATAELXSI,02/05/2017,07/18/2017
2016-04-28,2016-07-15,Final,140,14.0,Rs.14.0000 per share(140%)Dividend,TATAELXSI,04/28/2016,07/15/2016
2015-04-28,2015-07-15,Final,110,0.0,Rs.11.0000 per share(110%)Dividend,TATAELXSI,04/28/2015,07/15/2015
2014-04-22,2014-09-07,Final,90,0.0,Rs.9.0000 per share(90%)Dividend,TATAELXSI,04/22/2014,09/07/2014
2013-04-19,2013-12-07,Final,50,0.0,Rs.5.0000 per share(50%)Dividend,TATAELXSI,04/19/2013,12/07/2013
2012-08-05,2012-07-13,Final,70,0.0,,TATAELXSI,08/05/2012,07/13/2012
2011-04-27,2011-08-07,Final,70,0.0,,TATAELXSI,04/27/2011,08/07/2011
2010-03-05,2010-12-07,Final,70,0.0,,TATAELXSI,03/05/2010,12/07/2010
2009-04-28,2009-08-21,Final,70,0.0,,TATAELXSI,04/28/2009,08/21/2009
2008-04-30,2008-09-07,Final,70,0.0,AGM,TATAELXSI,04/30/2008,09/07/2008
2007-04-20,2007-07-13,Final,70,0.0,AGM,TATAELXSI,04/20/2007,07/13/2007
2006-04-21,2006-07-13,Final,65,0.0,AGM,TATAELXSI,04/21/2006,07/13/2006
2005-04-19,2005-08-07,Final,55,0.0,Rs.5.50/- per share of Rs.10/- each & AGM,TATAELXSI,04/19/2005,08/07/2005
2004-04-30,2004-07-14,Final,40,0.0,AGM,TATAELXSI,04/30/2004,07/14/2004
2003-04-30,2003-07-16,Final,25,0.0,AGM,TATAELXSI,04/30/2003,07/16/2003
2002-04-23,2002-04-06,Final,35,0.0,AGM,TATAELXSI,04/23/2002,04/06/2002
2001-05-06,2001-06-21,Final,25,0.0,,TATAELXSI,05/06/2001,06/21/2001
