Announcement Date,Ex-Date,Dividend Type,Dividend (%),Dividend (Rs),Remarks,Stockname,Announce Date,Ex Date
2016-05-30,2016-07-18,Final,10,0.2,Rs.0.2000 per share(10%)Dividend,TATAMOTORS,05/30/2016,07/18/2016
2014-05-29,2014-09-07,Final,100,2.0,Rs.2.0000 per share(100%)Dividend,TATAMOTORS,05/29/2014,09/07/2014
2013-05-29,2013-07-30,Final,100,2.0,Rs.2.0000 per share(100%)Dividend,TATAMOTORS,05/29/2013,07/30/2013
2012-05-29,2012-07-18,Final,200,4.0,"Recommended a dividend of Rs. 4/- per Ordinary share (200%) and Rs. 4.10 per 'A' Ordinary share (205%), both of face value of Rs. 2/- each (post split) for FY 2011-12.",TATAMOTORS,05/29/2012,07/18/2012
2011-05-26,2011-07-19,Final,200,20.0,Rs.20.00 per share(200%)Dividend,TATAMOTORS,05/26/2011,07/19/2011
2010-05-27,2010-10-08,Final,150,15.0,,TATAMOTORS,05/27/2010,10/08/2010
2009-05-29,2009-03-08,Final,60,6.0,,TATAMOTORS,05/29/2009,03/08/2009
2008-05-16,2008-06-16,Final,150,15.0,,TATAMOTORS,05/16/2008,06/16/2008
2007-05-18,2007-01-06,Final,150,15.0,AGM,TATAMOTORS,05/18/2007,01/06/2007
2006-05-19,2006-06-23,Final,130,13.0,,TATAMOTORS,05/19/2006,06/23/2006
2005-05-17,2005-06-23,Final,125,12.5,"(Rs.12.5 per share, including a special dividend of Rs.2.50 per share)",TATAMOTORS,05/17/2005,06/23/2005
2004-05-20,2004-06-22,Final,40,4.0,,TATAMOTORS,05/20/2004,06/22/2004
2004-01-14,2004-12-02,Interim,40,4.0,,TATAMOTORS,01/14/2004,12/02/2004
2003-05-27,2003-06-30,Final,40,4.0,,TATAMOTORS,05/27/2003,06/30/2003
