Announcement Date,Ex-Date,Dividend Type,Dividend (%),Dividend (Rs),Remarks,Stockname,Announce Date,Ex Date
2022-06-05,2022-06-15,Final,175,1.75,Rs.1.7500 per share(175%)Final Dividend,TATAPOWER,06/05/2022,06/15/2022
2021-12-05,2021-06-17,Final,155,1.55,Rs.1.5500 per share(155%)Dividend,TATAPOWER,12/05/2021,06/17/2021
2020-05-19,2020-07-14,Final,155,1.55,Rs.1.5500 per share(155%)Dividend,TATAPOWER,05/19/2020,07/14/2020
2019-02-05,2019-04-06,Final,130,1.3,Rs.1.3000 per share(130%)Final Dividend,TATAPOWER,02/05/2019,04/06/2019
2018-02-05,2018-12-07,Final,130,1.3,Rs.1.3000 per share(130%)Dividend. (Revised),TATAPOWER,02/05/2018,12/07/2018
2017-05-19,2017-10-08,Final,130,1.3,Rs.1.3000 per share(130%) Dividend.,TATAPOWER,05/19/2017,10/08/2017
2016-05-24,2016-07-09,Final,130,1.3,Rs.1.3000 per share(130%)Dividend (BC Date has been Revised from 26/07/2016 to 05/08/2016),TATAPOWER,05/24/2016,07/09/2016
2015-05-19,2015-07-20,Final,130,0.0,Rs.1.3000 per share(130%)Dividend,TATAPOWER,05/19/2015,07/20/2015
2014-05-29,2014-07-23,Final,125,0.0,Rs.1.2500 per share(125%)Dividend,TATAPOWER,05/29/2014,07/23/2014
2013-05-30,2013-07-26,Final,115,0.0,Rs.1.1500 per share(115%)Dividend,TATAPOWER,05/30/2013,07/26/2013
2012-05-22,2012-07-24,Final,125,0.0,,TATAPOWER,05/22/2012,07/24/2012
2011-05-19,2011-02-08,Final,125,0.0,,TATAPOWER,05/19/2011,02/08/2011
2010-05-25,2010-08-16,Final,120,0.0,,TATAPOWER,05/25/2010,08/16/2010
2009-05-28,2009-07-14,Final,115,0.0,,TATAPOWER,05/28/2009,07/14/2009
2008-06-23,2008-08-18,Final,105,0.0,AGM,TATAPOWER,06/23/2008,08/18/2008
2007-05-31,2007-07-17,Final,95,0.0,,TATAPOWER,05/31/2007,07/17/2007
2006-05-29,2006-07-07,Final,85,0.0,AGM,TATAPOWER,05/29/2006,07/07/2006
2005-05-30,2005-12-07,Final,75,0.0,AGM,TATAPOWER,05/30/2005,12/07/2005
2004-05-21,2004-08-06,Final,70,0.0,AGM,TATAPOWER,05/21/2004,08/06/2004
2003-05-28,2003-04-07,Final,65,0.0,AGM,TATAPOWER,05/28/2003,04/07/2003
2002-05-30,2002-07-18,Final,0,0.0,Nil Final Dividend,TATAPOWER,05/30/2002,07/18/2002
2002-04-29,2002-05-29,Interim,50,0.0,,TATAPOWER,04/29/2002,05/29/2002
2002-04-30,2002-05-29,Interim,50,0.0,,TATAPOWER,04/30/2002,05/29/2002
2001-05-23,2001-09-07,Final,50,0.0,AGM,TATAPOWER,05/23/2001,09/07/2001
