Announcement Date,Ex-Date,Dividend Type,Dividend (%),Dividend (Rs),Remarks,Stockname,Announce Date,Ex Date
2022-04-05,2022-06-15,Final,510,51.0,Rs.51.0000 per share(510%)Final Dividend,TATASTEEL,04/05/2022,06/15/2022
2021-05-05,2021-06-17,Final,250,25.0,Rs.25.0000 per share(250%)Final Dividend,TATASTEEL,05/05/2021,06/17/2021
2020-06-29,2020-06-08,Final,100,10.0,Rs.10.0000 per share(100%)Final Dividend,TATASTEEL,06/29/2020,06/08/2020
2019-04-25,2019-04-07,Final,130,13.0,Rs.13.0000 per share(130%)Dividend,TATASTEEL,04/25/2019,04/07/2019
2018-04-16,2018-05-07,Final,100,10.0,Rs.10.0000 per share(100%)Dividend,TATASTEEL,04/16/2018,05/07/2018
2018-05-16,2018-05-07,Final,100,0.0,Rs.2.5040 per share(100%)Dividend,TATASTEEL,05/16/2018,05/07/2018
2017-05-16,2017-07-20,Final,100,10.0,Rs.10.0000 per share(100%)Dividend,TATASTEEL,05/16/2017,07/20/2017
2016-05-26,2016-07-28,Final,80,8.0,Rs.8.0000 per share(80%)Dividend,TATASTEEL,05/26/2016,07/28/2016
2015-05-20,2015-07-23,Final,80,8.0,Rs.8.0000 per share(80%)Dividend,TATASTEEL,05/20/2015,07/23/2015
2014-05-14,2014-07-14,Final,100,10.0,Rs.10.0000 per share(100%)Dividen,TATASTEEL,05/14/2014,07/14/2014
2013-05-23,2013-07-15,Final,80,8.0,Rs.8.0000 per share(80%)Dividend,TATASTEEL,05/23/2013,07/15/2013
2012-05-18,2012-07-16,Final,120,12.0,,TATASTEEL,05/18/2012,07/16/2012
2011-05-26,2011-04-07,Final,120,12.0,,TATASTEEL,05/26/2011,04/07/2011
2010-05-27,2010-12-07,Final,80,8.0,,TATASTEEL,05/27/2010,12/07/2010
2009-06-25,2009-06-07,Final,160,16.0,,TATASTEEL,06/25/2009,06/07/2009
2008-06-26,2008-07-18,Final,160,16.0,AGM,TATASTEEL,06/26/2008,07/18/2008
2007-05-17,2007-08-06,Final,155,15.5,155% Dividend ( 130% for the year 2006-07 and special dividend of 25% on occasion of the Cenetenary year of the company.),TATASTEEL,05/17/2007,08/06/2007
2006-05-15,2006-05-26,Final,130,13.0,AGM,TATASTEEL,05/15/2006,05/26/2006
2005-05-19,2005-07-06,Final,130,13.0,AGM,TATASTEEL,05/19/2005,07/06/2005
2004-07-05,2004-08-06,Final,100,10.0,AGM,TATASTEEL,07/05/2004,08/06/2004
2003-08-05,2003-09-06,Final,80,8.0,AGM,TATASTEEL,08/05/2003,09/06/2003
2002-05-30,2002-06-28,Final,0,0.0,Nil Final Dividend,TATASTEEL,05/30/2002,06/28/2002
2002-02-04,2002-05-28,Interim,40,0.0,,TATASTEEL,02/04/2002,05/28/2002
2001-08-05,2001-05-24,Final,50,0.0,AGM,TATASTEEL,08/05/2001,05/24/2001
