Announcement Date,Ex-Date,Dividend Type,Dividend (%),Dividend (Rs),Remarks,Stockname,Announce Date,Ex Date
2021-12-31,2022-01-19,Interim,700,7.0,Rs.7.0000 per share (700%) Third Interim Dividend,TCS,12/31/2021,01/19/2022
2021-09-30,2021-10-14,Interim,700,7.0,Rs.7.0000 per share(700%)Second Interim Dividend,TCS,09/30/2021,10/14/2021
2021-06-30,2021-07-15,Interim,700,7.0,Rs.7.0000 per share(700%)Interim Dividend,TCS,06/30/2021,07/15/2021
2021-12-04,2021-05-25,Final,1500,15.0,Rs.15.0000 per share(1500%)Final Dividend,TCS,12/04/2021,05/25/2021
2021-12-04,2021-05-25,Interim,1500,15.0,Rs.15.0000 per share(1500%)Final Dividend,TCS,12/04/2021,05/25/2021
2020-12-31,2021-01-14,Interim,600,6.0,Rs.6.0000 per share(600%)Third Interim Dividend,TCS,12/31/2020,01/14/2021
2020-09-30,2020-10-14,Interim,1200,12.0,Rs.12.0000 per share(1200%)Second Interim Dividend,TCS,09/30/2020,10/14/2020
2020-06-30,2020-07-16,Interim,500,5.0,Rs.5.0000 per share(500%)Interim Dividend,TCS,06/30/2020,07/16/2020
2020-04-16,2020-03-06,Final,600,6.0,Rs.6.0000 per share(600%)Final Dividend,TCS,04/16/2020,03/06/2020
2020-04-16,2020-03-06,Interim,600,6.0,Rs.6.0000 per share(600%)Final Dividend,TCS,04/16/2020,03/06/2020
2020-11-03,2020-03-19,Interim,1200,12.0,Rs.12.0000 per share(1200%)Interim Dividend,TCS,11/03/2020,03/19/2020
2020-10-01,2020-01-23,Interim,500,5.0,Rs.5.0000 per share(500%)Third Interim Dividend,TCS,10/01/2020,01/23/2020
2019-09-30,2019-10-17,Interim,500,5.0,Rs.5.0000 per share(500%)Second Interim Dividend,TCS,09/30/2019,10/17/2019
2019-10-10,2019-10-17,Special,4000,40.0,Rs.40.0000 per share(4000%)Special Dividend,TCS,10/10/2019,10/17/2019
2019-06-28,2019-07-16,Interim,500,5.0,Rs.5.0000 per share(500%)Interim Dividend,TCS,06/28/2019,07/16/2019
2019-12-04,2019-04-06,Final,1800,18.0,Rs.18.0000 per share(1800%)Final Dividend,TCS,12/04/2019,04/06/2019
2018-12-31,2019-01-17,Interim,400,4.0,Rs.4.0000 per share(400%)Third Interim Dividend,TCS,12/31/2018,01/17/2019
2018-11-10,2018-10-23,Interim,400,4.0,Rs.4.0000 per share(400%)Second Interim Dividend.,TCS,11/10/2018,10/23/2018
2018-06-29,2018-07-17,Interim,400,4.0,Rs.4.0000 per share(400%)Interim Dividend,TCS,06/29/2018,07/17/2018
2018-04-19,2018-05-31,Final,2900,29.0,Rs.29.0000 per share(2900%)Final Dividend,TCS,04/19/2018,05/31/2018
2018-11-01,2018-01-22,Interim,700,7.0,Rs.7.0000 per share(700%)Third Interim Dividend,TCS,11/01/2018,01/22/2018
2017-12-10,2017-10-25,Interim,700,7.0,Rs.7.0000 per share(700%)Second Interim Dividend.,TCS,12/10/2017,10/25/2017
2017-07-13,2017-07-24,Interim,700,7.0,Rs.7.0000 per share(700%)Interim,TCS,07/13/2017,07/24/2017
2017-04-24,2017-06-13,Final,2750,27.5,Rs.27.5000 per share(2750%)Final Dividend,TCS,04/24/2017,06/13/2017
2017-12-01,2017-01-23,Interim,650,6.5,Rs.6.5000 per,TCS,12/01/2017,01/23/2017
2016-10-13,2016-10-24,Interim,650,6.5,Rs.6.5000 per share(650%)Second Interim Dividend,TCS,10/13/2016,10/24/2016
2016-07-14,2016-07-25,Interim,650,6.5,Rs.6.5000 per share(650%)Interim Dividend,TCS,07/14/2016,07/25/2016
2016-04-18,2016-06-06,Final,2700,27.0,Rs.27.0000 per share(2700%)Final Dividend,TCS,04/18/2016,06/06/2016
2016-12-01,2016-01-21,Interim,550,5.5,Rs.5.5000 per share(550%)Third Interim Dividend,TCS,12/01/2016,01/21/2016
2015-10-13,2015-10-23,Interim,550,5.5,Rs.5.5000 per share(550%)Second Interim Dividend,TCS,10/13/2015,10/23/2015
2015-08-07,2015-07-20,Interim,550,5.5,Rs.5.5000 per share(550%)Interim Dividend,TCS,08/07/2015,07/20/2015
2015-04-16,2015-05-06,Final,2400,24.0,Rs.24.0000 per share(2400%)Final Dividend,TCS,04/16/2015,05/06/2015
2015-01-15,2015-01-27,Interim,500,5.0,Rs.5.0000 per share(500%)Third Interim Dividend,TCS,01/15/2015,01/27/2015
2014-10-16,2014-10-29,Interim,500,5.0,Rs.5.0000 per share(500%)Second Interim Dividend,TCS,10/16/2014,10/29/2014
2014-07-16,2014-07-28,Interim,500,5.0,Rs.5.0000 per share(500%)Interim Dividend,TCS,07/16/2014,07/28/2014
